id,finding_aid_link,title,type,number,group,digital_collection,category,subject,description
spec00812,https://search.lib.uidaho.edu/UID:CP71128435190001451,"Ernest E. Hubert, An outline of forest pathology, 1930",MG,5337,MG 5337,,forestry,forests,
spec00813,https://search.lib.uidaho.edu/UID:CP71105292150001451,"Dwight H. Sawin, SOS &amp; SOC (save our salmon) &amp; (save our country), July 17, 1968.",MG,5338,MG 5338,,,indigenous;wildlife;pacific northwest,
spec00814,https://search.lib.uidaho.edu/UID:CP71105293830001451,"Herbert Austin Pollard, II., Grampa caught some whoppers, and told a few to boot, term paper, Apr. 30, 1968.",MG,5339,MG 5339,,,wildlife;manuscripts,
spec00815,https://search.lib.uidaho.edu/UID:CP71105297440001451,"David J. Maclay, Winter game studies, Idaho portion Bitterroot National Forest, 1937.",MG,5340,MG 5340,,,wildlife;idaho;forests,
spec00816,https://search.lib.uidaho.edu/UID:CP71105261940001451,"Jack A. Parsell, Report on winter game studies, Lochsa part of Nez Perce and Clearwater National Forests area studied: Lochsa River, Lower Selway River, and Meadow Creek, November 15, 1936 to April 15, 1937, 1937.",MG,5341,MG 5341,,,wildlife;idaho,
spec00817,https://search.lib.uidaho.edu/UID:CP71105274990001451,"United States. Forest Service. Northern Region. Idaho. Fish and Game Department. A preliminary plan for the management of elk and deer on the national forest lands of the Lochsa and Selway drainages, Idaho County, Idaho / typescript, [1937]",MG,5342,MG 5342,,,wildlife;idaho,
spec00818,https://search.lib.uidaho.edu/UID:CP71105257770001451,"William E. Warne. The Pacific Northwest faces a new water challenge / typescript, [1966]",MG,5343,MG 5343,,,water;pacific northwest,
spec00819,https://search.lib.uidaho.edu/UID:CP71127916000001451,"A. Smolinski. A comparison of High Mountain Sheep and Nez Perce projects : typescript, May 8, 1964",MG,5344,MG 5344,,,dams;idaho,
spec00820,https://search.lib.uidaho.edu/UID:CP71159010060001451,"Joseph Allen Craig. Memorandum: to Harlan B. Holmes, Sept. 23, 1941",MG,5345,MG 5345,,,dams;idaho,
spec00821,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71297516130001451,"United States. Bureau of Fisheries. Interior Fisheries Investigations. M. M Ellis (Max Mapes), 1887-1953. Pollution of the Coeur d'Alene River and adjacent waters by mine wastes / typescript, 1932",MG,5346,MG 5346,,mining,environmental;water;idaho,
spec00822,https://search.lib.uidaho.edu/UID:CP71127908560001451,"United States. Environmental Protection Agency. Region X. Gary O'Neal. Report on Coeur d'Alene River survey, May 12-17, 1970 / typescript, Jan. 1972",MG,5347,MG 5347,,mining,water;environmental,
spec00823,https://search.lib.uidaho.edu/UID:CP71175167260001451,"Kaiser Aluminum and Chemical Corporation. Chemical Division. Chemical raw materials of the western states / typescript, July 1951",MG,5348,MG 5348,,mining,,
spec00824,https://search.lib.uidaho.edu/UID:CP71175167940001451,"Henry L. Day (Henry Lawrence). 96 years of mining in Idaho : typescript, 1956",MG,5349,MG 5349,,mining,,
spec00825,https://search.lib.uidaho.edu/UID:CP71175169300001451,"M. Elsensohn (Mary Alfreda). A survey of the metallic and nonmetallic resources of Idaho / typescript, [1938]",MG,5350,MG 5350,,mining,,
spec00826,https://search.lib.uidaho.edu/UID:CP71175153400001451,"P. E. Oscarson. Report on the economic geology of the Hunter Creek group of claims near Mullan, Shoshone County, Idaho / typescript, [1953]",MG,5351,MG 5351,,mining,geology;shoshone county;idaho,
spec00827,https://search.lib.uidaho.edu/UID:CP71107969680001451,"P. E. Oscarson. Report on proposed unitization of mineral rights for CAIGH Project near Lucky Friday Mine, Mullan, Idaho / typescript, July 1, 1966",MG,5352,MG 5352,,mining,geology;idaho,
spec00828,https://search.lib.uidaho.edu/UID:CP71107953870001451,"P. E. Oscarson. Report on the property of the Vulcan Silver-Lead Corporation, Wallace, Shoshone County, Idaho / typescript, Sept. 1954",MG,5353,MG 5353,,mining,shoshone county;idaho,
spec00829,https://search.lib.uidaho.edu/UID:CP71107949230001451,"W. H. Simmons. Report on the Hunter Creek mine, Hunter District, Shoshone County, Idaho / typescript, Oct. 23, 1952",MG,5354,MG 5354,,mining,shoshone county;idaho,
spec00830,https://search.lib.uidaho.edu/UID:CP71107935920001451,"Thomas Hugh Hite. Report on the Silver Gem mine, Grimes Pass, Idaho / typescript, Nov. 1935",MG,5355,MG 5355,,mining,maps;photographs,
spec00831,https://search.lib.uidaho.edu/UID:CP71107932810001451,"Carol L. Robertson. A tribute to a grand old lady : typescript, May 1, 1968",MG,5356,MG 5356,,,business,
spec00832,https://search.lib.uidaho.edu/UID:CP71107914110001451,"Leonard F. Harman. Creation of the United States Air Force / typescript, [after 1946]",MG,5357,MG 5357,,,military;manuscripts,
spec00833,https://search.lib.uidaho.edu/UID:CP71113739080001451,"Richard J. Beck. ACONDA : a codification of new directions for the association : typescript, Oct. 1971",MG,5358,MG 5358,,,,
spec00834,https://search.lib.uidaho.edu/UID:CP71142216880001451,"Gary E. Strong. The reference collection in Idaho's high school libraries : a paper presented in fulfillment of the requirements for Education 190K at the University of Idaho / typescript, 1965",MG,5359,MG 5359,,,manuscripts,
