colltitle,path,shorttitle,cdmtitle,items,webitems,non-cdm webitems,searchable in cdm,cdmid,status,featured,cb-data,digital_scholarship,need_cb,repository_branch,metadata_path,migrated & deployed?,branch_notes,repo_location,last_cb_update,about_page,website,categories,type,alpha,shortdesc,description,mediatype,location,lat,long,datestart,dateend,image,imagelink,imagetitle
Earl Bennett Stock Certificates,stockcerts,Earl Bennett Stock ,,1103,"1,103",,,,visible,,,,,base-digital-collections-template/stockcerts,https://www.lib.uidaho.edu/digital/stockcerts/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/stockcerts,2023-12,yes,https://www.lib.uidaho.edu/digital/stockcerts/,Mining; Stock Certificates;,Collection,Earl Bennett Stock,Stock certificates from various natural resource companies,"Stock certificates collected by Earl H. Bennett of mining, lumber, and other related industries in the United States.",images;,"Wallace, Idaho",47.47424113,-115.9290973,1812,2013,stockcerts,https://objects.lib.uidaho.edu/stockcerts/10-101.jpg,Idaho Gas Filter Corp.
"Edward John Iddings Lantern Slides, 1927",iddings,Iddings Collection,"John Edward Iddings, Lantern Slides, 1927",157,157,,157,spec_ji,visible,,,,,base-digital-collections-template/iddings,https://www.lib.uidaho.edu/digital/iddings/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/iddings,2023-12,yes,https://www.lib.uidaho.edu/digital/iddings/,UIResearch; Agriculture; UI; Idaho;,AltCollection,Iddings,"Slides from longtime College of Agriculture Dean, Edward John Iddings, including university-, agriculture-, and travel-related images","Edward John Iddings was the Dean of the College of Agriculture at UI from 1915 to 1946. These slides depict agricultural and university-related scenes from Idaho, as well as images from Iddings&apos; travels.",images,"University of Idaho (Admin building); Moscow, ID;",46.727874,-117.028127,1927,1927,iddings,https://objects.lib.uidaho.edu/iddings/spec_ji425.jpg,Scottish Highland Cattle
Ella Fitzgerald Collection,ella-fitzgerald,Ella Fitzgerald Collection,,42,42,42,,,visible,,,,,base-digital-collections-template/ella-fitzgerald,https://www.lib.uidaho.edu/digital/ella-fitzgerald/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/ella-fitzgerald,2023-12,yes,https://www.lib.uidaho.edu/digital/ella-fitzgerald/,UI; IJC; Jazz,Collection,Ella,"Celebrating Fitzgerald's fashion and style through her clothing, photographs, and album covers","Celebrating Fitzgerald's fashion and style through her clothing, photographs, and album covers",images; documents,,,,1940,1983,ella-fitzgerald,https://www.lib.uidaho.edu/digital/ella-fitzgerald/items/fitzgerald0033.html,Ella Fitzgerald's aquamarine high-heeled shoes
Ernie Day Photograph Collection,ernieday,Ernie Day Photograph Collection,,16,16,16,,,visible,,,,,base-digital-collections-template/ernieday,https://www.lib.uidaho.edu/digital/ernieday/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/ernieday,2023-12,yes,https://www.lib.uidaho.edu/digital/ernieday/,Idaho; Wilderness; Photography,Collection,Ernie,Nature photographs taken by Ernest E. Day,"Photographs taken by Ernie Day depicting just a few of the many mountains and lakes found in Idaho, particularly those found within the Sawtooth National Recreation Area.",images,Idaho,43.82756523,-114.5895217,1970,1970,ernieday,https://www.lib.uidaho.edu/digital/ernieday/items/ernieday005.html,Mt. Hyndman with Pioneer Range
Experimental Forest and Savenac Nursery Photo Archive,expforest,Exp. Forest Photos,Experimental Forests and Savenac Nursery Photo Archive,848,848,,848,expforsav,visible,,,,,base-digital-collections-template/expforest,https://www.lib.uidaho.edu/digital/expforest/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/expforest,2023-12,yes,https://www.lib.uidaho.edu/digital/expforest/,Forests; Idaho; Northwest; Fire; UIResearch;,Collection,Experimental,"Historical photographs of Experimental Forests and Savenac Nursery in Northern Idaho and Northwestern Montana, 1910 - 1989","The Experimental Forest and Savenac Nursery Photo Archive contains photographs related to or depicting the establishment of two Forest Service Experimental Forests in north Idaho, Priest River and Deception Creek, and the Savenac Nursery in Montana.",images,"Priest River, ID; Deception Creek, ID; Savenac Nursery, MT;",48.571027,-116.823399,1910,1989,expforest,https://objects.lib.uidaho.edu/expforest/expforsav652.jpg,Interior view of thinning in 65-year western white pine.
"Family Tree Collection, a Potlatch Forests, Inc. Newsletter",familytree,Family Tree Collection,"Family Tree Collection, a Potlatch Forests, Inc. Newsletter",180,180,,180,spec_pot,visible,,,,,documents-digital-collections-template/familytree,https://www.lib.uidaho.edu/digital/familytree/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/familytree,2023-12,yes,https://www.lib.uidaho.edu/digital/FamilyTree/,"Idaho; Forests; Latah; Potlatch, ID;",Collection,Family,"A Potlatch Forests, Inc. Newsletter Published from 1936-1952","The Family Tree was a newsletter published by Potlatch Forests, Inc. for their employees from 1936 - 1952. The newsletter covers local (Potlatch area) and national events, with a special focus on issues pertaining to Potlatch Forests and its loggers and other employees.",documents,"Potlatch, ID",46.921354,-116.903071,1936,1952,familytree,https://objects.lib.uidaho.edu/phs/small/phs1510_sm.jpg,"The Family Tree - 1947, September"
Finding Aids (EAD),spec_fa,Finding Aids,Finding Aids,1106,,,,spec_fa,noshow,,no,other,,,,n/a,,,,,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_fa,UI; Idaho;,AltCollection,Finding,University of Idaho Library Special Collections and Archives Guides and Descriptions,Finding Aids are guides to the physical collections held by the Library&apos;s Special Collections &amp; Archives Department. All material mentioned in these guides can be read or examined by request. See here for more information about accessing these materials.,documents,"University of Idaho (Library); Moscow, ID;",46.72748,-117.01396,1889,2011,spec_fa,na,
Flora of Idaho and Washington,flora,Flora of Idaho and Washington,,148,148,148,,,visible,,,,,base-digital-collections-template/flora,https://www.lib.uidaho.edu/digital/flora/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/flora,2023-12,yes,https://www.lib.uidaho.edu/digital/flora/,UI; Idaho; Wildlife; Agriculture; Environmental,Collection,Flora,"Photographs of plants from Northern Idaho and Washington, 1932-1938.","Photographs of plants from Northern Idaho and Washington, 1932-1938.",images; documents,"University of Idaho (Library); Moscow, ID;",46.72748,-117.01396,1932,1938,flora,https://www.lib.uidaho.edu/digital/flora/items/flora021.html,Arnica cordifolia
Franklin Raney Photograph Collection,raney,Franklin Raney Photograph Collection,,44,44,44,,,visible,,,,,base-digital-collections-template/raney,https://www.lib.uidaho.edu/digital/raney/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/raney,2023-12,yes,https://www.lib.uidaho.edu/digital/raney/,UI; Idaho; Forests; Students,CampusCollection,Franklin,"Photograph subjects include the University of Idaho campus, employees and students, and forested areas on Moscow Mountain and the Coeur d'Alene National Forest.","Photograph subjects include the University of Idaho campus, employees and students, and forested areas on Moscow Mountain and the Coeur d'Alene National Forest.",images,"University of Idaho (Library); Moscow, ID;",46.72748,-117.01396,1932,1991,raney,https://www.lib.uidaho.edu/digital/raney/items/raney17.html,UI Administration Building 
The Friday Letter Archive,fridayletter,Friday Letter,,629,629,,,,visible,,,,,,https://www.lib.uidaho.edu/digital/fridayletter/assets,,see web archives collection,,,yes,https://www.lib.uidaho.edu/digital/fridayletter/,UI;Campus;Newsletters,CampusCollection,Friday,A Collection of the U of I President's Communications,"The Office of the President’s website publishes a variety of official communications including the Friday Letter, Vandal Connection, reports, videos, and presentations. This collection provides access to archived versions harvested annually by the University of Idaho Library.",documents,"University of Idaho (Library); Moscow, ID;",46.72748,-117.01396,2013,2023,fridayletter,,
Fugue Digital Archive,fugue,Fugue Archive,Fugue Literary Journal Collection,4300,38,,,fugue,visible,,,,,documents-digital-collections-template/fugue,https://www.lib.uidaho.edu/digital/fugue/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/fugue,2023-12,yes,https://www.lib.uidaho.edu/digital/fugue/,UIResearch; UI,Journal,Fugue,The official literary journal of the University of Idaho&apos;s English Department,Fugue is the official literary journal of the University of Idaho&apos;s English Department.,documents; images,"University of Idaho (English Department); Moscow, ID;",46.728091,-117.012692,1990,2022,fugue,https://www.lib.uidaho.edu/digital/fugue/items/fugue-2010-n39.html,"Fugue Summer-Fall, Fall 2010 (No. 39)"
Gem of the Mountains Digital Yearbook Collection,gem,Gem Collection,Gem of the Mountains Digital Yearbook Collection,102,102,,,gem,visible,,,,,campus-collections-template/gem,https://www.lib.uidaho.edu/digital/gem/assets,yes,highly customized,https://github.com/uidaholib/campus-collections-template/tree/gem,2023-12,yes,https://www.lib.uidaho.edu/digital/gem/,UI; Campus;,CampusCollection,Gem,The official yearbook of the University of Idaho from 1903 to 2004,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,documents; images,"University of Idaho (Library); Moscow, ID;",46.727332,-117.012296,1903,2004,gem,https://www.lib.uidaho.edu/digital/gem/,Collection Home Page
Gem of the Mountains Yearbook Photographic Archive,gemphotos,Gem of the Mountains Yearbook Photographic Archive,,1111,"1,111","1,111",,,visible,,,,,campus-collections-template/gemphotos,https://www.lib.uidaho.edu/digital/gemphotos/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/gemphotos,2023-12,yes,https://www.lib.uidaho.edu/digital/gemphotos/,UI; Campus; Photographs,CampusCollection,Gem Photos,Black and white negatives from the Gem of the Mountains Yearbook Photograph Collection.,Black and white negatives from the Gem of the Mountains Yearbook Photograph Collection.,images,"University of Idaho (Library); Moscow, ID;",46.727332,-117.012296,1947,1975,gemphotos,https://www.lib.uidaho.edu/digital/gemphotos/items/gemphotos0060.html,"Student Union Building, University of Idaho, 1953"
The Genesee News,genesee-news,The Genesee News,,84,84,84,,,visible,,,,,documents-digital-collections-template/genesee-news,https://www.lib.uidaho.edu/digital/genesee-news/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/genessee-news,2023-12,yes,https://www.lib.uidaho.edu/digital/genesee-news/,idaho;politics,Collection,Genesee News,"A Microfilm Archive Spanning July 17, 1888 to August 6, 1968","A collection of the The Genesee News and predecessor newspapers, the Recorder and Advertiser, covering 80 years from the arrival of the railroad and the beginning of New Genesee, Idaho in 1888 to 1968 when the News was merged with the Kendrick Gazette.",documents,"Genesee, ID",46.5507,-116.9254,1888,1968,genesee-news,https://objects.lib.uidaho.edu/cities/items/cities929.html,"Genesee grain elevator and warehouse. Genesee, ID, 1949"
George W. Tabor Photographs,tabor,George W. Tabor Photographs,,3159,3159,3159,,,visible,,,,,base-digital-collections-template/tabor,https://www.lib.uidaho.edu/digital/tabor/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/tabor,2023-12,yes,https://www.lib.uidaho.edu/digital/tabor/,Idaho; Mining; Northwest; Water,Collection,George,"Film negatives and print photographs of Wallace, Idaho, spanning the 20th century","Film negatives and print photographs of Wallace, Idaho, spanning the 20th century",images; documents,"Wallace, Idaho",47.47300544,-115.9214386,1903,2004,tabor,https://objects.lib.uidaho.edu/tabor/pg83-b03-f29-004_008.jpg,Children and people with strollers during B.P.O.E. parade 
Guided Reading Library,guidedreading,Guided Reading,Guided Reading Library,122,122,,122,guidedread,visible,,,,,documents-digital-collections-template/guidedreading,https://www.lib.uidaho.edu/digital/guidedreading/assets,yes,"pdf objects need to stay on main web server, in /digital/guidedreading/ (not libobjects) due to CORS issue with pdf.js",https://github.com/uidaholib/documents-digital-collections-template/tree/guidedreading,2023-12,yes,https://www.lib.uidaho.edu/digital/guidedreading/,UI; Education;,AltCollection,Guided,"A library of guided reading material from the University of Idaho College of Education, curated by Margaret Vaughn","The Guided Reading Library is a digital collection of short books created by students in the University of Idaho&apos;s College of Education. This library is directed by Margaret Vaughn, in collaboration with the Digital Inititiaves department of the University of Idaho Library.",documents; audio,"University of Idaho; Moscow, ID;",46.725896,-117.012357,2013,2018,guidedreading,https://www.lib.uidaho.edu/digital/guidedreading/library/Bread.html,Facts about Bread
"Hal Riegger Papers, 1981-1986",riegger,"Hal Riegger Papers, 1981-1986","Hal Riegger Papers, 1981-1986",507,507,,507,riegger,visible,,,,,base-digital-collections-template/riegger,https://www.lib.uidaho.edu/digital/riegger/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/riegger,2023-12,yes,https://www.lib.uidaho.edu/digital/riegger/,Idaho; Railroads,Collection,Hal,Materials used in the writing of The Camas Prairie - Idaho's Railroad on Stilts,Materials used in the writing of The Camas Prairie - Idaho's Railroad on Stilts,documents; images; audio,Idaho,,,1878,1985,riegger,https://objects.lib.uidaho.edu/riegger/riegger126.jpg,"Train Engine To Carry Grangeville Freight"
Harry Webb Marsh Collection,marsh,Marsh Collection,,6,6,6,,,visible,,,,,base-digital-collections-template/marsh,https://www.lib.uidaho.edu/digital/marsh/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/marsh,2023-12,yes,https://www.lib.uidaho.edu/digital/marsh/,Idaho; Mining,Collection,Harry,Historic Mining Films from Idaho's Silver Valley Mining District,"A collection of historic mining films from Idaho's Silver Valley Mining District and elsewhere, originally filmed by Harry Webb Marsh.",video,Idaho,47.53844844,-116.1187132,1926,1950,marsh,https://www.lib.uidaho.edu/digital/barstock/items/barstock256.html,"Bunker Hill, Glory Hole, Kellogg, Idaho"
Here We Have Idaho Archive,hwhi,Here We Have Idaho Archive,Here We Have Idaho,51,51,,51,hwhi,visible,,,,,campus-collections-template/hwhi,https://www.lib.uidaho.edu/digital/hwhi/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/hwhi,2023-12,yes,https://www.lib.uidaho.edu/digital/hwhi/,UI; Idaho; UIResearch; Education,Collection,Here,"Past issues of Here We Have Idaho, the long standing official magazine of the University of Idaho.","This collection provides access to a digital archive of past issues of Here We Have Idaho, the long standing official magazine of the University of Idaho which features stories that highlight the research, learning, and outreach of U of I students, employees, and alumni.",documents,"University of Idaho; Moscow, ID;",46.72756,-117.01404,1998,2020,hwhi,https://www.lib.uidaho.edu/digital/hwhi/items/hwhi_2016_spring.html,Here We Have Idaho Spring 2016 Issue cover
Hispanic Oral History Project Interviews,hohp,Hispanic Oral History Project Interviews,,21,21,21,,,visible,,,,,oral-history-collections-template/hohp,https://www.lib.uidaho.edu/digital/hohp/assets,yes,,https://github.com/uidaholib/oral-history-collections-template/tree/hohp,2023-12,yes,https://www.lib.uidaho.edu/digital/hohp,Idaho; Oral History; Hispanic Americans,Collection,Hispanic,Hispanic immigrants and their descendants tell their stories of living and working in Idaho.,"The Idaho Hispanic Oral History Project interviewed Hispanic immigrants and their descendants living in Idaho in 1991. This collection provides access to the interviews, related materials, and the resulting book, Voces Hispanas: Hispanic Voices of Idaho.",documents; audio; images,Idaho,46.826007,-116.613768,1989,1992,hohp,https://www.lib.uidaho.edu/digital/objects/hohp/antonio-hernandez-rodriguez-group-portrait.jpg,Antonio Hernandez Rodriguez group portrait
Historical Japanese Ceramic Comparative Collection (HJCCC),hjccc,HJCCC,Historical Japanese Ceramic Comparative Collection (HJCCC),80,80,,,,visible,,no,cb,,,,,,https://github.com/uidaholib/HJCCC_source,2019-11,yes,https://www.lib.uidaho.edu/digital/hjccc/,Archaeology; Northwest; UIResearch,CDIL,Historical Japanese,Japanese ceramics from archaeological sites in the American West.,"The Historical Japanese Ceramic Comparative Collection (HJCCC) provides researchers with comparative examples of Japanese ceramics that are found on North American archaeological sites. The HJCCC contains digital photographs and resources for identifying and describing Japanese ceramics manufactured during the Meiji, Taisho, and early Showa eras (roughly the mid-nineteenth and early twentieth centuries). It is intended to assist in identification of historical Japanese ceramics, to encourage the use of standardized terminology, and to promote further research.",images,Pacific Northwest,,,2018,2019,hjccc,https://www.lib.uidaho.edu/digital/hjccc/objects/aacc-bowls-4-center-crop4.jpg,Composite of various pieces from the collection
History of Theatre at the U of I,theatre,History of Theatre,,36,36,36,,,visible,,,,,campus-collections-template/theatre,https://www.lib.uidaho.edu/digital/theatre/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/theatre,2023-12,yes,https://www.lib.uidaho.edu/digital/theatre/,UI; Theatre; Campus; Photographs,CampusCollection,History of Theatre,Historical Photographs of University of Idaho Theatre,"Play production of the U of I Moscow campus was originally student body efforts and/or shows produced by the English Department. The first known production was ""The Rivals"" in 1900 directed by elocution instructor, Aurelia Henry Reinhardt. In 1954, department Head Jean Collette and faculty member Ed Chavez start UI Summer Theatre.",images,"University of Idaho (Library); Moscow, ID;",46.72756,-117.01404,1919,2019,theatre,https://objects.lib.uidaho.edu/theatre/theatre-tartuffe.jpg,Production of Tartuffe
HistPhoto - Historical Photograph Database,histphoto,HistPhoto,,,,,,,noshow,,no,other,,,,n/a,,,,,https://www.lib.uidaho.edu/special-collections/histphoto/,Reference Materials,Application,HistPhoto,A Special Collections &amp; Archives Historical Photograph Database,A Special Collections &amp; Archives Historical Photograph Database,documents,"University of Idaho (Library); Moscow, ID;",46.72756,-117.01404,1863,1975,histphoto,na,na
Idaho Bach Festival Archive,bach-festival,Idaho Bach,,20,20,20,,,visible,,,,,documents-digital-collections-template/bach-festival,https://www.lib.uidaho.edu/digital/bach-festival/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/bach-festival,2023-12,yes,https://www.lib.uidaho.edu/digital/bach-festival/,UI; Music,Collection,Idaho Bach,A collection of programs and posters from University of Idaho's annual Bach Festival,A collection of programs and posters from University of Idaho's annual Bach Festival,documents,"University of Idaho (Library); Moscow, ID;",46.72756,-117.01404,2011,2021,bachfestival,,
Idaho Cities and Towns,cities,Idaho Cities,Idaho Cities and Towns,1236,"1,236",,"1,083",cities,visible,y,,,,base-digital-collections-template/cities,https://www.lib.uidaho.edu/digital/cities/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/cities,2023-12,yes,https://www.lib.uidaho.edu/digital/cities/,Idaho;,Collection,Idaho Cities,"From Aberdeen to Yellow Dog - Historical Photos of 134 Cities and Towns, 1862 - 1998",The 1083 historical photographs in the Idaho Cities &amp; Towns collection document Idaho cities and towns from the mid 1800s to the end of the twentieth century.,images,Idaho,46.826007,-116.613768,1862,1998,cities,https://objects.lib.uidaho.edu/cities/cities446.jpg,"Sunday School group standing in front of church building in Avon, Idaho."
Idaho Civilian Conservation Corps,cccidaho,CCC Collection,Idaho Civilian Conservation Corps,822,822,,822,cccidaho,visible,y,,,,base-digital-collections-template/cccidaho,https://www.lib.uidaho.edu/digital/cccidaho/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/cccidaho,2023-12,yes,https://www.lib.uidaho.edu/digital/cccidaho/,Idaho; Fire; Forests; Wilderness;,Collection,Civilian,"A collection of maps, images, and documents pertinent to the history of the Civilian Conservation Corps in Idaho","A collection of maps, images, and documents pertinent to the history of the CCC in Idaho representing the research discoveries of Patricia Hart and Ivar Nelson, who spent over two years traveling across the state to find and scan materials related to the CCC.",images; documents; maps;,Idaho,47.012456,-116.265435,1933,1942,cccidaho,https://www.lib.uidaho.edu/digital/cccidaho/items/cccidaho0.html,Camp Deep Creek
Idaho Football Covers Collection,footballcovers,Gameday Covers,Vandal Football Program Covers Collection,148,148,,148,football,visible,,,,,base-digital-collections-template/footballcovers,https://www.lib.uidaho.edu/digital/footballcovers/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/footballcovers,2023-12,yes,https://www.lib.uidaho.edu/digital/footballcovers/,UI; Campus; Idaho; Sports;,Collection,Football,"50+ Years worth of Vandal Football Gameday Program Covers, 1908 - 1967",The Idaho Vandals Football Historical Game day Program Covers Collection consists of over 50 years worth of game day program covers (1908-1967) produced for football contests that took place all over the country.,images,"University of Idaho (MacLean Field, Neale Stadium); Moscow, ID; Arizona; California; Montana; West Point, NY; North Dakota; Oregon; Utah; Washington State University; University of Washington;",46.727012,-117.01645,1908,1967,footballcovers,https://www.lib.uidaho.edu/digital/footballcovers/items/footballcovers60.html,UI vs. Farragut
Idaho Forest Wildlife and Range Experiment Station Collection,fwres,Forest Wildlife + Range,Idaho Forest Wildlife and Range Experiment Station,233,233,,233,fwres,visible,,,,,documents-digital-collections-template/fwres,https://www.lib.uidaho.edu/digital/fwres/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/fwres,2023-12,yes,https://www.lib.uidaho.edu/digital/fwres/,Forests; Idaho; Northwest; UI; Water; Rangeland; Wilderness; UIResearch,Collection,Forest,"UI-led research on topics ranging from Idaho&apos;s forests and hydrology to rangeland, fisheries, and wildlife, published from 1954 to the present","Over 200 documents and reports created by faculty in the UI Foestry Department of the College of Natural Resources, 1954 to the present",images,"Moscow, ID",46.72929,-117.012801,1954,2014,fwres,https://objects.lib.uidaho.edu/fwres/fwres_banner.jpg,Focus on Renewable Natural Resources Fiscal 1981 Annual Report
Idaho Forestry Research Collection,forestryresearch,Forestry Research,Idaho Forestry Research Collection,478,478,,478,forestryresearch,visible,,,,,documents-digital-collections-template/forestryresearch,https://www.lib.uidaho.edu/digital/forestryresearch/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/forestryresearch,2023-12,yes,https://www.lib.uidaho.edu/digital/forestryresearch/,Forests; Idaho; Northwest; UI; UIResearch,AltCollection,Forestry,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,documents; images,Idaho,46.926875,-116.501427,1911,1983,forestryresearch,https://objects.lib.uidaho.edu/forestryresearch/forestryresearch189.jpg,DDT Application
Idaho Harvester,,Idaho Harvester,,2980,2980,,,,visible,,,,,,,,,https://github.com/uidaholib/spec-lumber,,,https://harvester.lib.uidaho.edu/,UI; Idaho,AltCollection,Idaho Harvester,The Idaho Harvester features the most interesting and unique materials from Special Collections & Archives.,"The Idaho Harvester features the most interesting and unique materials from Special Collections & Archives. We write about the images, stories, and historical narratives that catch our attention. Some posts are lengthier, dealing with complex subjects regarding Idaho history, industry, and the university, while others are shorter celebrations of notable days, people, and events.",images; documents; blog posts,"University of Idaho (Library); Moscow, ID;",46.72748,-117.01396,2014,2023,harvester,https://harvester.lib.uidaho.edu/collection/items/lumber2043.html,Displayed materials for the 'Capturing the Moments' exhibit. A glass negative from the Barnard-Stockbridge Studio can be seen.
Idaho Historical Aerial Photographs,aerial,Historical Aerial Photos,Idaho Historical Aerial Photographs,2021,"2,021",,"2,021",uiiap,visible,,,,,base-digital-collections-template/aerial,https://www.lib.uidaho.edu/digital/aerial/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/aerial,2023-11,yes,https://www.lib.uidaho.edu/digital/aerial/,Idaho; Maps; Forests; Water,AltCollection,Idaho Historical Aerial,Historic air photos of Idaho from 1927 to the 1980s,The Idaho Historical Aerial Photographs are a collection of both oblique and vertical historic air photos ranging from 1927 to the 1980s.,images,Northern Idaho,47.431308,-116.92337,1927,1953,uiiap,https://www.lib.uidaho.edu/digital/aerial/items/aerial1366.html,"Harrison, Lake Coeur D'Alene"
Idaho Historical Maps,historicalmaps,Idaho Maps,Idaho Historical Maps,9,9,,9,spec_hm,visible,,,,,base-digital-collections-template/historicalmaps,https://www.lib.uidaho.edu/digital/historicalmaps/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/historicalmaps,2023-12,yes,https://www.lib.uidaho.edu/digital/historicalmaps/,Idaho; Northwest; Maps; Mining,AltCollection,Idaho Historical Maps,"A small collection of large historic maps, 1887-1984","A small collection of large maps that depict the Coeur D'Alene mining region, covering areas of Montana and Idaho (Shoshone County). These maps come from the Bunker Hill Mining Company Records, 1887-1984, a manuscript collection held by the University of Idaho Library's Special Collections &amp; Archives department.",images,"Shoshone County, ID; Wallace, ID; Kellogg, ID; Burke, ID; Silver Valley, ID; Mullan, ID; Wardner, ID;",47.686824,-116.726818,1863,1951,spec_hm,https://objects.lib.uidaho.edu/historicalmaps/spec_hm8.jpg,Coeur D'Alene National Forest
Idaho Queered,,Idaho Queered,,46,46,46,,,visible,,,,,,https://www.lib.uidaho.edu/queered/assets,,cb not standard,https://github.com/thecdil/queered_source,2021-05,yes,https://www.lib.uidaho.edu/queered/,Idaho; UIResearch; Oral History,CDIL,Idaho Queered,Proud Histories from the Gem State,"Idaho Queered is a collection of LGBTQ+ Oral Histories that were recorded during 2017-2018. Featuring interviews with queer Idahoans that detail their experiences with coming out, fighting discrimination, and navigating the particular challenges of their lives, the project aims to help preserve LGBTQ history through audio and video storytelling.",videos; transcripts,Idaho,46.729399,-117.012629,2017,2018,queered,,State of Idaho with participant's images representing counties
Idaho Sanborn Maps,sanborn,Idaho Sanborn,,198,198,,,,visible,,,,,base-digital-collections-template/sanborn,https://www.lib.uidaho.edu/digital/sanborn/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/sanborn,2023-12,yes,https://www.lib.uidaho.edu/digital/sanborn/,Idaho; Maps,Collection,Idaho Sanborn,Historic fire insurance maps of Idaho created by the Sanborn Map Company,"The Idaho Sanborn Maps digital collection consists of fire insurance maps created by the Sanborn Map Company. This collection of maps covers 42 counties and 81 cities in Idaho, from the 1880s to 1920s.",images,Idaho,46.40046049,-117.0058513,1884,1929,sanborn,https://objects.lib.uidaho.edu/sanborn/sanborn-ketchum-1890-001.jpg,Sanborn Fire Insurance Map from Kendrick
Idaho Snow Loads,idahosnow,Idaho Snow Loads,,,1,1,,,visible,,no,other,,,,n/a,,https://github.com/uidaholib/idahosnow_source,,,https://www.lib.uidaho.edu/digital/idahosnow/,Idaho; Construction;,Application,Idaho Snow,An interactive snow load application based on geographic areas in Idaho.,"This resources relates to the report &apos;Ground and Roof Snow Loads for Idaho,&apos; which was released in 1986 by the Department of Civil Engineering at the University of Idaho. To read the report and it&apos;s appendices, click on the cover. To use the map, click on the map. This map has been made possible by several years of nonfunded work. We respectfully request that if you use this map or report for commercial purposes, you purchase a pdf/map (information at top right) or donate to the University of Idaho Library.",documents,Idaho,43.492285,-114.411621,1986,1987,idahosnow,https://www.lib.uidaho.edu/digital/idahosnow/elevation.html,Idaho Snow Load Map
Idaho Timber Protective Association Reports,tpa,Idaho Timber Protective Association Reports,,42,42,42,,,visible,,,,,documents-digital-collections-template/tpa,https://www.lib.uidaho.edu/digital/tpa/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/tpa,2023-12,,https://www.lib.uidaho.edu/digital/tpa/,Idaho; Forests,Collection,Idaho Timber,"Annual reports from Idaho Timber Protective Associations, 1910-1964","Annual reports published by Idaho Timber Protective Associations, including the Coeur D'Alene Timber Protective Association, the Pend d'Oreille Timber Protective Association, the Potlatch Timber Protective Association, and the Priest Lake Timber Protective Association.",documents,Idaho,,,1910,1964,tpa,https://objects.lib.uidaho.edu/tpa/tpa-featured-image.jpg,Cover of combined Annual Reports Potlatch Timber Protective Association 1961-1962. Features a forest fire illustration
