colltitle,path,shorttitle,cdmtitle,items,webitems,non-cdm webitems,searchable in cdm,cdmid,status,featured,cb-data,digital_scholarship,need_cb,repository_branch,metadata_path,migrated & deployed?,branch_notes,repo_location,last_cb_update,about_page,website,categories,type,alpha,shortdesc,description,mediatype,location,lat,long,datestart,dateend,image,imagelink,imagetitle
Black History at the University of Idaho,blackhistory,Black History,,620,620,620,,,visible,,,,,bhrle2_source,https://www.lib.uidaho.edu/blackhistory/assets,,,https://github.com/uidaholib/bhrle2_source,2022-02,yes,https://www.lib.uidaho.edu/blackhistory/,Idaho; UI; Black History; Sports,Collection,Black,"Research, essays and scholarship from the Black History Research Lab","Research, essays and scholarship from the Black History Research Lab",documents; images;v video,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1898,2022,blackhistory,,
Bovill Historical Photograph Collection,lchsphotos,LCHS Photos,Latah County Community Heritage Collection,153,153,,153,lchsphotos,visible,,,,,base-digital-collections-template/lchsphotos,https://www.lib.uidaho.edu/digital/lchsphotos/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/lchsphotos,2023-12,yes,https://www.lib.uidaho.edu/digital/lchsphotos/,Idaho; Latah;,AltCollection,Latah County Historical,Photographs from the collection of the Latah County Historical Society,Photographs from the collection of the Latah County Historical Society,images,"Latah County, ID",46.732824,-116.99744,1904,2000,lchsphotos,https://www.lib.uidaho.edu/digital/lchsphotos/items/lchsphotos72.html,People on Bovill&apos;s Main Street
Buddhist Peace Fellowship Digital Collection,bpf,Buddhist Peace,,102,102,102,,,visible,,,,,documents-digital-collections-template/bpf,https://www.lib.uidaho.edu/digital/bpf/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/bpf,2023-12,yes,https://www.lib.uidaho.edu/digital/bpf/,Newsletters; Magazines,Collection,Buddhist ,"Digital archive of the journal of the Buddhist Peace Fellowship, 1979-2010","Newsletters and magazines produced by the Buddhist Peace Fellowship, starting as the Buddhist Peace Fellowship Newsletter from 1979-1990 then continuing as the Turning Wheel Magazine from 1990-2010.",documents,,,,1979,2010,bpf,https://www.lib.uidaho.edu/digital/bpf/items/bpf086.html,Turning Wheel cover Fall 2004
Bunker Hill Labor Collection,bunkerhill,Bunker Hill,Bunker Hill Labor History Collection,463,463,,463,bunkerhill,visible,,,,,documents-digital-collections-template/bunkerhill,https://www.lib.uidaho.edu/digital/bunkerhill/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/bunkerhill,2023-12,yes,https://www.lib.uidaho.edu/digital/bunkerhill/,Idaho; Mining; Labor;,Collection,Bunker,463 letters of correspondence between the managers and owners of the Bunker Hill Mine and Sullivan M. &amp; C. Co.,The Bunker Hill Labor History Collection is 463 letters of correspondence between the managers and owners of the Bunker Hill Mine &amp; Sullivan M. &amp; C. Co.,documents,"Wardner, ID",47.523164,-116.13419,1899,1902,bunkerhill,https://www.lib.uidaho.edu/digital/bigburn/items/bigburn08.html,Forest Fire 1910 - Bunker Hill correspondence
"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",shattuck,Shattuck Collection,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",212,212,,212,spec_cs,visible,y,,,,base-digital-collections-template/shattuck,https://www.lib.uidaho.edu/digital/shattuck/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/shattuck,2023-12,yes,https://www.lib.uidaho.edu/digital/shattuck/,Idaho; UI; Wilderness;,AltCollection,Shattuck,"Early twentieth century slides depicting the University of Idaho, as well as the wilderness of Idaho and Idaho residents&apos; attempts at domesticating it","Charles Houston Shattuck was a professor in the College of Agriculture (now Natural Resources) who initiated &apos;Arboretum Hill&apos; (now known as the Charles Houston Shattuck Arboretum). These early twentieth century slides depict the University of Idaho, as well as the wilderness of Idaho and Idaho residents&apos; attempts at domesticating it.",images,"Selway-Bitterroot Wilderness Region; Bitterroot Mountain, ID; University of Idaho; Moscow, ID; Packers Meadows, ID; Kaniksu National Forest, MT; Lolo Hot Springs, MT;",46.724545,-117.015397,1904,1910,shattuck,https://objects.lib.uidaho.edu/shattuck/shattuck74.jpg,White Sand Lake (Idaho)
Camas Prairie Railroad Time Tables,camasrailroad,Camas Prairie Railroad Time Tables,,137,137,137,,,visible,,,,,documents-digital-collections-template/camasrailroad,https://www.lib.uidaho.edu/digital/camasrailroad/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/camasrailroad,2023-12,yes,https://www.lib.uidaho.edu/digital/camasrailroad/,Idaho; Railroads,Collection,Camas,"Time Table Documents from the Camas Prairie Railroad, operated by Northern Pacific Railway","Time Table Documents from the Camas Prairie Railroad, operated by Northern Pacific Railway",documents,"Lewiston, ID",46.40733431,-116.9976104,1909,1997,camasrailroad,https://www.lib.uidaho.edu/digital/camasrailroad/items/cprr076.html,"Camas Prairie Railroad Co. Employees' Time Table 59 Effective January 25, 1926 12:01 A. M. ""Pacific Time""."
Campus Artwork,campusart,Campus Artwork,,532,532,532,,,visible,,,,,campus-collections-template/campusart,https://www.lib.uidaho.edu/digital/campusart/assets,yes,"sheet titled ""campusart artwork collection digital working copy"" https://docs.google.com/spreadsheets/d/1Viz3e2-UTP0Mwgr4-MkMuyHw_MZXGuwrp0BeaI2uLE4/edit?usp=sharing",https://github.com/uidaholib/campus-collections-template/tree/campusart,2023-12,,https://www.lib.uidaho.edu/digital/campusart/,Campus;UI,CampusCollection,Campus Artwork,An overview of the artworks owned by the University of Idaho. Many are publicly accessible.,An overview of the artworks owned by the University of Idaho. Many are publicly accessible.,images,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1400,2015,campusart,https://www.lib.uidaho.edu/digital/campusart/items/campusart015.html,triangular shaped welded steel mounted on concrete
Campus Planning History,lrcdp,Campus Planning,,11,11,11,,,visible,,,,,campus-collections-template/lrcdp,https://www.lib.uidaho.edu/digital/lrcdp/assets,yes,,https://github.com/uidaholib/campus-collections-template/tree/lrcdp,2023-12,yes,https://www.lib.uidaho.edu/digital/lrcdp/,Campus;UI,CampusCollection,Campus Planning,University of Idaho Long Range Campus Development Plans 1908 to Today,"A collection of items illustrating the University of Idaho campus development plans, from the Olmsted Brothers to Today.",images; documents,"University of Idaho; Moscow, ID;",46.728347,-117.007264,1908,2021,campusplanning,https://objects.lib.uidaho.edu/lrcdp/lrcdp-1925.jpg,Image of 1997 Illustrative Plan
Carleton Watkins Mine Interiors Collection,watkins,Watkins Collection,"Carleton Watkins Mine Interiors Collection (1890, Butte, MT)",80,80,,80,watkins,visible,,,,,base-digital-collections-template/watkins,https://www.lib.uidaho.edu/digital/watkins/assets,yes,,https://github.com/uidaholib/base-digital-collections-template/tree/watkins,2023-12,yes,https://www.lib.uidaho.edu/digital/watkins/,Mining; Northwest;,Collection,Watkins,"Interior photos of mines in Butte, Montana, 1890, hundreds of feet below ground","Among the riches of the historical photograph collections of the University of Idaho Library is an oversize portfolio of eighty original Carleton E. Watkins photographs. Long considered lost, these photographs of the interior of the Anaconda Mines in Butte, Montana, were taken in 1890. They show early hard-rock mining techniques, equipment, and men deep underground.",images,"Butte, MT",46.036746,-112.506437,1890,1891,watkins,https://digital.lib.uidaho.edu/cdm/ref/collection/watkins/id/62,Anaconda Mines - Mt Con 400 level East sill floor
Cattle Producer's Handbook Collection,cattle,Cattle Handbook,Cattle Producer's Handbook Collection,12,12,,12,cattle,visible,,,,,documents-digital-collections-template/cattle,https://www.lib.uidaho.edu/digital/cattle/assets,yes,,https://github.com/uidaholib/documents-digital-collections-template/tree/cattle,2023-12,yes,https://www.lib.uidaho.edu/digital/cattle/,UIResearch; Agriculture; Environmental; Idaho; UI;,AltCollection,Cattle,Handbook prepared regularly by the Western Beef Resource Committee (WBRC),"The Cattle Producer's Handbook is prepared by the Western Beef Resource Committee (WBRC), which consists of beef specialists, economists, range scientists, animal nutritionists, county educators, and veterinarians from the Cooperative Extension System and cattle industry.",documents,"Twin Falls, ID",42.562404,-114.460263,2014,2018,cattle,https://commons.wikimedia.org/wiki/File:Brown_Cow_Drawing.jpg,Brown cow image from wikimedia
