category,title,description,link
Idaho Data,Indicators Idaho,"Data presented at Indicators Idaho come from a wide range of public sources. At the federal level, these sources include the U.S. Census Bureau, U.S. Bureau of Labor Statistics, U.S. Bureau of Economic Analysis, and U.S. Bureau of Indian Affairs, to name just a few. Some of our indicators - such as teen birth rates and mothers who receive late or no prenatal care - come from state sources.",http://www.indicatorsnorthwest.org/
Idaho Data,Idaho Population Data Tables (US Census Bureau),,http://factfinder2.census.gov/faces/nav/jsf/pages/searchresults.xhtml?refresh=t
Idaho Data,Idaho Labor Market Information (ID Dept of Labor),,https://lmi.idaho.gov/
Idaho Data,Idaho Statistics Update (U of I Library),Historical Statistics for Idaho,https://dataverse.harvard.edu/dataverse/Idahostats
Idaho Data,Idaho Recreational Data (GIS),,https://idpr-data-idaho.hub.arcgis.com/
Idaho Data,Waste Management in Idaho (Dept. of Env. Quality),,http://www.deq.idaho.gov/waste-mgmt-remediation.aspx
Idaho Data,Economic Indicators of Idaho,Idaho Dept. of Commerce,http://commerce.idaho.gov/business-climate/
Human Dimensions / Demography Data,US Census Bureau,,http://www.census.gov/
Human Dimensions / Demography Data,US GAP Analysis - Protected Areas Database,,http://gapanalysis.usgs.gov/padus/
Human Dimensions / Demography Data,NASA - Human Dimensions Data Directory,,http://gcmd.nasa.gov/KeywordSearch/Keywords.do?Portal=GCMD&amp;KeywordPath=Parameters%7CHUMAN+DIMENSIONS&amp;MetadataType=0&amp;lbnode=mdlb4
Human Dimensions / Demography Data,EOSDIS - Human Dimension Data sets,,https://earthdata.nasa.gov/discipline/human-dimensions
Human Dimensions / Demography Data,Earth Institute - Socioeconomic Datasets,,http://sedac.ciesin.columbia.edu/data/sets/browse
Human Dimensions / Demography Data,USDA Economic Research Service,"Food Use, Agriculture, Nutrition",http://www.ers.usda.gov/data-products.aspx
Human Dimensions / Demography Data,US EPA - Wastes Homepage,Resources relating to production and treatement of waste in the United States.,http://www.epa.gov/osw/
Human Dimensions / Demography Data,Inter-University Consortium for Political and Social Research (ICPSR),,https://www.icpsr.umich.edu/icpsrweb/
Climate Data,National Centers for Environmental Information (NCEI),"This database provides information from the National Climatic Data Center, part of the U.S. Department of Commerce. Included are climatic data from major airport weather stations, precipitation data, storm data, and Monthly Climatic Data for the World.",http://www.ncdc.noaa.gov/
Climate Data,National Climatic Data Center (NOAA),,http://www.ncdc.noaa.gov/oa/ncdc.html
Climate Data,IRI/Columbia Climate Data Library,,http://iridl.ldeo.columbia.edu/
Climate Data,National Center for Atmospheric Research,,http://climatedataguide.ucar.edu/
Climate Data,GeoData Portal - USGS Center for Integrated Data Analytics,,http://cida.usgs.gov/gdp
"Soil, Vegetation, and Land Use Data",Forestry Inventory and Analysis National Program (USFS),,https://www.fia.fs.fed.us/tools-data/
"Soil, Vegetation, and Land Use Data",Urban Forest Data (USFS),,https://www.nrs.fs.fed.us/data/urban/
"Soil, Vegetation, and Land Use Data",Public Land Statistics (BLM),,http://www.blm.gov/public_land_statistics/index.htm
"Soil, Vegetation, and Land Use Data",ForesSTAT (UN FAO),,http://faostat.fao.org/site/626/default.aspx#ancor
"Soil, Vegetation, and Land Use Data",LANDFIRE (USGS),,https://www.landfire.gov/
"Soil, Vegetation, and Land Use Data",Global Change Master Directory - Land Surface,,http://gcmd.nasa.gov/KeywordSearch/Keywords.do?Portal=GCMD&amp;KeywordPath=Parameters%7CLAND+SURFACE&amp;MetadataType=0&amp;lbnode=mdlb4
"Soil, Vegetation, and Land Use Data",Oak Ridge National Lab - Vegetation Collections (ORNL-DAAC),"Vegetation collections data include: biomass, biome characteristics, litter chemistry and decomposition, geoecology, nutrient concentration profiles and turnover, global fire emissions, vegetation, and Leaf Area Index (LAI), ecosystem Structure and Function, phenoregions, carbon flux",http://daac.ornl.gov/VEGETATION/vegetation_collections.shtml
"Soil, Vegetation, and Land Use Data",Oak Ridge National Lab - Soils Collections (ORNL-DAAC),"The ORNL DAAC Soil Collections archive contains data on the physical and chemical properties of soils, including: soil carbon and nitrogen, soil water-holding capacity, soil respiration, soil texture.",http://daac.ornl.gov/SOILS/soils_collections.shtml
"Soil, Vegetation, and Land Use Data",International Multiproxy Paleofire Database (NOAA),,http://www.ncdc.noaa.gov/paleo/impd/
"Soil, Vegetation, and Land Use Data",Wood Hole Research Center Datasets,Datasets available include the National Biomass and Carbon Dataset 2000 (NBCD) and the Large-Scale Biosphere-Atmosphere Experiment (LBA).,http://whrc.org/publications-data/datasets/
Geospatial Data,INSIDE Idaho,,https://www.insideidaho.org/
Geospatial Data,Data.gov - Geospatial,,https://www.data.gov/geospatial/
Geospatial Data,Oregon,,http://www.oregon.gov/DAS/pages/irmd/geo/sdlibrary.aspx
Geospatial Data,Montana,,http://nris.mt.gov/gis/
Geospatial Data,Nevada,,http://www.nbmg.unr.edu/Maps&amp;Data/VirtualClearinghouse.html
Geospatial Data,Utah,,http://gis.utah.gov/
Geospatial Data,Washington,,http://guides.lib.uw.edu/research/gis
Geospatial Data,Wyoming,,http://www.uwyo.edu/wygisc/
Geospatial Data,Land Cover - US GAP Analysis Program,,https://gapanalysis.usgs.gov/gaplandcover/
