link,title,type,number,digital-collection
http://archiveswest.orbiscascade.org/ark:/80444/xv68062,"Office of Price Administration, Latah County. Records, 1942-1945",MG,1,
http://archiveswest.orbiscascade.org/ark:/80444/xv00689/,"Francis Laney. Papers, 1867-1938",MG,2,
http://archiveswest.orbiscascade.org/ark:/80444/xv33522/,"Nell K. Irion. Papers, 1916-1944",MG,3,
http://search.lib.uidaho.edu/UID:CP71179075410001451,"Republican Party (Idaho).  State Assembly. Transcripts, 1970-1980. ",MG,4,
http://archiveswest.orbiscascade.org/ark:/80444/xv66353,"Stanly Easton. Papers, 1900-1916",MG,5,http://digital.lib.uidaho.edu/cdm/search/collection/bunkerhill
http://archiveswest.orbiscascade.org/ark:/80444/xv99186,"Weldon Brinton Heyburn. Papers, 1889-1911",MG,6,
http://archiveswest.orbiscascade.org/ark:/80444/xv31811/,"Phi Kappa Phi. Records, 1952-1986",MG,7,
http://archiveswest.orbiscascade.org/ark:/80444/xv64985/,"George L. Shoup. Papers, 1861-1958",MG,8,
http://archiveswest.orbiscascade.org/ark:/80444/xv97816,"James Franklin Ailshie. Papers, 1902-1931",MG,9,
http://archiveswest.orbiscascade.org/ark:/80444/xv30443,"William Edgar Borah. Scrapbooks, 1903-1947",MG,10,
http://archiveswest.orbiscascade.org/ark:/80444/xv63274,"Clarence A. Bottolfsen. Papers, 1926-1964",MG,11,
http://archiveswest.orbiscascade.org/ark:/80444/xv96107,"Craig Mountain Lumber Company. Records, 1909-1956",MG,12,
http://archiveswest.orbiscascade.org/ark:/80444/xv19424,"John E. Hayes. Papers, 1902-1937",MG,13,
http://archiveswest.orbiscascade.org/ark:/80444/xv61565,"Star Hardware Company. Records, 1914-1931",MG,14,
http://archiveswest.orbiscascade.org/ark:/80444/xv94398,"First National Bank of Wallace. Records, 1892-1949",MG,15,
http://archiveswest.orbiscascade.org/ark:/80444/xv27023/,"Kootenai County, Idaho. Attorney. CAB Hearing Records, 1965-1966",MG,16,
http://search.lib.uidaho.edu/UID:CP71138704790001451,"Soda Springs Land and Cattle Company. Papers, 1889-1891. ",MG,17,
http://archiveswest.orbiscascade.org/ark:/80444/xv59856,"Cornelius James Brosnan. Papers, 1917-1950",MG,18,
http://search.lib.uidaho.edu/UID:CP71111604070001451,"George R. Trask. Papers, 1889-1916",MG,19,
http://search.lib.uidaho.edu/UID:CP71111610180001451,"Idaho Memorial Building Association. Records, 1929",MG,20,
http://archiveswest.orbiscascade.org/ark:/80444/xv93028,"American Society for Range Management. Idaho Section. Records, 1951-1969",MG,21,
http://archiveswest.orbiscascade.org/ark:/80444/xv25655,"Barzilla W. Clark. Papers, 1937-1938",MG,22,
http://archiveswest.orbiscascade.org/ark:/80444/xv58486,"Harry W. Marsh. Papers, 1918-1966",MG,23,
http://archiveswest.orbiscascade.org/ark:/80444/xv91319,"James M. Lyle. Papers, 1883-1949",MG,24,
http://archiveswest.orbiscascade.org/ark:/80444/xv23945,"The Pleiades Club. Records, 1892-1985",MG,25,
http://archiveswest.orbiscascade.org/ark:/80444/xv56777,"J. Neilson Barry. Papers, 1932-1958",MG,26,
http://archiveswest.orbiscascade.org/ark:/80444/xv89609/,"A.W. Post Family. Papers, 1862-1966",MG,27,
http://search.lib.uidaho.edu/UID:CP71115615290001451,"Clara Ransom Davis. Papers, 1883-1957",MG,28,
http://archiveswest.orbiscascade.org/ark:/80444/xv22235,"Idaho Library Association. Records, 1915-1988",MG,29,
http://search.lib.uidaho.edu/UID:CP71138712740001451,"Mackay (Idaho).  Justice Court. Dockets, 1914-1932",MG,30,
http://archiveswest.orbiscascade.org/ark:/80444/xv55068,"Musselshell Mining Company. Records, 1901-1908",MG,31,
http://search.lib.uidaho.edu/UID:CP71138713430001451,"Charles Hoffman Farm. Records, 1885-1912. ",MG,32,
http://search.lib.uidaho.edu/UID:CP71147029510001451,"John H. Botten Hardware and Furniture. Records, 1901-1935. ",MG,33,
http://search.lib.uidaho.edu/UID:CP71147028790001451,"Moscow Commercial Bank (Idaho). Records, 1889-1895",MG,34,
