item,fine_cap,per_day,replacement_fee
Video Cameras,$70.00,$5.00,"$1,500.00"
Laptops,$70.00,$5.00,"$1,400.00"
DSLR Cameras,$70.00,$5.00,$900.00
Drawing Tablet,$70.00,$5.00,$700.00
Speedlite kit,$70.00,$5.00,$450.00
TASCAM Recorders,$70.00,$5.00,$360.00
GoPros,$70.00,$5.00,$250.00
Ring Light Kit,$70.00,$5.00,$250.00
Sewing Machines,$70.00,$5.00,$200.00
USB Microphone,$70.00,$5.00,$200.00
"Tripods, external hard drives, external disc drives, video light kit, green screen, wireless presenter, light reflector/diffuser kit, portable speaker",$70.00,$5.00,$100.00
"Chargers, room kits, headphones, calculators",$20.00,$5.00,$100.00
Course Reserve Items,$20.00,$5.00,$100.00
Interlibrary Loan Items,,Per Item (Contact ILL),Per Item (contact ILL)
Summit Items,,No fines,$100.00
All other items in the University of Idaho Library not mentioned above,,No fines,$100.00
