value,text
1,1: University of Idaho Campus
2,2: U of I Student Organizations Collection
3,3: U of I Portrait Collection
4,4: U of I Organizations and/or Objects
5,5: Idaho Cities and Towns
6,6: Idaho
7,7: Lee Moorehouse
8,8: Barnard-Stockbridge Collection
9,9: Postcard Collection
10,10: Latah County Pioneer Association
11,11: Roy A. Bell Collection
12,12: John Miller 'Trees Grew Tall'
13,13: A.B. Curtis Collection
14,14: T.B. Keith Collection
15,15: John Fahey 'Hercules' Collection
16,16: R.V. Nixon Collection
17,17: Priest Lake Museum Association
18,18: John B. Wilson Studio Collection
20,20: U of I Publications Dept. Negatives
21,21: Civil Engineering
24,24: U of I Theatre Arts
25,25: Wallace Idaho Scenes
26,26: William Allen Stonebraker Collection
29,29: University of Idaho
30,30: Lewis and Clark Trail
31,31: University of Idaho Homecoming
32,32: Constance Talbott/A.B. Hatch
34,34: University of Idaho Library
35,35: Idaho Scenes
37,37: College of Agriculture
38,38: Stephen Shawley Collection
40,40: U of I Alumni Association
60,60: Union Pacific Railroad Bridges
62,62: Roy A. Bell Collection II
64,64: Francis B. Laney Collection
65,65: John B. Miller
67,67: Moscow Idaho
68,68: University of Idaho Slides
70,70: Idaho Family Album
71,71: Eaton Family Photograph Album
72,72: Earl Elstone Collection
73,73: University of Idaho
74,74: William Henry Thomas
75,75: Sandpoint Research and Extension Center
78,78: Oren A. Fitzgerald Collection
79,79: Paragon Mining Company Scrapbook
80,80: Arthur C. Hope
81,81: C.E. Jacoby
82,82: UI/Theodore Roosevelt
83,83: Tabor Drug Company
89,89: Carleton Watkins Portfolio
90,90: Clifford M. Ott Collection
91,91: Ott-Hodgins Collection
92,92: Hodgins Drug Store Collection
93,93: University of Idaho Glass Negatives
95,95: North Idaho Scenery Collection
96,96: Hess/Barnard Collection
97,97: Albert J. Ohlson Collection
98,98: Bunker Hill Negatives
99,99: Kyle Laughlin
100,100: Nez Perce Photo Album
101,101: Gem of the Mountains
102,102: Wilfrid Waters
103,103: Kooskia Internment Camp Scrapbook
5129,5129: 'Light on the Mountains' Pageant
5388,5388: Theophilus Boxing Collection
5436,5436: Iorwerth 'Ace' Griffiths Collection
6008,6008: George L. Shoup Papers
6010,6010: William E. Borah Scrapbooks
6018,6018: C.J. Brosnan Papers
6036,6036: C.W. Clarke Papers
6049,6049: Beacon for Mountain and Plain
6069,6069: White Pine Papers
6101,6101: Frank B. Robinson Papers
6113,6113: Allen and Eleanor Morrill Papers
6115,6115: Claude and Catherine Simpson Papers
6119,6119: Robert Ewing Hosack Papers
6122,6122: Glen Lockery Papers
6135,6135: Potlatch Lumber Company
6137,6137: North Idaho Children's Home
6171,6171: Leslie E. Eddy Scrapbook
6183,6183: Hal Riegger CPRR Collection
6409,6409: B.F. Ellis Papers
