type,title,description,link,img
oa,Biodiversity Heritage Library,"BHL is a consortium of natural history and botanical libraries that cooperate to digitize and make accessible the legacy literature of biodiversity held in their collections and to make that literature available for open access and responsible use as a part of a global ""biodiversity commons."" BHL also serves as the foundational literature component of the Encyclopedia of Life (EOL).",https://www.biodiversitylibrary.org/,biodiversity_heritage_library_logo.png
oa,Project Gutenberg,"Project Gutenberg offers over 60,000 free ebooks: choose from among free epub books or Kindble books and download or read them online. All ebooks are free in the United States because their copyright has expired.",https://www.gutenberg.org/,project_gutenberg_logo.png
oa,Internet Archive,"The Internet Archive contains a wide range of digitized fiction, popular books, children's books, historical texts, and academic books.",http://archive.org/,ialogo.png
oa,Hathi Trust,"HathiTrust is a partnership of major research institutions and libraries working to ensure that the cultural record is preserved and accessible long into the future. More than 10 million total items have been added although not all are available for free. To find those that are, click ""Full View Only"" prior to searching.",http://www.hathitrust.org/,hathitrust.jpg
oa,International Childern's Digital Library,"The ICDL Foundation's goal is to build a collection of books that represents outstanding historical and contemporary books from throughout the world.",http://childrenslibrary.org/,icdlbooks.gif
