room_id,floor,svg_id,name,zone,room_number,short_description,long_description,more_info_url,action_url,action_label,photo_url,video_url,librarian_id,is_tour_stop,tour_order,notes
circulation,1,Circulation,Circulation Desk,service,,Check out materials and pick up course reserves.,The Circulation Desk is where you can check out materials and pick up course reserves with your Vandal ID.,,,,,,,TRUE,1,
spec-reading-room,1,Spec_Reading_Room,Special Collections Reading Room,service,121,Reading room for Special Collections and Archives. By appointment.,"You can make an appointment with the Special Collections and Archives staff to access the unique and rare materials, including many primary sources, that are housed in Special Collections.",,,Make an appointment,,,,TRUE,3,
interlibrary-loan,1,InterLibrary_Loan,Interlibrary Loan,service,109,Request books and articles from other libraries.,"Interlibrary Loan helps you get books, articles, and other materials that the U of I Library doesn't have on hand by requesting them from other libraries.",,,,,,,FALSE,,
living-room,1,Living_Room,Living Room,collab,,"Casual seating with periodicals, board games, and graphic novels.","A casual, open seating area featuring the New Books and Graphic Novels collections, current periodicals, and a board-game library.",,,,,,,FALSE,,
group-study-rooms-131-132,1,Group_Study_Rooms,Reservable Group Study Rooms,collab,"131, 132",Bookable group study rooms for collaborative work.,Bookable group study rooms for collaborative work. Reserve in advance through the library website.,,,Reserve,,,,FALSE,,
group-study-area-floor-1,1,Group_Study_Area,Open Group Study Area,collab,,Open seating for casual group study.,An open seating area for casual group study and conversation.,,,,,,,FALSE,,
fishbowl,1,Fishbowl,The Fishbowl,collab,,Round collaborative space near the entrance.,"A circular collaborative space near the entrance, often used for group conversations and quick meetings.",,,,,,,FALSE,,
instruction-room-120,1,Instruction_Room_120,Instruction Room,collab,120,Reservable classroom for library workshops and class sessions.,A reservable instruction space used for library workshops and class sessions.,,,Reserve,,,,FALSE,,
board-games,1,Board_Games,Board Games,collab,,Board games available for use in the Living Room.,A collection of board games available for use in the Living Room.,,,,,,,FALSE,,Sub-area within the Living Room.
new-books,1,New_Books,New Books,collab,,Rotating display of recently acquired titles.,A rotating display of recently acquired titles in the Living Room.,,,,,,,FALSE,,Sub-area within the Living Room.
