category,display_name,description,type,link
university,University,"We seek to document the broad history of the University of Idaho and collect administrative records, university programs and event records, departmental histories, faculty publications and papers, student residence and Greek life, photographs of campus and events, and student groups/clubs.",content,https://archiveswest.orbiscascade.org/search.php?r=idu&q=%22UG+%22
mg,Manuscripts,"We hold over 6,000 cubic feet of manuscript collections that include, but are not limited to: personal papers of individuals and families; business records from the lumber, railroad, and mining industries; papers of government officials, educators, authors, and artists; organizational and association records of religious, fraternal, civic, environmental, and non-profit groups.",physical,https://archiveswest.orbiscascade.org/search.php?r=idu&q=%22MG+%22
pg,Photographs,"These collections consist of photographs in glass negative, negative, and print forms of life, people, and environments in Moscow and the University and surrounding areas. These images date from the mid-late 19th century to the 1970s and 1980s and record many events and places.",physical,https://archiveswest.orbiscascade.org/search.php?r=idu&q=%22PG+%22
books,Books,"We have around 24,000 rare and unique books and university theses in our book collections. These include books written by specific authors, such as Ezra Pound, Sir Walter Scott, and Mark Twain, university theses and dissertations, and State of Idaho publications.",physical,https://alliance-uidaho.primo.exlibrisgroup.com/discovery/search?vid=01ALLIANCE_UID:UID&tab=SPECAW_Slot&search_scope=SPECAW
