accession_number,title,extent
MA 2012-13,Barbara Meldrum Papers,9.00 Cubic_feet
MA 2012-44,Barbara Ware Featherstone Papers,1.00 Folder
MA 2015-26,Barnard-Stockbridge Copy Prints and Negatives,2.00 Cubic_feet
MA 1999-21,Barnard-Stockbridge Glass Plate Negatives,4.00 Cubic_feet
MA 2016-10,Beacon for Mountain and Plain autographed/inscribed copy,1.00 Volumes
MA 2015-30,Bear Top Mining Company records,1.00 Folder
MA 2018-17,Ben Davis Papers,3.00 Folders
MA 2010-28,Benny Goodman Quartet Reunion,1.00 cassette
MA 2016-36,Bert Lapkin Amazon-Manhattan Minining Company check,1.00 Folder
MA 1984-14,Bert Russell Papers,0.50 Cubic_feet
UA 2016-23,Bertrand and Florence Heath Memorabilia from the University of Idaho,0.50 Cubic_feet
MA 2007-15,Bessie Olmstead Papers,0.25 Cubic_feet
MA 2018-21,Bessie Olmstead Storms Papers,4.00 Cubic Feet
MA 2015-24,Beta Theta Pi Collection,1.00 Cubic_feet
MA 2012-35,Beta Theta Pi Memorabilia,0.50 Cubic_feet
MA 2015-27,Beta Theta Pi Records,1.00 Folder
MA 2015-31,Beta Theta Pi Records,1.00 Folder
MA 2020-14,Betty Crampton collection,1.00 Folder
MA 2010-18,Beverly Lingle Papers,0.20 Cubic_feet
MA 1992-29,Bill London Papers,2.00 Cubic_feet
MA 1993-37,Bill London Papers,1.00 Cubic_feet
MA 1994-27,Bill London Papers,1.00 Cubic_feet
MA 1995-28,Bill London Papers,1.00 Cubic_feet
MA 1996-24,Bill London Papers,1.00 Cubic_feet
MA 1997-05,Bill London Papers,1.00 Cubic_feet
MA 1998-10,Bill London Papers,1.00 Cubic_feet
MA 1999-06,Bill London Papers,0.50 Cubic_feet
MA 2001-01,Bill London Papers,1.00 Cubic_feet
MA 2002-02,Bill London Papers,1.00 Cubic_feet
MA 2003-01,Bill London Papers,1.00 Cubic_feet
MA 2004-04,Bill London Papers,1.00 Cubic_feet
MA 2006-01,Bill London Papers,1.00 Cubic_feet
MA 2007-02,Bill London Papers,1.00 Cubic_feet
MA 2008-01,Bill London Papers,0.30 Cubic_feet
MA 2009-08,Bill London Papers,0.50 Cubic_feet
MA 2011-14,Bill London Papers,0.75 Cubic_feet
MA 2012-01,Bill London Papers,1.00 Cubic_feet
MA 2005-01,Bill London Photographs,1.00 Cubic_feet
MA 1992-22,Bill London Publications,1.50 Cubic_feet
MA 2001-19,Bill Swagerty Papers,0.50 Cubic_feet
MA 2015-22,Biological and Agricultural Engineering Department Records,2.00 Cubic_feet
UA 2000-02,Biological and Agricultural Engineering Records,5.00 Cubic_feet
UA 1990-01,Blue Ribbon Panel Report,0.50 Cubic_feet
UA 2007-18,Board of Regents of the University of Idaho Records,9.00 Cubic_feet
UA 1980-023,Board of Regents Records,19.50 Cubic_feet
UA 2017-21,Bob Fahringer Collection,2.00 Cubic_feet
MA 2016-11,Bob Holder Collection,0.25 Linear feet
MA 2019-46,Bonnie J. Hultstrand papers,3.00 Cubic Feet
MA 2020-04,Booth Family collection,1.00 Folder
UA 1988-08,Borah Foundation Cassettes,1.00 Cubic_feet
UA 1991-030,Borah Foundation Committe Records,1.50 Cubic_feet
UA 1989-11,Borah Foundation Committee Records,0.50 Cubic_feet
UA 1990-09,Borah Foundation Records,0.50 Cubic_feet
UA 1990-18B,Borah Foundation Records,0.50 Cubic_feet
UA 1991-004,Borah Foundation Records,0.50 Cubic_feet
UA 1992-07,Borah Foundation Records,0.50 Cubic_feet
UA 1995-10,Borah Foundation Records,0.50 Cubic_feet
UA 1995-19,Borah Foundation Records,0.50 Cubic_feet
UA 1980-026,Borah Symposium Minutes,3.00 Volumes
UA 2001-04,Borah Symposium Records,1.00 Cubic_feet
UA 2012-07,Bower Anthropology Laboratory Records,1.00 Cubic_feet
UA 1990-44,Boyd A. Martin Papers,6.00 Cubic_feet
UA 1991-008,Boyd A. Martin Papers,11.00 Cubic_feet
MA 1998-07,Boyd Archer Martin Correspondence,1.00 Cubic_feet
MA 1991-58,Boyd Martin Papers,9.00 Cubic_feet
MA 1998-12,Boyd Martin Papers,33.00 Cubic_feet
MA 1987-37,Branyan Correspondence,0.50 Cubic feet
MA 2019-48,Brashears Family collection,1.00 Cubic_feet
MA 2018-44,Brian R. Stickney Collection on the Panama Canal,1.00 Linear_feet
UA 2015-03,Brink Hall Photograph,1.00 Cubic_feet
MA 2012-21,Bruce E. Perkins Photographs of,0.25 Cubic_feet
MA 2018-56,Bruce Pitman Papers,0.50 Cubic_feet
UA 2009-10,Budget Office Records,6.00 Cubic_feet
UA 2011-19,Budget Office Records,24.00 cubic feet
MA 2018-57,Bunker Hill and Sullivan Mining Company Papers,0.50 Cubic_feet
MA 2008-35,Bunker Hill and Sullivan Mining Company Records,0.30 Cubic_feet
MA 2007-30,Bunker Hill Company Records,1.00 Volumes
MA 2000-33,Bunker Hill Mining Company Records,11.50 Cubic_feet
UA 1989-12,Bureau of Public Affairs Records,1.00 Cubic_feet
MA 2005-08,"Bureau of Reclamation, Department of the Interior Records",1.00 Cubic_feet
MA 2016-15,Burton French Ellis Collection,2.00 Cubic_feet
UA 2011-02,Business Incubator Photographs,1.00 Folder
MA 2019-24,C.C.C. Review Newspaper collection,1.00 Cubic_feet
MA 1986-26,Calvin C. Warnick Papers,1.00 Cubic_feet
MA 1986-31,Calvin C. Warnick Papers,3.00 Cubic_feet
MA 1987-22,Calvin C. Warnick Papers,1.00 Cubic_feet
MA 1988-04,Calvin C. Warnick Papers,0.50 Cubic_feet
MA 1997-11,Calvin C. Warnick Papers,3.00 Cubic_feet
MA 1997-25,Calvin C. Warnick Papers,0.50 Cubic_feet
MA 1997-33,Calvin C. Warnick Papers,0.50 Cubic_feet
MA 1992-31,Calvin Warnick Papers,2.00 Cubic_feet
MA 1993-12,Calvin Warnick Papers,0.50 Cubic_feet
MA 1993-17,Calvin Warnick Papers,0.50 Cubic_feet
MA 2016-51,Camp Cameron (CCC) tent pole,1.00 Cubic_feet
UA 1980-027,Campus Affairs Committee Minutes,1.00 Volumes
MA 2016-30,Campus Christian Center Records,11.00 Cubic_feet
MA 2017-26,Campus Christian Center Records,2.00 Cubic_feet
UA 2019-56,Campus Photograph Collection,3.00 Cubic_feet
UA 1980-034,Campus Planning Committee Minutes,2.00 Volumes
UA 1988-10,Campus Planning Committee Records,0.50 Cubic_feet
UA 2018-13,Campus Planning Committee Records,0.50 Cubic_feet
UA 1980-035,Campus Planning Office Records,0.50 Cubic_feet
UA 2015-04,Campus Postcard Collection,1.00 cubic feet
UA 2004-04,Campus Recordings,1.00 Cubic_feet
UA 1980-029,Canada Day Records,1.00 Volumes
MA 2013-12,CANUSA-West Records,1.00 Cubic_feet
MA 2008-32,Carla Emery Papers,2.00 Cubic_feet
MA 2014-54,Carol Brink books purchase notes,1.00 Cubic_feet
MA 2006-03,Caroline Behre Photographs,0.25 Cubic_feet
MA 2015-09,Carolyn McCoy Collection,1.00 Cubic_feet
MA 2016-42,Carolyn McCoy Papers,1.00 Folder
MA 2007-06,"Catherine Knowles, K. Johnson, and Colin Postcards",0.50 Cubic_feet
UA 2019-07,Cecelia Luschnig papers,1.00 Cubic_feet
MA 1992-37,Cecil Hathaway Papers,1.00 Cubic_feet
MA 1986-19,Cecil W. Hathaway Papers,4.00 Cubic_feet
