accession_number,title,extent
MA 2003-18,Elmer Paul Oral Histories,0.50 Cubic_feet
MA 2008-43,"Elmore County, Idaho Tax Receipts",1.00 Cubic_feet
UA 1993-10,English Department Computer Writing Lab papers,1.00 Cubic_feet
UA 1999-06,English Department Records,0.50 Cubic_feet
UA 1986-002,Entomology Deptartment Scrapbooks,1.00 Cubic_feet
MA 2018-37,Erma Scholtz Papers,0.50 Linear_feet
MA 2015-03,Ernest Hemingway Photograph,1.00 Folder
MA 2012-24,Ernie Jorgenson Collection,6.00 Cubic_feet
MA 2018-63,Esther Harrison Beale Diary,1.00 Folder
MA 2006-11,Eugene Eastman Papers,1.00 Cubic_feet
MA 2007-10,Eugene Hamilton Storer Papers,0.50 Cubic_feet
MA 2018-49,European Pine Shoot Moth Papers,1.00 Linear_feet
UA 2013-03,Extension Bulletin Printing Block,0.25 Cubic_feet
UA 2013-08,Extension Forestry Records,8.00 Cubic_feet
MA 2016-06,F. W. Bradley Scrapbook,0.25 Linear feet
UA 2012-14,"Facilities Management, Arch & Engr Services Records",0.25 Cubic_feet
UA 2012-18,"Facilities Management, Architectural and Engineering Services Records",0.25 Cubic_feet
UA 2011-07,Facilities Records,1.00 Cubic_feet
UA 1980-032,Faculty Affairs Committee Minutes,5.00 Volumes
UA 1990-18A,Faculty Affairs Committee Records,0.50 Cubic_feet
UA 2000-10,Faculty Appeals Hearing Board Records,0.50 Cubic_feet
UA 2007-04,Faculty Appeals Hearing Board Records,0.50 Cubic_feet
UA 1985-11,Faculty at Large Records,0.50 Cubic_feet
UA 1993-23,Faculty Council Records,1.00 Cubic_feet
UA 1994-13,Faculty Council Records,0.50 Cubic_feet
UA 1980-030,Faculty Council Senate Minutes,18.00 Volumes
UA 1980-122,Faculty Inservice Training Committee Report,1.00 Volumes
UA 2018-34,Faculty Office Complex Committee Records,1.00 Folder
UA 2020-04,Faculty Secretary Office materials,0.25 Cubic Feet
UA 1991-043,Faculty Secretary Records,0.50 Cubic_feet
UA 2014-13,Faculty Senate Records,0.50 Cubic_feet
UA 2018-05,Faculty Senate Records,112.30 Megabytes
UA 1998-10,Faculty Staff Handbooks,2.00 Cubic_feet
UA 1998-05,Faculty/Staff Handbook Working Group Records,0.50 Cubic_feet
MA 2018-68,Fairbrother photograph,1.00 Folder
UA 2018-25,Family Living Programs Papers,0.50 Linear_feet
MA 2013-06,Farm House Fraternity and Agricultural Extension Service Records,0.50 Cubic_feet
MA 2010-08,Farm House Fraternity Records,1.00 Cubic_feet
MA 2003-28,Farm House Records,2.00 Cubic_feet
MA 2012-45,Farmhouse Fraternity Records,1.00 Cubic_feet
UA 1999-03,Financial Affairs Property Inventory Books,94.00 Volumes
UA 1980-031,Financial Office Records,11.00 Volumes
UA 1995-31,Fine Arts Committee Records,0.50 Cubic_feet
UA 2008-06,First Annual Jazz History Conference,1.00 Cubic_feet
MA 2015-17,First National Bank of Wallace Collection,1.00 Folder
MA 2018-02,First National Bank of Wallace Ruler,1.00 Folder
MA 2018-62,Fletcher Harper Swift Papers,1.00 Folder
UA 2011-13,Florence Schnoke scrapbook,1.00 Cubic_feet
MA 2018-51,Forest Insect Reports,1.00 Folder
UA 1995-26,Forest Resources Records,0.50 Cubic_feet
UA 1998-02,Forest Resources Records,1.00 Cubic_feet
MA 2018-46,Forestry Photographs,1.00 Folder
MA 2003-08,Fran Rader Photographs,2.00 Cubic_feet
MA 1992-21,Francis (Frank) Seaman Papers,13.50 Cubic_feet
MA 1998-11,Francis J. Packy Boyle Collection,1.00 Cubic_feet
MA 1992-46,Francis Seaman Papers,28.00 Cubic_feet
MA 2000-32,Francis Seaman Papers,1.00 Cubic_feet
MA 2001-12,Frank C. Leonhardy Papers,1.00 Cubic_feet
MA 2002-19,Fred Clagett Papers,13.00 Cubic_feet
MA 2015-42,Fred Graf Student Scrapbook,1.00 Cubic_feet
MA 1993-21,Fred H. Winkler Papers,2.00 Cubic_feet
MA 1996-28,Fred H. Winkler Papers,2.00 Cubic_feet
MA 1992-17,Fred Weber Papers,1.00 Cubic_feet
MA 1996-23,Fred Winkler Papers,1.00 Cubic_feet
MA 1993-19,Frederick J. Watts Papers,2.00 Cubic_feet
MA 2012-37,Friends of Music/Pullman-Moscow Chorale Records,0.50 Cubic_feet
MA 2014-57,"Future Farmers of America, University of Idaho Collegiate Chapter Records",1.00 Cubic_feet
MA 2016-49,Gail Eckwright Papers,1.00 Cubic_feet
MA 2009-05,Gary Bennett Papers,1.00 Folder
MA 1994-16,Gary L. Bennett Papers,1.00 Cubic_feet
MA 1996-04,Gary L. Bennett Papers,0.50 Cubic_feet
MA 2020-16,Gary Post Collection on Beta Theta Pi,0.50 Cubic Feet
MA 2016-39,Gary Williams Papers,15.00 Cubic_feet
UA 2011-03,Gary Williams Papers,3.00 Cubic_feet
UA 2019-14,Gary Williams papers,1.00 Cubic_feet
UA 1989-60,Gem of the Mountains Photographs,1.50 Cubic_feet
UA 2017-29,Gem of the Mountains Photographs,0.50 Cubic_feet
UA 1989-42,Gem of the Mountains Records,0.50 Cubic_feet
UA 2017-07,"Gem of the Mountains yearbook, 1922",1.00 Volumes
UA 2017-43,Gem of the Mountains Yearbooks,6.00 Volumes
MA 2002-21,Gene Eastman Papers,1.00 Cubic_feet
MA 2019-06,Gene Eastman papers,1.00 Folder
UA 2016-04,Gene Merrell Photographs of Cloned Mules,0.25 Linear feet
MA 2006-16,Gene Slade Photographs,1.00 Cubic_feet
UA 2007-21,General Faculty Minutes,1.00 Cubic_feet
MA 2018-34,"George H. Belt, Jr. Papers",7.00 Cubic_feet
MA 2002-15,George H. Curtis Papers,0.50 Cubic_feet
MA 2019-19,George Macinko varsity sweaters,2.00 Cubic_feet
MA 2010-19,George R. Russell Papers,0.20 Cubic_feet
MA 1998-04,George Roberts Papers,0.50 Cubic_feet
MA 1991-50,George Woodbury Photographs,2.50 Linear feet
MA 1991-55,George Woodbury Photographs,7.00 Linear feet
MA 1990-11,George Woodbury Scrapbook,1.00 Cubic_feet
MA 2000-12,Gifford Pierce Papers,1.00 Cubic_feet
MA 2000-19,Gladys Bellinger Papers,1.00 Cubic_feet
MA 2012-07,Glen Lockery Papers,25.00 Cubic_feet
MA 2000-17,Glenn C. Lewis Papers,1.00 Cubic_feet
MA 1996-44,Glenn Hearst Taylor Autobiography.,2.00 Cubic_feet
UA 2016-02,Golden Jubilee Celebrations Plaque,0.50 Cubic_feet
UA 1999-23,Graduate Council Minutes,2.00 Linear feet
UA 1992-17,Graduate Council Records,1.00 Cubic_feet
MA 2018-43,Greg Gollberg Papers,1.00 Cubic_feet
MA 2018-67,Gregg Olsen papers,4.00 Cubic_feet
MA 2014-46,Gregory A. Pole Painting,0.00 null
MA 1985-01,Gritman Hospital Records,0.50 Cubic_feet
MA 1991-59,Gritman Medical Center Records,1.00 Cubic_feet
MA 1993-30,Gritman Medical Center Records,1.00 Cubic_feet
MA 1990-32,Gritman Memorial Hospital Records,0.50 Cubic_feet
MA 1984-27,Guy O. Penwell Scrapbooks,1.00 Cubic_feet
MA 2019-16,H. R. Otness papers,0.50 Cubic_feet
MA 1991-62,H. Walter Steffens Papers,1.00 Cubic_feet
MA 2000-35,H.B. Carpenter Papers,1.00 Cubic_feet
MA 2018-30,Hall Macklin Sheet Music,0.50 Linear_feet
MA 1995-13,Hanford Health Information Network Recordings,0.50 Cubic_feet
MA 1995-10,Harold L. Ryan Papers,16.00 Cubic_feet
MA 1995-16,Harold L. Ryan Papers,9.00 Cubic_feet
MA 1995-44,Harold L. Ryan Papers,27.00 Cubic_feet
MA 1995-46,Harold L. Ryan Papers,11.00 Cubic_feet
MA 1996-01,Harold McIlvaine Papers,0.50 Cubic_feet
MA 2003-16,Harry Caldwell Papers,2.00 Cubic_feet
MA 2004-14,Harry Caldwell Papers,0.50 Cubic_feet
MA 1996-19,Harry Caldwell Photographs,0.50 Cubic_feet
MA 2008-39,Harry F. Magnuson Papers,0.25 Linear feet
MA 2012-26,Harvard Architectural Renderings,6.00 Cubic_feet
MA 1987-28,Hazel Peterson Papers,0.50 Cubic_feet
MA 2000-44,Helen Chenoweth-Hage Papers,11.00 Cubic_feet
MA 2011-11,Helen M. Miller Papers,4.00 Cubic_feet
MA 2010-17,Herman Robert Otness Papers,15.00 Cubic_feet
MA 1989-29,Herman Welker Scrapbooks,2.50 Cubic_feet
MA 2019-39,Hiroshima University collection,1.00 Cubic Feet
UA 2015-05,Historic American Buildings Survey Kiva,0.25 Cubic_feet
UA 1999-27,History 290 Class Project Collection,1.00 Cubic_feet
UA 1987-02,History Deptment Records,0.50 Cubic_feet
UA 1994-17,Home Economics and Diatetics Self-study reports,0.50 Cubic_feet
UA 1987-25,Home Economics Department Records,2.00 Cubic_feet
UA 1989-07,Home Economics Department Records,2.00 Cubic_feet
UA 2002-024,Home Economics Records,0.50 Cubic_feet
UA 1987-24,Home Management House Records,2.00 Cubic_feet
UA 2018-36,Homeland Security Certificate,1.00 Folder
UA 1985-17,Honorary Degrees Committee Records,0.50 Cubic_feet
UA 2011-23,Honors Program Committee Records,0.00 null
UA 2015-12,Honors Program Records,3.00 Cubic_feet
MA 1998-02,Howard C. Sarvis Papers,0.50 Cubic_feet
MA 2000-14,Howard Loewenstein Collection,0.50 Cubic_feet
MA 2010-22,Howard Marcellus Photograph Album,1.00 Cubic_feet
UA 1990-29,Humanities Ethics and Grievances Records,0.50 Cubic_feet
MA 1992-06,Idaho Academy of Science Visiting Science Records,3.00 Cubic_feet
UA 2000-01,Idaho Bureau of Mines and Geology Ledgers,1.00 Cubic_feet
UA 1991-024,Idaho Bureau of Mines Records,20.00 Cubic_feet
MA 2015-02,Idaho Civilian Conservation Corps Collection,2.00 Cubic_feet
MA 2007-24,Idaho College Republican League Records,1.50 Cubic_feet
MA 2014-12,Idaho Conservation League Idaho Roadless archives,1.00 Cubic_feet
MA 2010-11,Idaho Conservation League Records,6.00 Cubic_feet
MA 2011-46,Idaho Conservation League Records,1.00 Cubic_feet
MA 2018-01,Idaho Conservation League Records,2.00 Cubic_feet
UA 1997-07,Idaho Crop Improvement Association (CIA) Records,1.00 Cubic_feet
UA 1998-01,Idaho Crop Improvement Association (CIA) Records,0.50 Cubic_feet
MA 2016-22,Idaho Education Media Association (IEMA) Records,1.00 Cubic_feet
MA 1998-03,Idaho Federation of Teachers Records,1.00 Cubic_feet
MA 2011-07,Idaho Geological Survey Maps,Oversized
MA 2016-33,Idaho Geological Survey Photographs,1.00 Folder
MA 1994-05,Idaho Geological Survey Records,1.00 Cubic_feet
MA 2016-02,Idaho Geological Survey Records,0.25 Cubic_feet
MA 2017-01,Idaho Geological Survey Records,0.50 Cubic_feet
UA 2000-13,Idaho Geological Survey Records,7.00 Cubic_feet
MA 2015-21,Idaho Geologiccal Survey Records,2.00 Cubic_feet
UA 2013-06,Idaho Home Economics Association History Scrapbook,1.00 Cubic_feet
MA 2020-05,Idaho Librarian collection,1.00 Folder
MA 1995-40,Idaho Library Assoc. PNLA Representative Records,0.50 Cubic_feet
MA 2010-07,Idaho Library Association,1.00 Folder
MA 2017-11,Idaho Library Association (ILA) Records,0.50 Cubic_feet
MA 2017-15,Idaho Library Association (ILA) Records,1.00 Cubic_feet
MA 2020-15,Idaho Library Association (ILA) records,1.50 Cubic Feet
MA 1989-34,Idaho Library Association ALA Councilor Records,0.50 Cubic_feet
MA 1999-03,Idaho Library Association Conference Records,0.25 Linear feet
MA 1991-34A,Idaho Library Association Papers,0.50 Cubic_feet
MA 1992-40,Idaho Library Association Papers,1.00 Cubic_feet
MA 1996-06,Idaho Library Association President's Records,1.00 Cubic_feet
MA 1989-30,Idaho Library Association Records,0.50 Cubic_feet
MA 1990-07,Idaho Library Association Records,0.50 Cubic_feet
MA 1991-14,Idaho Library Association Records,0.50 Cubic_feet
MA 1991-54,Idaho Library Association Records,1.00 Cubic_feet
MA 1992-19,Idaho Library Association Records,0.50 Cubic_feet
MA 1992-34,Idaho Library Association Records,1.00 Cubic_feet
MA 1992-38,Idaho Library Association Records,1.00 Cubic_feet
MA 1992-43,Idaho Library Association Records,2.00 Cubic_feet
MA 1992-44,Idaho Library Association Records,1.00 Cubic_feet
MA 1993-29,Idaho Library Association Records,1.00 Cubic_feet
MA 1994-01,Idaho Library Association Records,0.50 Cubic_feet
MA 1995-24,Idaho Library Association Records,0.50 Cubic_feet
MA 1995-34,Idaho Library Association Records,1.00 Cubic_feet
MA 1996-03,Idaho Library Association Records,0.50 Cubic_feet
MA 1997-02,Idaho Library Association Records,0.50 Cubic_feet
MA 1997-24,Idaho Library Association Records,0.50 Cubic_feet
MA 1999-08,Idaho Library Association Records,0.75 Cubic_feet
MA 2000-03,Idaho Library Association Records,1.00 Cubic_feet
MA 2000-38,Idaho Library Association Records,1.00 Cubic_feet
MA 2001-11,Idaho Library Association Records,0.25 Linear feet
MA 2001-15,Idaho Library Association Records,1.00 Cubic_feet
MA 2002-03,Idaho Library Association Records,6.00 Cubic_feet
MA 2003-13,Idaho Library Association Records,1.00 Cubic_feet
MA 2004-17,Idaho Library Association Records,1.00 Cubic_feet
MA 2005-04,Idaho Library Association Records,2.00 Cubic_feet
MA 2006-06,Idaho Library Association Records,1.00 Cubic_feet
MA 2006-08,Idaho Library Association Records,8.50 Cubic_feet
MA 2007-27,Idaho Library Association Records,1.00 Cubic_feet
MA 2007-33,Idaho Library Association Records,1.00 Folder
MA 2008-10,Idaho Library Association Records,0.25 Linear feet
MA 2009-39,Idaho Library Association Records,2.00 Cubic_feet
MA 2011-38,Idaho Library Association Records,4.00 Cubic_feet
MA 2013-01,Idaho Library Association Records,0.25 Cubic_feet
MA 2013-11,Idaho Library Association Records,1.00 Cubic_feet
MA 2014-07,Idaho Library Association Records,2.00 Cubic_feet
MA 2004-07,Idaho Library Association. Legislative Committee Records,1.00 Cubic_feet
MA 1992-26,Idaho Memorial Association Shoshone Papers,0.50 Cubic_feet
MA 2005-12,Idaho National Engineering and Environmental Laboratory Reports,98.00 Cubic_feet
MA 1994-29,Idaho Partners of America Records,2.00 Cubic_feet
MA 1995-22,Idaho Partners of America Records,1.00 Cubic_feet
MA 2016-29,Idaho Partners of the Americas Records,2.00 Cubic_feet
MA 2003-06,Idaho Press Association Records,1.00 Cubic_feet
MA 1988-10,Idaho Public Employee Association Records,1.00 Cubic_feet
MA 1989-11,"Idaho Public Employee Association, Paradise Valley Chapter Records",0.50 Cubic_feet
MA 1986-27,"Idaho Public Employees Association, Paradise Valley Records",0.50 Cubic_feet
MA 2019-32,Idaho Public Television collection,1.00 Folder
MA 2018-52,Idaho Queered Collection,1.00 Linear_feet
MA 1984-32B,Idaho Reminiscences Recordings,2.00 Cubic_feet
MA 1995-32,Idaho Republican Party Records,2.00 Cubic_feet
UA 1988-04,Idaho Research Foundation Records,0.50 Cubic_feet
UA 2014-20,Idaho Research Foundation Records,1.00 Cubic_feet
UA 2001-08,Idaho State Climate Laboratory Observation Records,14.00 Cubic_feet
UA 1980-123,Idaho State College,0.50 Linear feet
MA 2005-14,Idaho State Employment Office Photographs,0.50 Cubic_feet
MA 1988-07,Idaho State Library Board Minutes,0.50 Cubic_feet
MA 2014-11,Idaho State Library Collection,1.00 Cubic_feet
MA 2012-33,Idaho State Library Records,0.25 Cubic_feet
MA 1989-56,Idahonian Photographs,1.50 Cubic_feet
MA 2020-09,Ilo Presbyterian Church book,1.00 Folder
UA 2016-18,IMTC and College of Education Records,0.25 Cubic_feet
MA 2018-38,Inez Flisher Photographs and Posters on Vandal Athletics,2.00 Folder
UA 1990-08,Infirmary and Hospital Records,0.50 Cubic_feet
UA 2010-03,Information Technology Services Records,1.00 Cubic_feet
MA 2007-16,Inland Empire Christmas Tree Asscociation Records,6.50 Cubic_feet
UA 1985-09,Institute of Resource Managment Records,0.50 Cubic_feet
UA 2010-07,Institutional Research and Assessment Records,17.00 Cubic_feet
UA 1993-22,International Affairs Committee Records,0.50 Cubic_feet
UA 2016-33,International Jazz Collection Festival Display and Exhibit Materials,5.00 Cubic_feet
UA 2009-19,International Jazz Festival Records,4.00 Cubic_feet
UA 1994-03,International Policies TF Records,0.50 Cubic_feet
UA 2014-12,International Programs Office Records,1.00 Cubic_feet
MA 2019-07,Irvin Hopkins Collection,1.00 Cubic_feet
UA 2012-02,Irving Rauw Collection,0.25 Cubic_feet
UA 2020-02,Items Found in Gems,1.00 Folder
UA 2002-23,ITS Video Center Records,3.00 Cubic_feet
UA 2005-04,ITS Video Center Records,0.50 Cubic_feet
MA 2018-64,Ivan Cornelius Decker Papers,1.00 Folder
MA 2000-08,Iver Longeteig Records,1.00 Cubic_feet
MA 2015-11,J-K Heritage Foundation Collection,1.00 Cubic_feet
MA 1999-25,J. Blaine Anderson Papers,13.00 Cubic_feet
MA 2000-30,J. Blaine Anderson Papers,3.00 Cubic_feet
UA 2011-17,J. Gary Williams Papers,1.00 Cubic_feet
MA 2010-15,J. Michael Mahoney Papers,0.50 Cubic_feet
MA 2004-09,Jack and Mildred Hayden Papers,3.50 Cubic_feet
MA 2001-06,James A. McClure Papers,2.00 Cubic_feet
MA 2018-42,James A. McClure Papers,3.00 Cubic_feet
MA 2005-06,James McClure Papers,0.50 Cubic_feet
MA 2005-25,James McClure Papers,4.00 Cubic_feet
MA 2009-35,James R. Fazio Idler's Rest Nature Preserve,1.00 Cubic_feet
UA 2017-30,JAMM / Kenton Bird University of Idaho Interdisciplinary Colloquium,3.50 Cubic_feet
MA 2019-08,Jamm Aquino collection,1.00 Cubic_feet
MA 2012-49,Jane Gay photograph exhibit,32.00 Cubic_feet
MA 2006-07,Jeanette Talbott Negatives,0.25 Cubic_feet
MA 2018-04,Jeanne Holder Collection,1.00 Folder
UA 2018-07,Jeff Williams Collection,3.00 Cubic_feet
MA 2014-06,Jennifer Anderson Collection,0.50 Cubic_feet
MA 2017-24,Jerome County Historical Farm Museum Postcards,1.00 Cubic_feet
UA 2018-10,Jerry McCullough University of Idaho Directory,1.00 Cubic_feet
UA 2014-18,Jesse E. Buchanan Award Plaques,3.00 Cubic_feet
UA 2012-13,Jesse E. Buchanan Plaque,4.00 Linear feet
MA 2017-05,Jim Fazio Papers on Michael Frome,1.00 Folder
MA 2019-37,Jim Mottern collection,1.00 Cubic_feet
MA 2012-42,Jim Parson's Photographs,0.25 Cubic_feet
UA 2017-22,Jo Ellen Force Papers,7.00 Cubic_feet
MA 2013-17,JoAnne Matsumura Postcard,1.00 Folder
MA 2016-53,Joel King Collection,1.00 Folder
MA 2016-18,Joel King Photographs of Camas Prairie Railroad and Craig Mountain Railroad,1.00 Folder
MA 2004-15,Joey D. Peutz Papers,0.50 Cubic_feet
MA 2016-59,John and Rachael Osborn Collection,216.00 Cubic_feet
MA 2016-60,John and Rachael Osborn Collection,11.00 Cubic_feet
MA 2016-58,John and Rachael Osborn papers,59.00 Cubic_feet
MA 2004-19,John Coleman Nunemaker Scrapbook,0.50 Cubic_feet
MA 2011-01,John Crepeau Collection,1.00 Cubic_feet
MA 1998-13,John Dixon Papers,2.00 Cubic_feet
MA 2000-02,John Dixon Papers,4.50 Cubic_feet
MA 2000-04,John Dixon Papers,6.50 Cubic_feet
MA 2000-05,John Dixon Papers,4.00 Cubic_feet
MA 2000-06,John Dixon Papers,1.00 Cubic_feet
MA 2010-13,John Dixon Papers,1.00 Cubic_feet
MA 1990-26,John E. Dixon Papers,4.00 Cubic_feet
MA 1990-29,John E. Dixon Papers,0.50 Cubic_feet
MA 1996-16,John E. Dixon Papers,1.00 Cubic_feet
MA 2000-11,John E. Dixon Papers,4.00 Cubic_feet
MA 2000-36,John E. Dixon Papers,0.50 Cubic_feet
MA 2004-21,John E. Dixon Photographs,1.00 Cubic_feet
MA 2017-09,John Osborn Papers,22.00 Cubic_feet
MA 2020-06,John Sours collection,1.00 Folder
MA 2009-18,John Talbott Photographs,1.00 Cubic_feet
MA 2009-26,John W. Olsen Papers,1.50 Cubic_feet
MA 2009-28,John W. Olsen Papers,2.00 Cubic_feet
MA 2012-36,John Warren Brigham Scrapbook,0.25 Cubic_feet
UA 2010-14,John Warren Papers,2.00 Cubic_feet
MA 2019-57,John Zeazeas Farragut College scans,2.00 PDF
MA 2018-28,Joseph C. James Recordings of Feather On Jazz,1.00 Cubic_feet
MA 2002-14,Joseph J. Ulliman Papers,1.00 Cubic_feet
MA 2009-38,Joseph Thompson Papers,8.00 Cubic_feet
UA 2009-18,Joseph Thompson Papers,8.00 Cubic_feet
MA 2004-20,Journal of Northwest Anthropology (JONA) Records,10.00 Cubic_feet
UA 2016-21,Journalism and Mass Media (JAMM) Records,2.00 Cubic_feet
MA 2020-03,Judy Morton collection,1.00 Folder
MA 2018-12,Julia Ames Papers on Leo Ames Artwork,1.00 Folder
MA 2007-11,Julie Monroe Photographs,0.25 Cubic_feet
MA 2011-06,Julie Monroe Photographs,1.00 Cubic_feet
UA 2007-22,Juntura Committee Minutes,1.00 Cubic_feet
UA 1999-12,Just-Us Club (Law Students Wives) Scrapbook,1.00 Cubic_feet
MA 1992-14,Karen Davis Papers,0.50 Cubic_feet
MA 1997-09,Karon Szelwach Aronson Papers,5.00 Cubic_feet
MA 1995-19,Kathleen Warnick Papers,0.50 Cubic_feet
MA 2012-03,Kay Emerson Copies of Pioneer Certificates,0.25 Cubic_feet
MA 2003-17,Kay Keskinen Papers,1.00 Cubic_feet
MA 2014-24,Kay Keskinen Papers,1.00 Cubic_feet
MA 2002-12,Keith K. McDaniel Papers,2.00 Cubic_feet
MA 2002-20,Keith McDaniel Papers,1.00 Cubic_feet
MA 2019-44,Keith Petersen collection,1.00 Folder
MA 1987-36,Keith Petersen Manuscript,1.00 Cubic_feet
MA 2018-13,Keith Peterson Collection,6.00 Cubic_feet
MA2019-36,Keith Peterson Postcard collection,0.25 Cubic_feet
MA 1992-09,"Kellogg, Idaho Junior Chamber of Commerce Scrapbook",0.50 Cubic_feet
UA 2011-16,Kendall Johnson Collection,0.00 null
MA 1991-48,Kenneth Dick Papers,2.50 Cubic_feet
MA 2016-05,Kenneth H. Borchers Recordings,3.00 Cubic_feet
MA 2018-47,Kenneth Noren Papers,1.00 Cubic_feet
MA 2019-38,Kenton Bird collection,1.00 Folder
MA 2014-22,Kenton Bird Papers,1.00 Cubic_feet
MA 2014-37,Kerry Paul Reese Photographs,3.00 Cubic_feet
MA 2016-17,Kevin Carson Subject Files on Mollie Berdan/B'Damn,0.25 Linear feet
MA 2015-38,King Gold and Copper Mining Company Photographs,1.00 Folder
MA 2006-09,Kirtley Burggraf Collection,0.50 Cubic_feet
MA 1996-13,Knights of Columbus Proceedings,1.00 Cubic_feet
MA 2019-15,Kristin Becker silkscreen prints,1.00 Cubic_feet
UA 2003-10,Laboratory of Anthropology Records,3.00 Cubic_feet
MA 2015-43,Larry Craig Papers,3.00 Linear feet
MA 2017-06,Larry Craig Papers,6.00 Cubic_feet
MA 2017-10,Larry Craig Papers,1.00 Linear feet
MA 2016-21,Larry Craig Scrapbooks,4.00 Cubic_feet
MA 2009-17,Larry E. Craig Papers,4.00 Cubic_feet
MA 2013-08,Larry E. Craig Papers,1.00 Cubic_feet
MA 2019-11,Larry E. Craig papers,2.00 Cubic_feet
MA 2019-02,Latah County Democrats records,0.50 Cubic_feet
MA 2008-33,Latah County Extension Homemakers Council Records,0.30 Cubic_feet
MA 1985-39,Latah County Historical Society Oral History transcripts,6.00 Cubic_feet
MA 1985-40,Latah County Historical Society Register,0.50 Cubic_feet
MA 1999-24,Latah County Literacy Project Minutes,0.50 Cubic_feet
MA 2012-41,Lauren Fins Papers,12.00 Cubic_feet
UA 2011-025,Law Library oversize metal storage cabinet,Oversized
MA 2011-05,Lawrence Smith Photographs,1.00 Folder
MA 1996-31,League of Women Voters Moscow Records,3.00 Cubic_feet
MA 2004-01,League of Women Voters of Moscow Records,2.00 Cubic_feet
MA 2014-51,League of Women Voters of Moscow Records,3.50 Cubic_feet
MA 2005-19,League of Women Voters Records,9.00 Cubic_feet
MA 1998-05,Lee Sharp Papers,8.50 Linear feet
MA 1988-26,Leonard Halland Interview,0.50 Cubic_feet
MA 2017-34,Leonard Lenn Loring and Fred Schmidt Recording,0.50 Cubic_feet
UA 2017-13,Leonard Pyne University of Idaho Letter Sweater and Blanket,1.00 Cubic_feet
MA 2013-19,Leonard York and Reho Wolfe Interview,1.00 Cubic_feet
UA 1992-14,Lewis-Clark Normal School Bursar Records,0.50 Cubic_feet
MA 2012-09,Lewiston's Sesquicentennial,0.25 Cubic_feet
UA 1992-28,Library Administration New Addition records,2.00 Cubic_feet
UA 1993-25,Library Administration New Addition records,0.10 Cubic_feet
UA 1993-08,Library Administration New Addition Weekly Coordination minutes,0.50 Cubic_feet
UA 1994-15,Library Administration New Building Committee,0.50 Cubic_feet
UA 1992-18,Library Administration New Building Construction,0.50 Cubic_feet
UA 1992-20,Library Administration New Building Construction,0.50 Cubic_feet
UA 1989-34,Library Administration Records,1.50 Cubic_feet
UA 1990-31,Library Administration Records,0.50 Cubic_feet
UA 1991-003,Library Administration Records,2.50 Linear feet
UA 1991-029,Library Administration Records,2.50 Linear feet
UA 1991-038,Library Administration Records,2.50 Linear feet
UA 1992-06,Library Administration Records,0.50 Cubic_feet
UA 1993-16,Library Administration Records,1.00 Cubic_feet
UA 1994-12,Library Administration Records,1.00 Cubic_feet
UA 1995-20,Library Administration Records,1.00 Cubic_feet
UA 1996-02,Library Administration Records,0.50 Cubic_feet
UA 1996-16,Library Administration Records,1.00 Cubic_feet
UA 1997-05,Library Administration Records,0.50 Cubic_feet
UA 1997-12,Library Administration Records,0.50 Cubic_feet
UA 1998-12,Library Administration Records,1.00 Cubic_feet
UA 2001-02,Library Administration Records,1.00 Cubic_feet
UA 2003-05,Library Administration Records,0.50 Cubic_feet
UA 2003-09,Library Administration Records,0.50 Cubic_feet
UA 2004-08,Library Administration Records,1.00 Cubic_feet
UA 2005-03,Library Administration Records,1.00 Cubic_feet
UA 2006-02,Library Administration Records,1.00 Cubic_feet
UA 2007-06,Library Administration Records,0.50 Cubic_feet
UA 2007-14,Library Administration Records,1.00 Cubic_feet
UA 2008-14,Library Administration Records,0.25 Linear feet
UA 2008-17,Library Administration Records,3.00 Cubic_feet
UA 2010-13,Library Administration Records,1.00 Cubic_feet
UA 2015-18,Library Administration Records,2.00 Cubic_feet
UA 2015-19,Library Adminsitration Records,0.00 null
UA 2002-06,Library Adminstration Records,4.00 Cubic_feet
UA 1992-09,Library Affairs Committee Records,0.50 Cubic_feet
MA 2007-34,Library Associates Records,10.50 Cubic_feet
UA 1988-11,Library Blueprints,66.00 Sheets
UA 2000-08,Library Gifts & Exchange Records,3.00 Cubic_feet
UA 2002-09,Library Gifts and Exchanges Records,1.00 Cubic_feet
MA 2018-05,Library Government Documents Idaho Maps,Oversized
UA 2016-17,Library Inventory lists,1.00 Folder
UA 2002-18,Library Public Services Records,1.00 Cubic_feet
UA 2006-04,Library Social Committee Records,0.50 Cubic_feet
UA 1999-30,Library Special Collections Committee Minutes,3.00 Cubic_feet
UA 1986-12,Library Special Collections Records,2.00 Cubic_feet
UA 1990-06,Library Special Collections Records,2.00 Cubic_feet
UA 1990-07,Library Special Collections Records,1.00 Cubic_feet
UA 1993-02,Library Special Collections Records,2.00 Cubic_feet
UA 1994-11,Library Special Collections Records,1.00 Cubic_feet
UA 1997-17,Library Special Collections Records,2.00 Cubic_feet
UA 1999-11,Library Special Collections Records,1.00 Cubic_feet
UA 1999-29,Library Special Collections Records,1.00 Cubic_feet
UA 2002-07,Library Special Collections Records,1.00 Cubic_feet
UA 2004-03,Library Special Collections Records,1.00 Cubic_feet
UA 2005-09,Library Special Collections Records,1.00 Cubic_feet
UA 1986-10,Library Staff Association Records,0.50 Cubic_feet
UA 1986-11,Library Staff Association Records,0.50 Cubic_feet
