objectid,image_thumb,fellowship,award-amount,full-name,firstname,lastname,status,department,year,project,site,description,project_image,professional,oedcourse,oeddiscipline,oedcollege,students_impacted,students_savings,years-active,oedimpacttags,estimated-cost-savings-over-time
gladman,,CDIL Graduate Fellowship,"$4,000",Alicia Gladman,Alicia,Gladman,Graduate,English,2024,Tender Spaces,https://cdil.lib.uidaho.edu/tender-spaces/,"A multi-lingual, multimodal essay on Gaëtane Buttigieg's life, art, and forced institutionalization in the 1970s.",https://cdil.lib.uidaho.edu/tender-spaces/objects/small/image002_sm.jpg,,,,,,,,,
steffen,,CDIL Undergraduate Fellowship,"$2,500",Dakota Steffen,Dakota,Steffen,Undergraduate,History,2024,Work on transcription and process for several oral history collections,,,,,,,,,,,,
tibayan,,Gary and Carolyn Strong Special Collections Fellowship,"$4,500",Brian Tibayan,Brian,Tibayan,Graduate,Education,2024,Process donation of materials from WWAMI,https://www.lib.uidaho.edu/digital/wwami/,"Fellow arranged and described accession, creating metadata that allowed for a public-facing finding aid. He also scanned a selection of materials from the collection to create a digital collection. ",,,,,,,,,,
morrison,,Gary and Carolyn Strong Special Collections Fellowship,"$4,500",Kate Morrison,Kate,Morrison,Graduate,Earth & Spatial Sciences,2024,"Process donation of materials from Plant, Soil, and Entomological Sciences. ",https://www.lib.uidaho.edu/digital/pses/,"Fellow arranged and described accession, creating metadata that allowed for a public-facing finding aid. She also scanned a selection of materials from the collection to create a digital collection. ",,,,,,,,,,
richter,https://www.uidaho.edu/-/media/uidaho-responsive/images/class/departments/english/faculty-staff/jamaica-ritcher.jpg?h=1200&la=en&w=1200&rev=9f33d58e4af1433485134e80b2a6b670,ThinkOpen Fellowship,"$1,200",Jamaica Ritcher,Jamaica,Ritcher,Faculty,English,2024,ENG 201: English Grammar Key Concepts and Terms,,Creating a zero cost syllabus for ENGL 201 - English Grammar: Key Concepts and Terms. This course is transitioning from 1 to 3 credits. This fellowship will explore new open and licensed resources to ultimately create a zero cost syllabus.,,https://www.uidaho.edu/class/english/faculty-staff/jamaica-ritcher,ENG 201: English Grammar Key Concepts and Terms,English,"Letters, Arts and Social Sciences",40,"$1,600.00",0,,"$1,600.00"
haltinner,https://www.lib.uidaho.edu/media/verso/profile-pics/haltinner_kristin.jpg,ThinkOpen Fellowship,"$1,200",Kristin Haltinner,Kristin,Haltinner,Faculty,"Culture, Society and Justice",2024,SOC 201: Social Problems,,"Creating a zero cost syllabus for SOC 201 - Social Problems. This fellowship will create a zero cost syllabus for the upcoming summer 2024 version of SOC 201. We will also explore creating interactive assignments and readings using hypothesis and pressbooks, or similar tools.",,https://verso.uidaho.edu/esploro/profile/kristin_haltinner,SOC 201: Social Problems,"Culture, Society and Justice","Letters, Arts and Social Sciences",50,"$5,750.00",0,,"$5,750.00"
levan_2,https://www.lib.uidaho.edu/media/verso/profile-pics/levan_kristine.jpg,ThinkOpen Fellowship,"$1,200",Kristine Levan,Kristine,Levan,Faculty,"Culture, Society and Justice",2024,CRIM 329: Homicide,,"This fellowship will focus on identifying new Open and other zero cost solutions for CRIM 329 Homicide. In addition to seeking out an open textbook, this fellowship will help expand the classes content to support it's new designation at a 400 level.",,https://verso.uidaho.edu/esploro/profile/kristine_levan,CRIM 329: Homicide,"Culture, Society and Justice","Letters, Arts and Social Sciences",80,"$10,240.00",0,,"$10,240.00"
koenig_2,https://cdil.lib.uidaho.edu/objects/koenig.jpg,ThinkOpen Fellowship,"$1,200",Nick Koenig,Nick,Koenig,Graduate,Earth and Spatial Sciences,2024,CORS 246: Catalyzing Change: Co-Creating Climate Futures,,Creating a zero cost syllabus for CORS 246 - Catalyzing Change: Co-Creating Climate Futures,,,CORS 246: Catalyzing Change: Co-Creating Climate Futures,Earth and Spatial Sciences,Science,100,"$5,690.00",0,,"$5,690.00"
kreikemeier,,CDIL Faculty Development Fellowship,"$1,500",Alyssa Kreikemeier,Alyssa,Kreikemeier,Faculty,History,2025,Classroom Space-based Archival Curriculum ,,,,https://verso.uidaho.edu/esploro/profile/alyssa_kreikemeier,,,,,"$282,444.00",,,"$590,507.66"
green,,CDIL Graduate Fellowship,"$4,000",Hannah Green,Hannah,Green,Graduate,English,2025,Sedimentation,,"Sedimentation is a multimodal project which seeks to recognize, represent, and story the central role silt plays within the Colorado River ecosystem. While this project anchors itself around the site of Glen Canyon, it also necessarily reaches beyond Glen Canyon at times. Glen Canyon’s silt (like any component in any ecosystem) is never truly local, contained, or independent, but situated and entwined within a much larger global ecosystem.",,,,,,,,,,
walker-harmon,,CDIL Undergraduate Fellowship,"$2,500",Shelley Walker-Harmon,Shelley,Walker-Harmon,Undergraduate,History,2025,Namesake Building Research and Campus Building Updates,,,,,,,,,,,,
sheneman,,Dr. Richard W. Wells Fellowship,"$4,500",Annie Sheneman,Annie ,Sheneman,Graduate,English,2025,Process Dr. Richard Wells papers,,,,,,,,,,,,
hunter,,Gary and Carolyn Strong Special Collections Fellowship,"$4,500",Ash Hunter,Ash,Hunter,Graduate,Archeaology ,2025,Process donation of historic photos from Forest Service,,,,,,,,,,,,
elsayed,,Gary and Carolyn Strong Special Collections Fellowship,"$4,500",Marwa Elsayed,Marwa,Elsayed,Graduate,Political Science,2025,Process Wildlife Resources Department records,,,,,,,,,,,,
kredell_3,https://cdil.lib.uidaho.edu//objects/kredell.jpg,Lynn and Dennis Baird Fellowship,"$4,000",Jack Kredell,Jack,Kredell,Graduate,Environmental Science,2025,Wilderness/Environmental Archive Analysis and Survey,,Creation of a high-level survey of current Special Collections holdings that align with a potential Wilderness/Environmental Archive ,,,,,,,,,,
