objectid,image_thumb,fellowship,award-amount,full-name,firstname,lastname,status,department,year,project,site,description,project_image,professional,oedcourse,oeddiscipline,oedcollege,students_impacted,students_savings,years-active,oedimpacttags,estimated-cost-savings-over-time
boysen_taylor_1,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/cifaculty/boysen-taylor_rebekka-boysen_918x918.jpg?h=660&la=en&w=660&rev=c1fd5b8264e14ec59d65406bd1347410,ThinkOpen Fellowship,"$1,200",Rebekka Boysen-Taylor,Rebekka,Boysen-Taylor,Faculty,Curriculum and Instruction,2019,"EDCI 328 Elementary Social Studies Methods, EDCI 302 Teaching Culturally Diverse Learners, EDCI 432 Secondary Social Studies Methods Course,",,"Working in close collaboration with the Frederick Douglass Family Foundation, Boysen-Taylor will create a series of “rehistory-ing” lesson plans centered on the life of Anna Murray Douglass, the wife of Frederick Douglass and a formidable civil rights champion in her own right.",,https://verso.uidaho.edu/esploro/profile/rebekka_boysentaylor,"EDCI 328 Elementary Social Studies Methods, EDCI 302 Teaching Culturally Diverse Learners, EDCI 432 Secondary Social Studies Methods Course,",Education,"Education, Health and Human Sciences",75,"$7,500.00",3,U of I; Regional; Idaho public schools,"$16,446.01"
hu,https://www.uidaho.edu/-/media/uidaho-responsive/images/caa/programs/architecture/meet-our-people/hu-xiao.jpg?h=300&la=en&w=300&rev=48a95ca2211c4931b43f1b4127fceeab,ThinkOpen Fellowship,"$1,200",Xiao Hu,Xiao,Hu,Faculty,Architecture,2019,Arch 483 Urban Theories & Issues,,"Dr.Hu will identify and create OER, as well as Library resources, to replace multiple textbooks for ARCH 458, Urban Theory and Issues, and two study abroad courses in China. Dr.Hu hopes to alleviate costs for students, while also reducing the number of textbooks scholars must bring on study-abroad trips.",,https://verso.uidaho.edu/esploro/profile/xiao_hu,Arch 483 Urban Theories & Issues,Architecture,Art and Architecture,120,"$12,000.00",3,U of I,"$26,313.61"
kerr,https://www.uidaho.edu/-/media/uidaho-responsive/images/class/departments/mlc/faculty-and-staff/ashley-kerr.jpg?h=1200&la=en&w=1200&rev=1d8a29e976034995b230211b652ce2dc,ThinkOpen Fellowship,"$1,200",Ashley Kerr,Ashley,Kerr,Faculty,Global Studies,2019,SPAN/LAS 306: Culture and Institutions of Latin America,,"Dr. Kerr will develop a collection of openly licenses materials (OER) to create a culturally responsive reader for Spanish 306 Culture and Institutions of Latin America, which covers pre-Colombian to current Latin American History. This reader will include culturally responsive and engaged content to better serve the diverse backgrounds of our UI students.",,https://verso.uidaho.edu/esploro/profile/ashley_kerr,SPAN/LAS 306: Culture and Institutions of Latin America,Spanish,"Letters, Arts and Social Sciences",90,"$9,000.00",3,College Assistance Migrant Program (CAMP); U of I; Regional; National,"$19,735.21"
pawelko,,ThinkOpen Fellowship,"$1,200",Kathryn Pawelko,Kathryn,Pawelko,Graduate,English,2019,"English 101, English 102, English 109",,"Pawelko’s work will focus on creating culturally responsive course syllabi and lesson plans for English 101 and 102 at the University of Idaho. These materials will include relevant information on English as a second language praxis, as well as content and materials selected to better engage with students of diverse backgrounds and identities.",,,"English 101, English 102, English 109",English,"Letters, Arts and Social Sciences",65,"$6,500.00",3,U of I; Regional,"$14,253.21"
manning,,Berry International Jazz Collections Fellowship,"$4,000",Spencer Manning,Spencer,Manning,Graduate,Lionel Hampton School of Music,2020,"Oral History Interviews with Lynn ""Doc"" Skinner",https://www.lib.uidaho.edu/digital/jazzfest/history.html,"A digital essay presenting a series of oral history interviews conducted with Doc Skinner, an influential figure in the history of the Lionel Hampton Jazz Festival.",https://cdil.lib.uidaho.edu/objects/small/skinner_sm.jpg,,,,,,,,,
sarah_campbell_2,https://cdil.lib.uidaho.edu//objects/campbell-sarah.jpg,CDIL Faculty Development Fellowship,"$1,500",Sarah Campbell,Sarah,Campbell,Faculty,Theatre,2020,Initial development for digital dramaturgy,,,https://cdil.lib.uidaho.edu/objects/small/dramaturgy_sm.jpg,https://verso.uidaho.edu/esploro/profile/sarah_campbell,,,,,,,,
kredell,https://cdil.lib.uidaho.edu//objects/kredell.jpg,CDIL Graduate Fellowship,"$1,800",Jack Kredell,Jack,Kredell,Graduate,English,2020,Storying Extinction,https://cdil.lib.uidaho.edu/storying-extinction/,Storying Extinction: Responding to the Loss of North Idaho’s Mountain Caribou is a multidisciplinary digital humanities project that represents community response to the recent extirpation (2019) of southern mountain caribou from the South Selkirk mountains of North Idaho—the last caribou to inhabit the coterminous United States.,https://cdil.lib.uidaho.edu/objects/small/storying_sm.jpg,,,,,,,,,
lamb,https://cdil.lib.uidaho.edu//objects/lamb.jpg,CDIL Graduate Fellowship,"$1,800",Chris Lamb,Chris,Lamb,Graduate,English,2020,Storying Extinction,https://cdil.lib.uidaho.edu/storying-extinction/,"Multidisciplinary, ""deep map"" essaying of the extirpation of North Idaho's Caribou population",https://cdil.lib.uidaho.edu/objects/small/storying_sm.jpg,,,,,,,,,
matthews,,CDIL Undergraduate Fellowship,"$2,500",Samson Matthews,Samson,Matthews,Undergraduate,Lionel Hampton School of Music,2020,What Glass Shards Are Called,https://www.lib.uidaho.edu/digital/shards/,"This project presents the poem and musical composition What Glass Shards Are Called, a collaboration between poet Emmy Newman and composer Samson Matthews.",https://cdil.lib.uidaho.edu/objects/small/shards_sm.jpg,,,,,,,,,
borrelli,https://www.uidaho.edu/-/media/uidaho-responsive/images/engr/our-people/if/robert-borrelli.jpg?h=300&la=en&w=300&rev=c11f65a630b74e7588d265a2c1928d10,ThinkOpen Fellowship,"$1,200",R.A. Borrelli,R.A.,Borrelli,Faculty,Nuclear Engineering and Industrial Management,2020,NE450: Principles of Nuclear Engineering,,Dr. Borrelli will continue development of an OER for fundamental nuclear engineering knowledge.,,https://verso.uidaho.edu/esploro/profile/robert_borrelli,NE450: Principles of Nuclear Engineering,Nuclear Engineering and Industrial Management,Engineering,10,"$1,000.00",3,,"$2,192.80"
boysen_taylor_2,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/cifaculty/boysen-taylor_rebekka-boysen_918x918.jpg?h=660&la=en&w=660&rev=c1fd5b8264e14ec59d65406bd1347410,ThinkOpen Fellowship,"$1,200",Rebekka Boysen-Taylor,Rebekka,Boysen-Taylor,Faculty,Curriculum and Instruction,2020,"EDCI 328, EDCI 302, EDCI 432, EDCI 463",,Boysen-Taylor will develop materials that support creating open assignments for elementary educators.,,https://verso.uidaho.edu/esploro/profile/rebekka_boysentaylor,"EDCI 328, EDCI 302, EDCI 432, EDCI 463",Education,"Education, Health and Human Sciences",100,"$10,000.00",3,,"$21,928.01"
brown_1,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/msfaculty/brownhelen1200x1200.jpg?h=660&la=en&w=660&rev=87e8abda89ed4ebab4c02ca5cdbabe1a,ThinkOpen Fellowship,"$1,200",Helen Brown,Helen,Brown,Faculty,"Movement Sciences
",2020,MVSC 486/586- Healthy Active Lifestyles Assessment and Intervention,,Dr. Brown will create an open source workbook to support students in developing their skills to develop and implement public health promotion projects.,,https://verso.uidaho.edu/esploro/profile/helen_brown,MVSC 486/586- Healthy Active Lifestyles Assessment and Intervention,Movement Sciences,"Education, Health and Human Sciences",35,"$3,500.00",3,,"$7,674.80"
bush,https://aec.ifas.ufl.edu/media/aecifasufledu/faculty-portraits/Bush_S.jpg,ThinkOpen Fellowship,"$1,200",Sarah Bush,Sarah,Bush,Faculty,Agriculture,2020,"AgEd 251, CLDR 480, AgEd 450/550/CLDR 450",,Dr. Bush will create and adapt open materials to replace traditional texts in AgED251.,,,"AgEd 251, CLDR 480, AgEd 450/550/CLDR 450",Agriculture,Agricultural and Life Sciences,125,"$12,500.00",3,,"$27,410.01"
darragh_1,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/cifaculty/darraghjanine1200x1200.jpg?h=660&la=en&w=660&rev=f30ec3e5b4044848aaea5bb47d7617c6,ThinkOpen Fellowship,"$1,200",Janine Darragh,Janine,Darragh,Faculty,"Curriculum and Instruction
",2020,EDCI 448/548: Introduction to ENL in the K-12 Schools,,Dr. Darragh will create an open syllabus that transitions EDCI 448/548 from a traditional text to a no-cost syllabus using open materials and course reserves resources.,,https://verso.uidaho.edu/esploro/profile/janine_darragh/overview,EDCI 448/548: Introduction to ENL in the K-12 Schools,Curriculum and Instruction,"Education, Health and Human Sciences",60,"$6,000.00",3,,"$13,156.81"
hormel,https://www.uidaho.edu/-/media/uidaho-responsive/images/class/departments/csj/faculty-and-staff/leontina-hormel.jpg?h=1200&la=en&w=1200&rev=83fc4f0978ae4b778f6a433d6f4e4929,ThinkOpen Fellowship,"$1,200",Leontina Hormel,Leontina,Hormel,Faculty,"Culture, Society & Justice",2020,"WGSS 201: Introduction to Women's, Gender and Sexuality Studies",,"Dr. Hormel will adapt an open textbook for WGSS 201, Intro to Women's, Gender and Sexuality Studies and will create an accompanying open syllabus.",,https://verso.uidaho.edu/esploro/profile/leontina_hormel,"WGSS 201: Introduction to Women's, Gender and Sexuality Studies","Women's, Gender and Sexuality Studies","Letters, Arts and Social Sciences",40,"$4,000.00",3,,"$8,771.20"
angel_hubble,,Berry International Jazz Collections Fellowship,"$4,000",Destiny Angel-Hubble,Destiny,Angel-Hubble,Undergraduate,Lionel Hampton School of Music,2021,Ella Fitzgerald Collection,https://www.lib.uidaho.edu/digital/ella-fitzgerald/,"A digital exhibit celebrating Fitzgerald’s fashion and style through her clothing, photographs, and album covers.",https://cdil.lib.uidaho.edu/objects/small/fitzgerald_sm.jpg,,,,,,,,,
sarah_campbell_1,https://cdil.lib.uidaho.edu//objects/campbell-sarah.jpg,CDIL Digital Scholarship Fellowship,"$3,500",Sarah Campbell,Sarah,Campbell,Faculty,Theatre,2021,Digital Dramaturgy,https://digitaldramaturgy.github.io/,Annotation and interpretation framework for dramaturgical work,https://cdil.lib.uidaho.edu/objects/small/dramaturgy_sm.jpg,https://verso.uidaho.edu/esploro/profile/sarah_campbell,,,,,,,,
ladino,https://cdil.lib.uidaho.edu//objects/ladino.jpg,CDIL Faculty Development Fellowship,"$1,500",Jenn Ladino,Jenn,Ladino,Faculty,English,2021,Keeping Watch,https://cdil.lib.uidaho.edu/keeping-watch/,"A “deep” spatial, historical, and biocultural setting of the fire lookout tower in Idaho",https://cdil.lib.uidaho.edu/objects/small/keeping_sm.jpg,https://verso.uidaho.edu/esploro/profile/jennifer_ladino,,,,,,,,
favazzo,https://cdil.lib.uidaho.edu//objects/favazzo.jpg,CDIL Graduate Fellowship,"$3,200",Cady Favazzo,Cady,Favazzo,Graduate,English,2021,Vandal Poem of the Day,https://poetry.lib.uidaho.edu/,"Favazzo helped garner two additional presses' participation in the Vandal Poem of the Day project, Alice James Books and Four Way Books.",https://cdil.lib.uidaho.edu/objects/small/vpod_sm.jpg,https://www.uwyo.edu/learn/directory/bios/cadyfavazzobiography.html,,,,,,,,
marchant,https://cdil.lib.uidaho.edu//objects/marchant.png,CDIL Undergraduate Fellowship,"$2,500",Liam Marchant,Liam,Marchant,Undergraduate,Lionel Hampton School of Music,2021,Ghana Music and Dance Initiative,,An active database of music and dance from across Ghana.,https://cdil.lib.uidaho.edu/objects/small/ghana_sm.jpg,,,,,,,,,
geslani,https://objects.lib.uidaho.edu/harvester/small/geslani_2_sm.jpg,Gary and Carolyn Strong Special Collections Fellowship,"$4,500",Erin Geslani,Erin,Geslani,Graduate,Cultural Anthropology,2021,Process the League of Women Voters of Moscow records,https://archiveswest.orbiscascade.org/ark:80444/xv211561,"Year 1, 2021: Awarded to Erin Geslani, an MA student, to process the League of Women Voters of Moscow records. She processed 13 cubic feet of materials to create this finding aid: https://archiveswest.orbiscascade.org/ark:80444/xv211561. Her fellowship experience inspired her to go on to a MLIS program.",,,,,,,,,,
decker_2,https://cdil.lib.uidaho.edu//objects/decker.jpg,Library Seed Grant,"$2,000",Michael Decker,Michael,Decker,Graduate,English,2021,Keeping Watch,https://cdil.lib.uidaho.edu/keeping-watch/,"A “deep” spatial, historical, and biocultural setting of the fire lookout tower in Idaho",https://cdil.lib.uidaho.edu/objects/small/keeping_sm.jpg,,,,,,,,,
kredell_2,https://cdil.lib.uidaho.edu//objects/kredell.jpg,Library Seed Grant,"$2,000",Jack Kredell,Jack,Kredell,Graduate,Environmental Science,2021,Keeping Watch,https://cdil.lib.uidaho.edu/keeping-watch/,"A “deep” spatial, historical, and biocultural setting of the fire lookout tower in Idaho",https://cdil.lib.uidaho.edu/objects/small/keeping_sm.jpg,,,,,,,,,
lamb_2,https://cdil.lib.uidaho.edu//objects/lamb.jpg,Library Seed Grant,"$2,000",Chris Lamb,Chris,Lamb,Graduate,English,2021,Keeping Watch,https://cdil.lib.uidaho.edu/keeping-watch/,"A “deep” spatial, historical, and biocultural setting of the fire lookout tower in Idaho",https://cdil.lib.uidaho.edu/objects/small/keeping_sm.jpg,,,,,,,,,
baumgaertner_1,https://www.uidaho.edu/-/media/uidaho-responsive/images/class/departments/politics-and-philosophy/people/bert-baumgaertner.jpg?h=300&la=en&w=300&rev=67cf982ac3e6479ea7c4b43875a84fba,ThinkOpen Fellowship,"$1,200",Bert Baumgaertner,Bert,Baumgaertner,Faculty,Politics and Philosophy,2021,PHIL 312: Intro to Decision Theory,,Writing a complete open text on Decision Theory.,,https://verso.uidaho.edu/esploro/profile/bert_baumgaertner,PHIL 312: Intro to Decision Theory,Politics and Philosophy,"Letters, Arts and Social Sciences",30,"$3,000.00",3,,"$6,578.40"
baumgaertner_3,https://www.uidaho.edu/-/media/uidaho-responsive/images/class/departments/politics-and-philosophy/people/bert-baumgaertner.jpg?h=300&la=en&w=300&rev=67cf982ac3e6479ea7c4b43875a84fba,ThinkOpen Fellowship,"$1,200",Bert Baumgartner,Bert,Baumgartner,Faculty,Politics and Philosphy,2021,Decision Theory,,A conceptual introduction to and open textbook on decision theory used in his own classes.,,https://verso.uidaho.edu/esploro/profile/bert_baumgaertner,,,,,"$3,000.00",3,,"$6,578.40"
brown_2,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/msfaculty/brownhelen1200x1200.jpg?h=660&la=en&w=660&rev=87e8abda89ed4ebab4c02ca5cdbabe1a,ThinkOpen Fellowship,"$1,200",Helen Brown,Helen,Brown,Faculty,"Movement Sciences
",2021,MVSC 486 and MVSC 586- Healthy Active Lifestyles Assessment and Program Planning,,Creating an interactive workbook to support student progress over the semester.,,https://verso.uidaho.edu/esploro/profile/helen_brown,MVSC 486 and MVSC 586- Healthy Active Lifestyles Assessment and Program Planning,Movement Sciences,"Education, Health and Human Sciences",20,"$3,000.00",3,,"$6,578.40"
darragh_2,https://www.uidaho.edu/-/media/uidaho-responsive/images/coe/facultyandstaff/cifaculty/darraghjanine1200x1200.jpg?h=660&la=en&w=660&rev=f30ec3e5b4044848aaea5bb47d7617c6,ThinkOpen Fellowship,"$1,200",Janine Darragh,Janine,Darragh,Faculty,"Curriculum and Instruction
",2021,"OER for outreach, service, and research in conjunction with English teachers from crisis contexts around the world.",,Create fresh OER entries on OERCommons to transition content from a locked in app to a more accessible format.,,https://verso.uidaho.edu/esploro/profile/janine_darragh/overview,"OER for outreach, service, and research in conjunction with English teachers from crisis contexts around the world.",Curriculum and Instruction,"Education, Health and Human Sciences",100,"$3,000.00",3,,"$6,578.40"
grindal,https://www.uidaho.edu/-/media/uidaho-responsive/images/class/departments/csj/faculty-and-staff/grindal.jpg?h=1200&la=en&w=1200&rev=be86329e438a4ae790484a538abe314f,ThinkOpen Fellowship,"$1,200",Matthew Grindal,Matthew,Grindal,Faculty,"Culture, Society & Justice",2021,CRIM 101: Introduction to Criminology and CRIM 420: Substance Use and Society,,Develop course readers that support these two courses utilizing existing open texts.,,https://verso.uidaho.edu/esploro/profile/matthew_grindal,CRIM 101: Introduction to Criminology and CRIM 420: Substance Use and Society,Sociology and Anthropology,"Letters, Arts and Social Sciences",65,"$7,670.00",3,,"$16,818.78"
mccleary,https://www.uidaho.edu/-/media/uidaho-responsive/images/caa/programs/art-and-design/meet-our-people/people/lauren-mccleary.png?h=1200&la=en&w=1200&rev=4448536f761746e88cb152c8a2069705,ThinkOpen Fellowship,"$1,200",Lauren McCleary,Lauren,McCleary,Faculty,Art and Architecture,2021,ART 100: Introduction to Art,,Creating a zero cost syllabus for a high-enrollment Introduction to Art Course - Art 101.,,https://verso.uidaho.edu/esploro/profile/lauren_mccleary,ART 100: Introduction to Art,Art,Art and Architecture,200,"$15,000.00",3,Idaho GEM,"$32,892.02"
meeuf,https://www.uidaho.edu/-/media/uidaho-responsive/images/class/departments/jamm/people/faculty-and-staff/meeuf.jpg?h=1200&la=en&w=1200&rev=b14cc32d1cf94a948ade3a7274b7b305,ThinkOpen Fellowship,"$1,200",Russell Meeuf,Russell,Meeuf,Faculty,Journalism and Mass Media,2021,FTV 100: Film History & Aesthetics,,Building a zero cost or very low cost film studies course that still utilizes contemporary and exciting titles for students.,,https://verso.uidaho.edu/esploro/profile/russell_meeuf,"FTV 100, Film History & Aesthetics",Journalism and Mass Media,"Letters, Arts and Social Sciences",80,"$8,000.00",3,,"$17,542.41"
david,,Berry International Jazz Collections Fellowship,"$4,000",Esther David,Esther,David,Undergraduate,Education and English,2022,Doc Cheatham Collection,https://www.lib.uidaho.edu/digital/cheatham/,"A digital exhibit featuring photographs, newspaper articles, letters, clothing, and jazz charts of trumpeter Adolphus Anthony “Doc” Cheatham (1905-1997).",https://cdil.lib.uidaho.edu/objects/small/cheatham_sm.jpg,,,,,,,,,
wilson_1,https://cdil.lib.uidaho.edu//objects/miranda-wilson.jpg,CDIL Faculty Development Fellowship,"$1,500",Miranda Wilson,Miranda,Wilson,Faculty,Lionel Hampton School of Music,2022,School of Cello Playing: A new translation of Carl Davidoff's Violoncell-Schule,https://uidaho.pressbooks.pub/violoncellschule/,https://uidaho.pressbooks.pub/violoncellschule/,https://thecdil.github.io/violoncell-schule/illustrations/davidoff-plate.png,https://verso.uidaho.edu/esploro/profile/miranda_wilson,,,,,,,,
fleener,,Gary and Carolyn Strong Special Collections Fellowship,"$4,500",Dusty Fleener,Dusty,Fleener,Graduate,History,2022,Process the Palouse Empire Science Fiction Association records,https://archiveswest.orbiscascade.org/ark:80444/xv334160,"Year 2, 2022: Awarded to Dusty Fleener, a PhD student, to process the Palouse Empire Science Fiction Association records. His work is ongoing and will have a direct impact on his dissertation.",,,,,,,,,,
tulli_1,,Gary and Carolyn Strong Special Collections Fellowship,"$4,500",Floriana Tulli,Floriana,Tulli,Graduate,English,2022,Process the Women in Natural Resources collection,https://www.lib.uidaho.edu/digital/winr/,"A second award was given in 2022 because there was a strong candidate pool. The Strong family provided some additional funding that, combined with Dean’s Excellence Funds, supported a project from Floriana Tulli to process the Women in Natural Resources collection. She processed 8 cubic feet of materials to create this finding aid: https://archiveswest.orbiscascade.org/ark:80444/xv702668. She also created a digital collection: https://www.lib.uidaho.edu/digital/winr/.",,,,,,,,,,
