category,headline,paragraph,image-src,harvester-link,link,link-text
African American/Black,Jennie Eva Hughes: the first African American student to graduate from University of Idaho,"We have newspaper clippings, photographs, registration cards, and original manuscripts from the first African American student to graduate from U of I",/media/dei/carousel/MA2000_29_001_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/MA2000_29_001_sm.jpg,https://harvester.lib.uidaho.edu/posts/2020/02/02/black-history-month-jennie-eva-hughes.html,View Collection
African American/Black,Idaho Black History Museum newsletters,Our newsletters from the museum span Fall 2002-Fall 2004,/media/dei/carousel/legacy2002_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/legacy2002_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71174757470001451,View Catalog Record
African American/Black,Black Pioneers: Images of the Black Experience on the North American Frontier,This book was published in 1997 and features photographs of the African-American experience in the western United States,/media/dei/carousel/blackpioneers_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/blackpioneers_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71136162960001451,View Catalog Record
African American/Black,"Blacks in Idaho's White Press, 1863 to 1916","This book is a compendium of articles related to Afro-Americans that were published in Idaho newspapers during the years between the Emancipation Proclomation and the U.S. entry into World War I. Written by Black author, Dr. Mamie O. Oliver",/media/dei/carousel/blacksinidahoswhitepress_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/blacksinidahoswhitepress_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71289888510001451,View Catalog Record
African American/Black,Idaho Ebony: The Afro-American Presence in Idaho State History,"This book describes the role African Americans have played in the life and history of Idaho. Written by Black author, Dr. Mamie O. Oliver",/media/dei/carousel/idaho_ebony_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/idaho_ebony_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71289878810001451,View Catalog Record
Asian American,Kooskia Internment Camp Scrapbook,"This scrapbook shares the sights, tasks, scenes, and events of Japanese men detained during the camp's two years of operation (May 1943-May 1945).",/media/dei/carousel/kooskia.png,https://digital.lib.uidaho.edu/digital/iiif/spec_kic/872/full/pct:70/0/default.jpg,https://www.lib.uidaho.edu/digital/kooskia/,View Collection
Asian American,Chinese on the American Frontier,"A collection of articles related to the Chinese presence in the late 19th century in the western United States, when anti-Chinese sentiment was at its peak. Major themes include racial hostility and violence, Chinese resistance to discrimination, life in Chinatown, labor issues, and public attitudes. Written by Turkish author Arik Dirlik and Chinese author Malcolm Yeung",/media/dei/carousel/chineseontheamericanfrontier_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/chineseontheamericanfrontier_sm.jpg,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/fulldisplay?docid=CP71120012180001451&context=L&vid=U of ID&lang=en_US&search_scope=everything&adaptor=Local%20Search%20Engine&tab=default_tab&query=any,contains,Day-NW%20E184.C5%20C496%202001&offset=0",View Catalog Record
Asian American,"Lily Wai Committee Papers, 1981-1990","A collection of documents, photographs, and audiovisual materials related to the committee and library work of Lily Wai, University of Idaho Librarian.",/media/dei/carousel/otherfacesotherlives_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/otherfacesotherlives_sm.jpg,https://archiveswest.orbiscascade.org/ark:/80444/xv54043/,View Collection
Asian American,Japanese-Americans in the Pacific Northwest,A bibliography of library resources relating to Japanese Americans in the Pacific Northwest. Created by Tacoma Public Library staff.,/media/dei/carousel/japaneseamericansinthepnw_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/japaneseamericansinthepnw_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71141003280001451,View Catalog Record
Asian American,Japanese American Contributions to Idaho's Economic Development,"This discusses how ""Japanese, like other early Idaho pioneers, came to the Gem State in search of economic opportunity. Through their efforts, they not only achieved many of their own economic goals, but also made significant contributions to Idaho's economic development.""",/media/dei/carousel/japaneseamericancontributionstoidahoeconomicdevelopment_sm.jpg,https://webpages.uidaho.edu/library/spec/harvester/objects//small/japaneseamericancontributionstoidahoeconomicdevelopment_sm.jpg,https://alliance-primo.hosted.exlibrisgroup.com/permalink/f/m1uotc/CP71177581510001451,View Catalog Record
