title,description,image,active
At War!,"The effect of World War I on the University of Idaho, 100 years after the war, is explored in a new Special Collections and Archives exhibit on the second floor of the U of I Library. Through newspaper clippings, scrapbook pages, photos and other memorabilia, the <em>At War!</em> display provides a glimpse of the Great War's impact on the university community. The exhibit will be on display through Dec. 7.",/assets/images/spec/at_war.jpg,
Here's to the Band,"Here's to the Band is an exhibit highlighting Lionel Hampton and his band. From Hampton playing in the Benny Goodman Quartet, to forming the Lionel Hampton Orchestra, to performing at the Lionel Hampton Jazz Festival, this exhibit shows how Lionel and his band created a jazz legacy.",LH.III.1453.jpg,true
