resource,description,link
Articles & Research Databases,"Search for peer-reviewed articles, popular articles, and other research materials using our databases.",/find/articles.html
Access Tools,"A curated list of tools to help you access resources using both U of I library subscriptions and open access repositories.",/find/accesstools.html
Board Games,Learn more about our board game collection that you can checkout and play!,https://www.lib.uidaho.edu/games/
Books and Ebooks,Search our catalog for books and ebooks.,/find/books.html
Data,Discover data and data management resources to power your research.,/find/data.html
Digital Collections,"Browse and search our digital collections of historical photographs, documents, and other rare and unique materials.",https://www.lib.uidaho.edu/digital/
DVDs & Streaming Video,Access our extensive collection of DVDs and streaming video for the classroom and personal use.,/find/video.html
Encyclopedias & Other Reference Resources,"Our reference resources include encyclopedias, dictionaries, gazeteers, glossaries, thesaurusii, indices, guide books, and more.",/find/encyclopedias.html
Events,"View our calendar to find library events from weekly workshops to annual book readings, from academic conferences to Special Collections exhibits.",/events/
Geospatial Resources,"Browse and search our GIS and geospatial data and find out more about the software, communities, and learning opportunites available.",/find/geospatial/
Government Documents,Browse and search U.S. Government Documents for the State of Idaho.,/find/govdocs/
Journals,Search for journals by title or subject.,/find/journals.html
Loanable Equipment,Browse equipment that can be checked out to use in or outside of the library building.,/find/equipment-loans.html
Maps,"From the most up-to-date geospatial information to unique historical maps, our Cartographic Collections have you covered.",/find/maps/
Purchase Request,"Not finding what you need? All members of the University of Idaho community are encouraged to suggest additions to our collections, such as books, ebooks, DVDs, or journals.",/find/request.html
Research Guides,"Browse and search research guides to find research assistance, subject guides, and useful resources compiled by your friendly librarians at the University of Idaho.",https://libguides.uidaho.edu/
Theses & Dissertations,"Browse and search over 10,000 records for Theses and Dissertations completed at the University of Idaho.",/find/etds.html
"VERSO (Vandal Expertise, Research, and Scholarship Online)","VERSO preserves and provides access to the research and creative output of the University of Idaho's faculty, students and staff. Fed from institutional and publicly accessible data, VERSO includes a network of web profiles and an archive of publications.",https://verso.uidaho.edu/esploro/?institution=01ALLIANCE_UID
Unique & Archival Material,"Find primary sources and archival material housed in the library's Special Collections and Archives. These include personal and organizational records, university archives, rare books, manuscripts, and historical photographs on the history of Idaho and the Pacific Northwest.",/special-collections/searchtools.html
