id,datahub_title,datahub_description
jkenyon,"Research Librarian; Liaison to Natural Resources","Jeremy assists with research data management, data collections, and working with qualitative and quantitative data."
bgodfrey,"Geospatial Information Systems Librarian","Bruce assists with all things GIS and spatial information related. He manages the INSIDE Idaho and ArcGIS Online systems for the U of I."
normanlee,"Research, Outreach, and Engagement Librarian; Liaison to Science and Engineering","Norman assists with research and data management within Science and Engineering."
