itemid,name,description,category,count,image,manual
202920,Video Camera (Canon VIXIA HF G20),"The Canon VIXIA HF G20 HD Camcorder comes with 32GB Internal Flash Memory and 10x HD Video lens (5mm equivalent: 30.4mm – 304mm) with 8-Blade Iris and 3.5 inch touch LCD.",Video Cameras,,https://www.lib.uidaho.edu/media/studio/VideoCamera.jpg,https://libcal.uidaho.edu/equipment/item/202920/manual
202922,GoPro Hero,"With built-in Wi-Fi and Bluetooth, and user-friendly modes like QuikCapture, SuperView and Auto Low Light, GoPro HERO+LCD provides video recording at 1080p at 60 fps/and 8 megapixel photos. The kit comes with a clip mount and a suction cup mount.",Video Cameras,2,https://www.lib.uidaho.edu/media/studio/GoProHero.jpg,https://libcal.uidaho.edu/equipment/item/202922/manual
203420,Video Camera (Canon VIXIA HF G70),"The Canon VIXIA HF G70 HD Camcorder comes with 20x optical zoom, approx. 29.3 - 601mm 4K UHD (Dynamic IS off/Standard IS on) / approx. 30.5 - 627mm Full HD (Dynamic IS off/Standard IS on) and 3.5 inch touch LCD.",Video Cameras,,https://d68g328n4ug0e.cloudfront.net/misc/3479/eq/item/2025_05_01_16_11_13.jpg,https://libcal.uidaho.edu/equipment/item/203420/manual
202919,Portable Light Kit,"The Neewer TT560 Flash Speedlite Kit includes Neewer TT560 Speedlite Flash, 71""/180cm Light Stands, and 32""/ 80cm 5 in 1 reflector disc.",Lighting Equipment,,https://www.lib.uidaho.edu/media/studio/PortableLightKit.jpg,
202925,Ring Light Kit,"The Sensyne 10-inch Selfie Ring Light with 51-inch Tripod Stand features three colors lighting modes with 10 brightness levels adjustable from 0% to 100% and a multi-functional adjustable travel tripod that can be extended from 16"" to 51"". The kit includes a ring light, a wireless remote shutter, a phone holder, and AC/DC adapter.",Lighting Equipment,,https://www.lib.uidaho.edu/media/studio/RingLight.jpg,
203400,Reflector/diffuser Kit,"The kit includes the following items:

- One Bag
- Three NEEWER TT560 Speedlite flash
- Two 5-in-1 light reflector
- Three ST180R light stand",Lighting Equipment,,https://d68g328n4ug0e.cloudfront.net/misc/3479/eq/item/2025_05_01_15_45_25.jpg,
205384,LED Video Light,"10 Pieces (2 flash speedlites, 2 orange color films, 2 80"" photography light stands, 1 lighting kit bag for light stand, 1 battery charger, 2 batteries (Battery pack for Sony NP-F550/F570))",Lighting Equipment,,https://d68g328n4ug0e.cloudfront.net/misc/3479/eq/item/2025_06_06_14_05_22.jpg,
202918,Portable Green Screen,"The Impact Super Collapsible Background (8 x 16 ft) is a single-sided green background that can fold into small circular size and can be used horizontally or vertically.",Lighting Equipment,,https://www.lib.uidaho.edu/media/studio/PortableGreenScreen.jpg,
202915,Digital Graphic Drawing Tablet Kit,"The Wacom Intuos Pro Paper features a creative pen with tilt-recognition and virtually lag–free tracking for artists and designers to capture editable versions of their paper sketches. The kit includes a tablet, a pen, a pen stand, a paper clip, four pen color rings, a USB cable, and a quick start guide.",Computer Accessories,,https://www.lib.uidaho.edu/media/studio/DigitalGraphicDrawingTablet.jpg,https://libcal.uidaho.edu/equipment/item/202915/manual
203401,Sewing machine,"The Start 1304 portable sewing machine has 57 stitch applications from which to choose, selected by the simple turn of a dial. Because the stitch length and stitch width are preset, there's no guesswork, making this a great machine for a hobbyist or even a beginner.

Choose a straight stitch for basic sewing, sew a simple applique with a zigzag stitch, fix a hem with the blind hem stitch, or sew a decorative scallop stitch to embellish almost anything.

The Four-Step Buttonhole feature allows you to add buttonholes in four easy steps on things like pillows, children's clothing, fashions and more.

Slide off the Removable Extension Table to expose the Free Arm for hemming trousers and sleeves or for sewing other small projects.

This machine is lightweight and portable, making it easy to carry or store.",Art & Fabrication,2,https://d68g328n4ug0e.cloudfront.net/misc/3479/eq/item/2025_05_01_15_48_22.jpg,https://www.manua.ls/singer/start-1304/manual
202913,Portable Speaker,"The Logitech Z50 portable speaker features a 10 Watts Peak/5 Watts RMS power from the 2.25 inch driver design that can amplify your device's audio in any room.",Audio Equipment,,https://www.lib.uidaho.edu/media/studio/PortableSpeaker.jpg,
205980,Semester-Loan Laptop (Windows),"When using this Windows Laptop, you will be prompted to log-in using your U of I Net ID. Upon doing so, you will have access to all applications available in Software Center as well as via the remote access lab connection.",Computers,51,https://d68g328n4ug0e.cloudfront.net/misc/3479/eq/item/2025_06_20_12_36_06.jpg,
