CourseNumber,Department,CourseSection,CourseName,Instructor,Note,URL
BIOP522,Bioregional Planning,1,Bioregional Planning Methods,"Jepson, Edward Joseph",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,biop522&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
BUS252,Business,All,Introduction to Business Analytics,"Dacey, Raymond",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,bus252&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CDAR000,Center for Disability Access and Resources,0,CDAR (Center for Disability Access and Resources),,,
CE372,Civil Engineering,All,Fundamentals of Transportation Engineering,"Chang, Kevin",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CE372&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CE475,Civil Engineering,1,Pavement Design and Evaluation,"Kassem, Emad A.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CE475&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CE494,Civil Engineering,1,Senior Design Project,"Fiedler, Fritz R.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CE494&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CHE330,Chemical Engineering,1,Separation Processes I,"Srivastava, Soumya K",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CHE330&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CHEM112,Chemistry,0,Principles of Chemistry II,"Fletcher, T. Rick",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CHEM112&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CHEM308,Chemistry,All,Physical Chemistry Lab,"Fletcher, T. Rick",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CHEM308&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CHEM372,Chemistry,1,Organic Chemistry II,"Waynant, Kristopher V",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CHEM372&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
CHEM374,Chemistry,0,Organic Chemistry Lab for Engineers,"Williams, Richard V.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,CHEM374&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
COMM233,Communication,1,Interpersonal Communication,"Carter, Diane L.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,COMM233&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
COMM355,Communication,1,Organizational Communication,"Youngvorst, Lucas Joseph",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,COMM355&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
COMM431,Communication,1,Applied Business and Professional Communication,"Folwell, Annette L.",,"https://alliance-primo.hosted.exlibrisgroup.com/primo-explore/search?query=any,contains,COMM431&tab=reserves&search_scope=course_reserves&vid=UID&offset=0"
