objectid,title,description,application_link,link,eligible,eligible_full,active,number,amount,date-open,date-closed,deadline-season,timeframe,sponsor,sponsor-person
plastino,Ben J. Plastino Collection Fellowship,The Ben J. Plastino Collection Fellowship funds one graduate student to produce one or more essays which contextualize and highlight Plastino's contributions to Idaho's written history.,,/fellowships/plastino.html,graduate students,Graduate Students currently enrolled in a University of Idaho program,no,1,4500,,,Inactive,Summer 2026,Spec,Dulce Kersting-Lark
berry,Berry International Jazz Collections Fellowship,This program funds one student each year to collaborate with the faculty and staff at the University of Idaho Library to increase the visibility and use of the International Jazz Collections (IJC) through work on a specific research project.,https://uidaho.co1.qualtrics.com/jfe/form/SV_e98kkFZo4Qb2YoS,/fellowships/berry-ijc.html,undergrads;graduate students,Undergraduate and Graduate Students currently enrolled in a University of Idaho program,yes,1,4000,09-01,09-15,Fall,,Spec,Andrew Weymouth
cdil-digital-scholarship,CDIL Digital Scholarship Fellowship,"The CDIL Digital Scholarship Fellowship program provides time and assistance for faculty members in the College of Letters, Arts, and Social Sciences (CLASS) to begin or continue exploring digital means for publishing or accomplishing their research.",,/fellowships/cdil-digital-scholarship.html,faculty,University of Idaho Faculty Members,no,1,Varies,,,Inactive,One semester,CDIL,
cdil-faculty-development,CDIL Faculty Development Fellowship,The CDIL Faculty Development Fellowship provides time and customized learning opportunities for faculty looking to improve their knowledge of digital scholarshp skills and practices.,https://uidaho.co1.qualtrics.com/jfe/form/SV_bph8aTsESzwu5nM,/fellowships/cdil-faculty-development.html,faculty,University of Idaho Faculty Members,yes,1,1500,,,Rolling,One semester,CDIL,Devin Becker
cdil-graduate,CDIL Graduate Student Fellowship,"The CDIL Graduate Student Summer Fellowship Program provides a stipend for a student currently enrolled in a university graduate program to work on the development of CDIL-related digital projects, be they projects related to CDIL connected faculty or that of the graduate student's own creation.",https://uidaho.co1.qualtrics.com/jfe/form/SV_5z34MVVRmVdnqp8,/fellowships/cdil-graduate.html,graduate students,Graduate Students currently enrolled in a University of Idaho program,yes,1,4000,01-15,03-15,Spring,Late Spring - Summer (10 Weeks),CDIL,Devin Becker
cdil-metadata,CDIL Metadata Fellowship,"The CDIL Metadata Fellowship Program provides a stipend for a student currently enrolled in a university undergraduate or graduate program to work on developing descriptive metadata for a new or existing digital collection. The experience will offer a fellow first-hand experience with foundational skills in digital humanities, preparing them to engaging with self-directed projects in the future.",https://forms.office.com/r/RUaE2GU6Hy,/fellowships/cdil-metadata.html,undergraduate students; graduate students,Undergraduate or Graduate Students currently enrolled in a University of Idaho program,yes,1,2000,08-15,09-05,Fall,Fall Semester,Spec,Dulce Kersting-Lark
cdil-undergraduate,CDIL Undergraduate Fellowship,"The CDIL Undergraduate Summer Fellowship Program provides a stipend for a student currently enrolled as an undergraduate at the University of Idaho to work on the development of CDIL-related digital projects, be they projects related to CDIL connected faculty or that of the graduate student's own creation.",https://uidaho.co1.qualtrics.com/jfe/form/SV_5z34MVVRmVdnqp8,/fellowships/cdil-undergraduate.html,undergrads,Undergraduates currently enrolled in a University of Idaho program,yes,1,2500,01-15,03-15,Spring,Late Spring - Summer (10 Weeks),CDIL,Devin Becker
strong,Gary and Carolyn Strong Special Collections Fellowship,This program funds one student each year to work for the faculty and staff at the Library to increase the visibility and use of previously unprocessed collections in the University of Idaho Library's Special Collections & Archives.,,/fellowships/strong.html,graduate students,Graduate Students currently enrolled in a University of Idaho program,yes,1,4500,01-15,03-15,Spring,,Spec,Dulce Kersting-Lark
levine,Julie and David Levine Data Hub Fellowship,"This program funds one student each year to work with the faculty and staff at the Library to support the operations of the new University of Idaho Library's Data Hub, a center for geospatial and data sciences support in areas such as geographic information systems, data sciences, quantitative data analysis and visualization, and research data management.",https://uidaho.co1.qualtrics.com/jfe/form/SV_3eKC1sBFN3PvFNc,/fellowships/levine.html,graduate students,Graduate Students currently enrolled in a University of Idaho program,yes,1,5000,10-01,11-15,Fall,Academic year,DataHub,REL Rep
lchistoric,Latah County Historic Sites Digital Map Project Fellowship,This program funds one student to work with Latah Preservation Commission's map of historic sites to create interactive digital exhibits featuring current and historic images of the locations.,https://forms.office.com/pages/responsepage.aspx?id=Y2u8fpJXGUqyCwS4JgSIUxaSEHQ0MBFJmCa2EIVFmhNUOUJVTTExWTNVOEZFQUJISUNYSEFRUUtZTS4u,/fellowships/lchistoric.html,undergrads;graduate students,,no,1,4500,,,Inactive,Fall 2023,Spec,
libseed,Library Seed Grant,"Library Seed Grants support research and outreach projects in their nascent stages. These grants are intended to seed a project; in other words, we are looking to support projects that have the potential to grow and garner additional grant funds. Library Seed Grants must utilize the library's collections and/or staff member expertise in order to qualify. Preference is given to projects that create collaborative partnerships between the library and campus stakeholders. ",,/fellowships/libseed.html,faculty; graduate students; undergrads,University of Idaho Faculty Members and Undergraduate and Graduate Students currently enrolled in a University of Idaho program,no,Varies,Varies,,,Inactive,Project dependent,Library,
baird,Lynn and Dennis Baird Fellowship,The Lynn and Dennis Baird Fellowship funds one graduate student a year to work with library faculty and staff to expand the reach of the Wilderness/Environmental archival holdings at the University of Idaho.,,/fellowships/baird.html,graduate students,Graduate Students currently enrolled in a University of Idaho program,yes,1,4000,01-15,03-15,Spring,Late Spring - Summer (10 Weeks),Spec,Dulce Kersting-Lark
mainstreetvideo,Main Street Video Project Fellowship,"The Main Street Video Project Fellowship is an opportunity for writers and/or designers to help the library interpret and present a collection of oral histories realted to the Main Street Video Co-Op/Howard Hughes Video Store, which operated in Moscow from 1978-2020. ",,/fellowships/mainstreetvideo.html,undergrads;graduate students,Undergraduate and Graduate Students currently enrolled in a University of Idaho program,no,2,2000,,,Inactive,Spring 2022 Semester,Library,
thinkopen,Think Open Fellowship,The University of Idaho Library's Think Open Fellowship is an opportunity to equalize access to educational materials in your classroom and save your students money by supporting the use of low- or no-cost course materials in place of traditional textbooks.,,/fellowships/thinkopen.html,faculty,University of Idaho Faculty Members,no,multiple,1200,,,Inactive,One semester,Library,
