file,title,year
a&d.htm,Practical Processing: Arrangement and Description,1988
archivalmanagement.htm,ARCHIVAL MANAGEMENT: Forms for the Eighties,1978
archivy.htm,The Laws of Archivy,2000
arrange.htm,"Arrangement, Practical Processing: Arrangement and Description",1999
babbler.htm,"From ""Babbler"" to Jimmy Ah Foo: The Chinese in Australian Humor. Sydney",2004
burner_mapping.htm,Mapping Chinese Funerary Burners,2013
burners_bibliography.htm,Chinese Funerary Burners: A Bibliography,2013
burners.htm,Chinese Funerary Burners: A Census. 2001-ongoing.,2012
burners2.htm,"Other Burners, Other Fires, 2002-2014.",2014
census.htm,Using the Archival Census Data in the Repository. Chicago,1986
ch_cem.htm,Overseas Chinese Cemeteries,2015
chservnt.htm,"Class, Gender, and Race:
Chinese Servants in the North American West. Honolulu",1996
descript.htm,"Description, Practical Processing: Arrangement and Description",1999
docstr10.htm,"Documentation Strategies: A Decade (or More) Later. Washington, D.C.",1995
entropy.htm,Archives and Entropy: The Closed System,1999
erecs94.htm,When the Bits hit the Fan: Electronic Records and Archives. Ottawa,1994
fol.htm,FOL: A History of the Friends of the Library,1983
iil.htm,Repositories of Primary Sources: Index,2007
inet.htm,INTERNET: On (Line) the Road Again,1990
inlan.htm,Books to Bytes: Libraries and the Internet. Post Falls,1992
inorout.htm,In or Out: Observations of an Occasional NEH Staff Member. Atlanta,1988
intro.htm,"Intro, Practical Processing: Arrangement and Description",1999
journey.htm,"Books on the Journey. <i>Towers</i>, the newsletter of the University of Idaho Library Associates, June 2005.",2005
legacy.htm,Legacy to Heritage: Subject Access to Manuscript Collections in the Electronic Age. Seattle,1995
mining94.htm,Lode or Placer: Mining Records and Their Use in the University of Idaho Library. Golden,1994
morris.htm,"'A substantial, good-sized, well-bound book:' Bishop Morris and Early Parish Records in Oregon",1989
networth.htm,Net Worth: Adding Value to the Archival Web Site. San Diego,1996
notickee.htm,'No Tickee No Washee': Sympathetic Representations of the Chinese in American Humor,2003
Other.Repositories.html,"Repositories of Primary Sources, 1995-2015.",2015
outreach.htm,The Next Step: Outreach on the World Wide Web. Cheyenne,1997
preface.htm,"Preface, Arrangement and Description",1999
ssr.htm,"""I have had a great many adventures:"" The Gold Rush Letters of Samuel Stone Richardson",1981
stepping.htm,Stepping Stones to Empowerment: Chinese Servants in the American West. Seattle,1997
ta.papers.htm,"Projects, Presentations and Unpublished Papers",2006
theorybb.htm,"Archival Theory: Notes towards the beginnings of a bibliography, 1996-ongoing.",2002
utah.htm,Utah Saints and Sinners,1979
vita.ta.htm,Terry Abraham Resume,2007
whyspcol.htm,Why Special Collections? Eugene,1989
