title,author,call_number,permalink,tags
Kindred (graphic novel),Octavia Butler,PS3552.U827 K56 2017,,Black History Month; Fiction
Parable of the Sower (graphic novel),Octavia Butler,Graphic novels - PN6727.D836 O39 2020,,Black History Month; Fiction
