item,category,description,loan,fine,max fine,replacement cost in ALMA,quantity
ThinkPad T14 Laptop,Laptops,14" Laptop equipped with all the software found on computer lab devices. Log-in using your Vandal ID. Includes a charger,3 weeks,$5/day,$70.00,$1475.00,28
Canon Vixia Video Camera,Video Equipment,VIXIA HF G20 HD Camcorder comes with 32GB Internal Flash Memory and 10x HD Video lens (5mm equivalent: 30.4mm – 304mm) with 8-Blade Iris and 3.5 inch touch LCD.	3 Days	$5/day	$70.00	$500.00	2
Canon DSLR Camera Kit,Photography Equipment	The Canon DSLR Camera Kit includes a Canon EOS 4000d digital camera, a Canon EF-S 18-55mm f/3.5-5.6 IS II Lens, a Canon Neck Strap, a battery, a charger, a 32GB memory card, a memory card reader, and a small tripod.	3 Days	$5/day	$70.00	$500.00	1
Digital Graphic Drawing Tablet Kit,Computer Accessories	The Wacom Intuos Pro Paper features a creative pen with tilt-recognition and virtually lag–free tracking for artists and designers to capture editable versions of their paper sketches. The kit includes a tablet, a pen, a pen stand, a paper clip, four pen color rings, a USB cable, and a quick start guide.	3 Days	$5/day	$70.00	$500.00	1
TASCAM Field Recorder Kit,Audio Equipment	The Tascam Portable Studio Recorder DR-05 features a pair of condenser microphones that handle up to 125dB SPL and records in MP3 or WAV format – including 96kHz/24-bit high-resolution audio – to microSD or microSDHC media. The kit includes a SM57 microphone.	3 Days	$5/day	$70.00	$500.00	2
TASCAM tripod,Audio Equipment,- Contains: tripod for TASCAM DR-05,3 Day, 
GoPro Hero,Video Equipment,With built-in Wi-Fi and Bluetooth, and user-friendly modes like QuikCapture, SuperView and Auto Low Light, GoPro HERO+LCD provides video recording at 1080p at 60 fps/and 8 megapixel photos. The kit comes with a clip mount and a suction cup mount.	3 Days	$5/day	$70.00	$500.00	2
Verizon Jetpack MiFi	circulation	WiFi Hotspot	LTE Mobile WiFi Hotspot with unlimited data on the Verizon network (paid for by the library!). Includes a universal charger and USB port. Connect up to 15 different devices at a time to the WiFi.	7 days	$5/day	$70.00	$310.00	20
External CD/DVD Player	circulation	Computer Accessories	LG Electronics USB 2.0 Ultra Slim Portable DVD+/-RW External Drive with M-DISC Support. Includes a USB cord to connect to devices for playback or writing.	3 days	$5/day	$70.00	$500.00	2
Wireless Presenter	circulation	Computer Accessories	The Logitech Wireless Presenter R400 allows you to advance or go back through your slides at the touch of a control key while moving around the room and engage your audience with reliable wireless range of up to 50 feet. 	3 Days	$5/day	$70.00	$500.00	1
Computer Headsets with Microphone	circulation	Computer Accessories	The Logitech USB Headset H390 with Noise Cancelling Microphone features padded headband and ear pads, rotating, noise canceling microphone, inline volume and mute controls with USB connections.	3 hours	$5/day	$20.00	$100.00	3
Lightning Chargers	circulation	Miscellaneous	Chargers for Apple products	3 hours	$5/day	$20.00	$100.00	7
Tripod	circulation	Video Equipment	The lightweight Amazon Basics tripod can support most cameras up to 6.6 pounds. The tripod’s lockable legs can extend from 20 to 48 inches and include a center post that can be cranked up for a total height of 60 inches.	3 Days	$5/day	$70.00	$500.00	2
Light Reflector Discs,Photography Equipment,NEEWER 43 Inch/110 Centimeter Light Reflector Light Diffuser 5 in 1 Collapsible Multi Disc with Bag - Translucent, Silver, Gold, White, and Black for Studio Photography Lighting and Outdoor Lighting	3 days	$5/day	$70.00	$500.00	1
Universal laptop charger,Computer Accessories,"- Contains: Charging cord, adapter, and 16 interchangeable adapter tips",3 hours,$5/day,$20.00,$100.00,3
Cellphone Tripod,Video Equipment,- Contains: Cellphone tripod - Model: UBeesize Phone Tripod Stand & Selfie Stick,3 Days,$5/day,$70.00,$500.00,1
Portable Speaker,Audio Equipment,- Contains: Portable speaker with cord - Model: Logitech Z50,3 Days,$5/day,$70.00,$500.00,1
Micro-USB wall chargers,Miscellaneous,- Contains: Charging brick and Micro-USB to USB cord,3 hours,$5/day,$20.00,$100.00,3
Stereo Headphones,Computer Accessories,- Contains: On-ear headphones with audio jack - Model: Panasonic RPHT21 Lightweight Headphones,3 hours,$5/day,$20.00,$100.00,6
USB-C wall chargers,Miscellaneous,- Contains: Charging brick and USB-C to USB cord,3 hours,$5/day,$20.00,$100.00,5
