category,display_name,description,type
jazz,Jazz,"The International Jazz Collection (IJC) was formally established at the University of Idaho in 2000, and features papers and photographs of the legendary Lionel Hampton. Other important jazz figures included in the IJC are Leonard Feather, Lee Morse, Joe Williams, Dizzy Gillespie, Conte Candoli, and Al Grey.",content
forestry,Forestry,"Special Collections and Archives contains a vast amount of forestry related information.",content
mining,Mining,"The Day Mines collection deposited in the University of Idaho Library is organized into seventy-three manuscript groups and includes the records of over eighty corporations or mining partnerships acquired by, merged with, or established by the family of Henry L. Day of Wallace, Idaho, or in which the Days at some time held a dominant interest.",content
university,University,"University Archives document the broad history of the University of Idaho. They contain administrative records, university programs and activities, departmental histories, faculty publications and papers, student activities, UI publications, UI and private photographs of University people and events, and other records of University events, actions, and evidence of changing lifeways.",content
mg,Manuscripts,"The over 6,000 cubic feet of manuscripts include personal papers of individuals and families; business records of lumber, railroad, mining, and other companies; papers of government officials, politicians, educators, authors, and business people; records of organizations such as religious, fraternal, and civic associations; and similar groups.",physical
pg,Photographs,"These collections consist of photographs in glass negative, negative, and print forms of life, people, and environments in Moscow and the University and surrounding areas. These images date from the mid-late 19th century to the 1970s and 1980s and record many events and places.",physical
books,Books,"We have around 24,000 rare and unique books and university theses in our book collections. These include books written by specific authors, such as Ezra Pound, Sir Walter Scott, and Mark Twain, university theses and dissertations, and State of Idaho publications.",physical
