colltitle,shorttitle,cdmtitle,items,webitems,cdmid,website,path,categories,type,alpha,short_desc,description,media_type,location,lat,long,time_start,time_end,image,imagelink,imageid,imagewidth,imageheight
The Idaho Forester Collection,Forester Collection,The Idaho Forester Collection,77,233,forester,https://www.lib.uidaho.edu/digital/forester/,forester,Forests; Idaho; Northwest; UI;,Collection,Forester,"The University of Idaho Forestry Department&apos;s Annual, 1917 - 1997","The Idaho Forester was published annually from 1917 - 1997 by the University of Idaho&apos;s forestry program. The journal combines research articles, UI program activities information, and analysis of the forest products industry, formerly the dominant industry in Northern Idaho. The collection was developed with the support of a Project Ceres Grant from the Center for Research Libraries and the United States Agricultural Information Network.",documents,"Moscow, ID",46.729399,-117.012629,1917,1997,,,,,
Idaho Forestry Research Collection,Forestry Research,Idaho Forestry Research Collection,478,478,forestryresearch,https://digital.lib.uidaho.edu/cdm/search/collection/forestryresearch,forestryresearch,Forests; Idaho; Northwest; UI,AltCollection,Forestry,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,documents; images,Idaho,46.926875,-116.501427,1911,1983,,,,,
Fugue Literary Journal Collection,Fugue Collection,Fugue Literary Journal Collection,4300,38,fugue,https://digital.lib.uidaho.edu/cdm/landingpage/collection/fugue,fugue,UIResearch; UI,Journal,Fugue,The official literary journal of the University of Idaho&apos;s English Department,Fugue is the official literary journal of the University of Idaho&apos;s English Department.,documents; images,University of Idaho (English Department),46.728091,-117.012692,1990,2013,,,,,
Gem of the Mountains Digital Yearbook Collection,Gem Collection,Gem of the Mountains Digital Yearbook Collection,102,102,gem,https://www.lib.uidaho.edu/digital/gem/,gem,UI; Campus,CampusCollection,Gem,The official yearbook of the University of Idaho from 1903 to 2004,The Gem of the Mountains was the official yearbook of the University of Idaho from 1903 to 2004.,documents; images,University of Idaho (Library),46.727332,-117.012296,1903,2004,,,,,
Guided Reading Library,Guided Reading,Guided Reading Library,122,122,guidedread,https://www.lib.uidaho.edu/digital/guidedreading/index.html,guidedreading,UI; Education;,AltCollection,Guided,"A library of guided reading material from the University of Idaho College of Education, curated by Margaret Vaughn","The Guided Reading Library is a digital collection of short books created by students in the University of Idaho&apos;s College of Education. This library is directed by Margaret Vaughn, in collaboration with the Digital Inititiaves department of the University of Idaho Library.",documents; audio,University of Idaho,46.725896,-117.012357,2013,2016,,,,,
Robert E. Higgins Collection,Higgins Collection,Robert E. Higgins Collection,42,42,higgins,https://www.flickr.com/photos/idahodigital/sets/72157626093899947/,higgins,Idaho,Collection,Higgins,"A collection of photographs by Robert E. Higgins, a professor of plant science at the University of Idaho from 1946 to 1999","A collection of photographs by Robert E. Higgins, a professor of plant science at the University of Idaho from 1946 to 1999. During his lifetime, Professor Higgins&apos; photographs were accepted in over 70 juried international salons, and he had one-artist exhibitions in Idaho, Washington, and California.",images,Idaho,46.72756,-117.01412,1946,1999,,,,,
HistPhoto - Historical Photograph Database,HistPhoto,,na,na,,https://www.lib.uidaho.edu/special-collections/histphoto/,histphoto,Reference Materials,Application,HistPhoto,A Special Collections &amp; Archives Historical Photograph Database,A Special Collections &amp; Archives Historical Photograph Database,document,University of Idaho (Library),46.72756,-117.01404,1863,1975,,,,,
Idaho Cities &amp; Towns,Idaho Cities,Idaho Cities and Towns,1083,1083,cities,https://www.lib.uidaho.edu/digital/cities/,cities,Idaho,Collection,Idaho Cities,"From Aberdeen to Yellow Dog - Historical Photos of 134 Cities and Towns, 1862 - 1998",The 1083 historical photographs in the Idaho Cities &amp; Towns collection document Idaho cities and towns from the mid 1800s to the end of the twentieth century.,images,Idaho,46.826007,-116.613768,1862,1998,,,,,
Idaho Historical Aerial Photographs,Historical Aerial Photos,Idaho Historical Aerial Photographs,2021,2021,uiiap,https://www.lib.uidaho.edu/digital/maps/aerial.html,aerial,Idaho; Maps; Forests; Water,AltCollection,Idaho Historical Aerial,Historic air photos of Idaho from 1927 to the 1980s,The Idaho Historical Aerial Photographs are a collection of both oblique and vertical historic air photos ranging from 1927 to the 1980s.,images,Northern Idaho,47.431308,-116.92337,1927,1953,,,,,
Idaho Historical Maps,Idaho Maps,Idaho Historical Maps,9,9,spec_hm,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_hm,spec_hm,Idaho; Northwest; Maps; Mining,AltCollection,Idaho Historical Maps,"A small collection of large historic maps, 1887-1984","A small collection of large maps that depict the Coeur D&apos;Alene mining region, covering areas of Montana and Idaho (Shoshone County). These maps come from the Bunker Hill Mining Company Records, 1887-1984, a manuscript collection held by the University of Idaho Library&apos;s Special Collections &amp; Archives department.",images,Shoshone County Idaho; Wallace; Kellogg; Burke; Silver Valley; Mullan; Wardner,47.686824,-116.726818,1863,1951,,,,,
Idaho Snow Loads,Idaho Snow Loads,,na,1,,https://www.lib.uidaho.edu/digital/idahosnow/,idahosnow,Idaho; Construction,Application,Idaho Snow,An interactive snow load application based on geographic areas in Idaho.,"This resources relates to the report &apos;Ground and Roof Snow Loads for Idaho,&apos; which was released in 1986 by the Department of Civil Engineering at the University of Idaho. To read the report and it&apos;s appendices, click on the cover. To use the map, click on the map. This map has been made possible by several years of nonfunded work. We respectfully request that if you use this map or report for commercial purposes, you purchase a pdf/map (information at top right) or donate to the University of Idaho Library.",documents,Idaho,43.492285,-114.411621,1986,1987,,,,,
Idaho Waters Digital Library,Idaho Waters,Idaho Waters Digital Library,476,478,idahowater,https://www.lib.uidaho.edu/digital/iwdl/,iwdl,Idaho; Water; Wilderness; Mining; UIResearch;,Collection,Idaho Waters,"Scientific and technical reports, with an emphasis on Idaho Water Resources Research Institute reports and publications","The Idaho Waters Digital Library provides access to information resources relating to water issues in key Idaho river basins. The collection presently includes scientific and technical reports, with an emphasis on [Idaho Water Resources Research Institute](https://www.uidaho.edu/research/iwrri) reports and publications. Documents can be browsed by [Location](map.html 'Browse by Map'), [Date](timeline.html 'Browse by Time'), and [Subject Term](subjects.html 'Browse by Subject') by using the tabs above. The database can also be queried extensively using the [Table](table.html 'Browse/Search by Table') feature. This project would not have been possible without the grant support of the [United States Geological Survey](https://www.uidaho.edu/research/iwrri/aboutiwrri), the administrative support of the [Idaho Water Resources Research Institute](https://www.uidaho.edu/research/iwrri/aboutiwrri), the metadata &amp; digitization work of Warren Bromley-Vogel, and the conceptual efforts of Jodi Haire.",documents,Coeur D&apos; Alene; Lewiston; Boise (Idaho),43.608655,-116.193734,1963,1984,,,,,
"Edward John Iddings Lantern Slides, 1927",Iddings Collection,"John Edward Iddings, Lantern Slides, 1927",157,157,spec_ji,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_ji,iddings,UI; Agriculture;,AltCollection,Iddings,"Slides from longtime College of Agriculture Dean, Edward John Iddings, including university-, agriculture-, and travel-related images","Edward John Iddings was the Dean of the College of Agriculture at UI from 1915 to 1946. These slides depict agricultural and university-related scenes from Idaho, as well as images from Iddings&apos; travels.",images,"Moscow, ID (Admin building)",46.727874,-117.028127,1927,1927,,,,,
International Jazz Collections (IJC),Jazz Collections,,0,0,ijc,https://www.ijc.uidaho.edu/,ijc,IJC; Jazz;,IJCCollections,IJC,A Collection of Jazz Collections,"The International Jazz Collections (IJC) was formally established at the University of Idaho in 2000, featuring papers and photographs of the legendary Lionel Hampton. The IJC merged with the University of Idaho Library's Special Collections & Archives department in 2007. It is now the preeminent jazz archive in the Pacific Northwest.",collections,University of Idaho (Library),46.72732,-117.01588,1900,2002,,,,,
Ray Brown Collection,Ray Brown,Ray Brown Collection,17,17,ijc_brown,https://www.ijc.uidaho.edu/brown_ray/,brown_ray,IJC; Jazz;,IJCCollection,IJC-Brown,Images from the Ray Brown Collection.,"A small collection of the photographs and awards of Ray Brown, a renowned jazz double bassist and cellist.",images,University of Idaho (Library),46.7274,-117.01404,1953,2001,,,,,
Leonard Feather Jazz Collection,Feather Jazz Collection,Leonard Feather Jazz Collection,5672,688,lfc,https://www.ijc.uidaho.edu/feather_leonard/index.html,feather_leonard,IJC; Jazz;,IJCCollection,IJC-Feather,"Papers, recordings, and photographs from the collection of Leonard Feather.","The Leonard Feather Collection includes a variety of materials that document and describe the Jazz scene during the middle of the twentieth century. Feather was born in London in 1914 and moved to New York City in 1939. He was a journalist, producer, composer and jazz critic. The collection contains- photos, notebooks, sketches, scores, correspondence, clippings, manuscripts, notes and financial papers.",images; documents; audio; illustrations; scores; correspondence; video,"Moscow, ID (Library)",46.72748,-117.01404,1900,1999,,,,,
Dizzy Gillespie Collection,Dizzy Gillespie Collection,Dizzy Gillespie Collection,18,18,ijcdg,https://www.ijc.uidaho.edu/gillespie_dizzy/index.html,gillespie_dizzy,IJC; Jazz;,IJCCollection,IJC-Gillespie,Images and memorabilia from the Dizzy Gillespie Collection.,This collection was assembled by Special Collections and Archives of the University of Idaho Library with materials donated by Mrs. Gillespie. The collection contains fifteen items that belonged to the artist.,memorabilia,University of Idaho (Library),46.72732,-117.01412,1987,2000,,,,,
Al Grey -Rosalie Soladar Memorial Collection,Al Grey  Collection,Al Grey-Rosalie Soladar Memorial Collection,255,255,ijcag,https://www.ijc.uidaho.edu/grey_al/index.html,grey_al,IJC; Jazz;,IJCCollection,IJC-Grey,Awards and photographs from the Al Grey Collection,Al Grey was a jazz trombonist and bandleader. Rosalie Soladar was his companion and personal manager. Materials in this collection span most of Grey&apos;s career after their partnership. The digital collection includes photographs and images of awards and ephemera,images,University of Idaho (Library),46.7274,-117.01412,1989,2000,,,,,
Lionel Hampton Library Collection,Hampton Collection,Lionel Hampton Library Collection,6660,3603,ijcs,https://www.ijc.uidaho.edu/hampton_collection/,hampton_collection,IJC; Jazz;,IJCCollection,IJC-Hampton,"Scores, documents and images from the Lionel Hampton Collection","The materials in the Lionel Hampton collection span most of his musical career, 1926–2002, with the bulk of the collection dating 1940–1990. The digital collection includes photographs, arrangements, and images of awards and ephemera.",documents; images; scores,University of Idaho (Library),46.72748,-117.01412,1918,2002,,,,,
Lee Morse Collection,Morse Collection,Lee Morse Collection,105,105,ijclm,https://www.ijc.uidaho.edu/morse_lee/index.html,morse_lee,IJC; Jazz;,IJCCollection,IJC-Morse,Images and recordings from the Lee Morse Collection.,Lee Morse was an American singer and songwriter. The collection includes mainly photographs and sound recordings.,images; audio;,University of Idaho (Library),46.72732,-117.01388,1924,1941,,,,,
Joe Williams Collection,Joe Williams,Joe Williams Collection,147,147,ijcw,https://www.ijc.uidaho.edu/williams_joe/index.html,williams_joe,IJC; Jazz;,IJCCollection,IJC-Williams,Scores from the Joe Williams Collection.,"Joe Williams was a vocalist who began singing professionally in the late 1930’s. He worked with the big bands of Coleman Hawkins, Lionel Hampton and Count Basie; it was with Basie that Williams had his first recording hits. Williams won many awards and professional recognition. In the 1980’s he had a recurring role (as “Grandpa Al�?) on TV’s The Cosby Show. He died in Las Vegas on March 29, 1999.",scores,University of Idaho (Library),46.72732,-117.01488,1930,1970,,,,,
Institutional Repository,UI Repository,Institutional Repository,106,106,IR,https://digital.lib.uidaho.edu/cdm/search/collection/IR,ir,UIResearch; UI,AltCollection,Institutional,Documents and images from miscellaneous collections pertaining to the history of forestry in Idaho,Research articles and other documents produced by individuals and entities from the University of Idaho.,documents,University of Idaho,46.727309,-117.012272,2000,2016,,,,,
Intermountain Forestry Cooperative,Forestry Coop,Intermountain Forestry Cooperative,39,39,iftnc,https://digital.lib.uidaho.edu/cdm/landingpage/collection/iftnc,iftnc,Forests; Northwest; UIResearch;,AltCollection,Intermountain,"A collection of reports, studies, and documents published by the Intermountain Forestry Cooperative","A collection of reports, studies, and documents published by the Intermountain Forest Tree Nutrition Cooperative (IFTNC), a research cooperative composed of public and private forestry organizations that is located administratively in the College of Natural Resources at the University of Idaho.",documents,Inland Northwest,46.729312,-117.012924,1984,1991,,,,,
Kooskia Internment Camp Scrapbook,Kooskia Internment Camp,Kooskia Internment Camp Scrapbook,387,194,spec_kic,https://www.lib.uidaho.edu/digital/Kooskia/,kooskia,Idaho;,Collection,Kooskia,"Documenting the daily life of Japanese Americans interned by the US Government near Kooskia, ID durning World War II","The Kooskia Internment Camp Scrapbook documents the sights, tasks, scenes, and events of Japanese men detained during the camp&apos;s two years or operation (May 1943 - May 1945). The camp was located in a remote area of north central Idaho, 30 miles from the town of Kooskia; it was administered by the U.S. Immigration and Naturalization Service (INS) for the U.S. Department of Justice.",scrapbook; images,"Kooskia, Idaho",46.144012,-115.594819,1943,1945,,,,,
Latah County Oral Histories,Latah County Oral Histories,Latah County Historical Society Photograph Collection,330,636,latah,https://www.lib.uidaho.edu/digital/lcoh/index.html,lcoh,Idaho; Northwest; Forests; Wilderness; Fire; Latah; Moscow; Potlatch,AltCollection,Latah County,Remembering Latah County and Idaho Life at the turn of the 20th century,"In the mid 1970s, the Latah County Historical Society collected over 300 oral histories from local Northern Idaho residents who grew up in Idaho during the early part of the 20th century. The Latah County Oral History Project produced one of the largest collections of oral histories in the Pacific Northwest. A copy of the transcripts and cassette recordings was donated to the University of Idaho Library in 1987. Those items were digitized and uploaded into our database in 2013.",documents; audio,University of Idaho (Library),46.736036,-116.67642,1970,1979,,,,,
