colltitle,shorttitle,cdmtitle,items,webitems,cdmid,website,path,categories,type,alpha,short_desc,description,media_type,location,lat,long,time_start,time_end,image,imagelink,imageid,imagewidth,imageheight
Latah County Community Heritage Collection,Latah County Community Heritage Collection,Kyle Laughlin Photographs,610,610,lcheritage,https://www.lib.uidaho.edu/digital/lcheritage/index.html,lcheritage,Idaho; Northwest; Forests; Wilderness; Fire; Latah; Moscow; Potlatch,Collection,Latah County Community,Materials from the NEH Funded Common Heritage Community Digitization Project in Latah County,The Latah County Common Heritage Collection was driven by funding from a National Endowment for the Humanities (NEH) Common Heritage Grant awarded to the University of Idaho Library in 2016. The materials in this collection were collected via community digitization days held in Moscow and Potlatch in 2016 and 2017.,documents; image,University of Idaho (Library),46.738036,-116.67842,1880,2016,,,,,
Latah County Historical Society Photograph Collection,LCHS Photos,Latah County Community Heritage Collection,153,153,lchsphotos,https://digital.lib.uidaho.edu/cdm/search/collection/lchsphotos,lchsphotos,Idaho; Latah;,AltCollection,Latah County Historical,Photographs from the collection of the Latah County Historical Society,Photographs from the collection of the Latah County Historical Society,images,Latah County Idaho,46.732824,-116.99744,1904,2000,,,,,
Kyle Laughlin Photographs,Laughlin Photos,Latah County Oral Histories Collection,828,828,spec_kl,https://www.lib.uidaho.edu/digital/Laughlin/,laughlin,Idaho; Water; Agriculture; UI; Latah;,Collection,Laughlin,"Historical Photographs of Idaho and the United States, 1931 - 1979","The images of the Kyle Laughlin Photograph Collection, taken from 1931 to 1979, depict Idaho&apos;s natural scenery and historic sites, as well as personal moments from Kyle Laughlin&apos;s life. Laughlin was a Moscow, Idaho resident and businessman for 56 years; he owned several businesses, including a photo shop, an appliance store, and a television/cable company.",images,Idaho; Washington; Montgomery (Ala.); Acoma Village (N.M.); Topeka (Kan.); St. Lewis (Mo.); Denver (Colo.); Cheyenne (Wyo.); Little Bighorn Battlefield (Mont.); Vaseux Lake (B.C.),46.706833,-116.92294,1935,1937,,,,,
Lewiston Orchards Life Newsletter,Lewiston Newsletter,Lewiston Orchards Life,25,25,spec_lof,https://www.lib.uidaho.edu/digital/LewistonOrch/,lewistonorch,Idaho; Agriculture;,Collection,Lewiston,"A newsletter documenting daily life in Lewiston Orchards, Idaho (1913-1914)","Lewiston Orchards Life was a newsletter published in Lewiston, Idaho during the early 1900s. The newsletter covers the residential and horticultural lives of those living in the Lewiston Orchards area, which is now a residential neighborhood.",documents,"Lewiston, ID",46.38071,-116.974847,1913,1914,,,,,
The Map Room,Map Room,,na,na,,https://www.lib.uidaho.edu/digital/maps/,maps,Forests; Fire; Wilderness; Mining; UI; Idaho; Sports; Maps,Application,Map,An interactive Google map application that allows users to browse over 8000 images on a digital map,The Map Room is an interactive Google map application that allows users to browse over 8000 images on a digital map. Use the drop down menus and search box at the top of each map to further refine your browsing.,maps,United States,46.7274,-117.01388,1860,2014,,,,,
McCall Public Library Collection,McCall Library Collection,McCall Public Library Collection,319,319,mccall,https://www.lib.uidaho.edu/digital/mccall/,mccall,Idaho; Water; Wilderness;,Collection,McCall,A collection of family history-related items form the McCall Public Library,A collection of family history-related items form the McCall Public Library,documents; images;,"McCall, ID",44.908901,-116.099141,1815,2014,,,,,
Nez Perce Collection,Nez Perce Collection,Nez Perce Historical Photograph Collection,583,583,nezperce,https://www.lib.uidaho.edu/digital/nezperce/,nezperce,Idaho; NativeAmericans; Northwest;,Collection,Nez,20th Century photographs of the Nez Perce/Niimíipuu Native Americans,The Nez Perce Historical Portrait Collection includes nearly 600 photographs of individuals and groups from the Nez Perce/Nimíipuu tribe. Most photographs were taken during the first half of the 20th century. Much of the collection is comprised of studio photographs that have been taken of both individuals and families.,images,Nez Perce National Historical Park; Lapwai; Spalding (Idaho),46.449904,-116.817596,1900,1955,,,,,
Ott Historical Photograph Collection,Ott Collection,Ott Historical Photograph Collection,1826,1826,ott,https://www.lib.uidaho.edu/digital/ott/,ott,Idaho; Latah; Moscow;,Collection,Ott,"Photographs from local Clifford M. Ott depicting northern Idaho as it was, 1890 - 1980","Clifford M. Ott donated this broad collection of historical photographs in 1992. Ott was an avid amateur photographer who amassed over 10,000 slides, prints, and negatives spanning the years from 1883 to 1990. The digital collection represents a selection from Ott&apos;s whole collection, which he compiled into eleven albums containing a total of over 1,800 images of Moscow and surrounding Latah County and used to educate local citizens.",images; newspaper clippings,"Latah County Idaho (Moscow, Genesee; Potlatch; Princeton-Harvard); Lewiston, Idaho and Clarkston Wash.; Troy &amp; Livingston, Mont.; Ralston Nebraska",46.731518,-117.001358,1880,1989,,,,,
Northwest Historical Postcards Collection,Postcards Collection,Northwest Historical Postcards Collection,811,811,nwpostcards,https://www.lib.uidaho.edu/digital/postcards/,postcards,Idaho; Northwest; Forests; Water; Wilderness;,Collection,Postcards,Digitized Historical Postcards from Idaho and the Greater Northwest,This digital collection of over 800 postcards comes from the historical photograph collections of the University of Idaho Library&apos;s Special Collections &amp; Archives. The postcards range in date from the 1890s to the 1980s.,images; correspondence,"Washington, Oregon, Idaho, Montana, Wyoming, British Columbia and Alberta",46.716798,-119.597168,1890,1980,,,,,
Potlatch Historical Society Collection,Potlatch Historical Society,Potlatch Historical Society,1781,1781,phs,https://www.lib.uidaho.edu/digital/phs,phs,Idaho; Northwest; Forests; Wilderness; Fire; Latah; Potlatch,AltCollection,Potlatch Historical,"Potlatch Historical Society Collection Depicting life in and around Potlatch, Idaho from 1880 to 1998","Potlatch Historical Society Collection Depicting life in and around Potlatch, Idaho from 1880 to 1998",documents; images;,Idaho,46.921048,-116.903855,1880,1998,,,,,
Potlatch Lumber Company Photograph Collection,Potlatch Lumber Co. Photos,Potlatch Lumber Company Photograph Collection,1570,1570,plcphotos,https://digital.lib.uidaho.edu/cdm/search/collection/plcphotos,plcphotos,Idaho; Northwest; Forests; Wilderness; Fire; Latah; Potlatch,AltCollection,Potlatch Lumber,A collection of over 1500 photographs from the Potlatch Lumber Company,A collection of over 1500 photographs from the Potlatch Lumber Company,images,Idaho,46.921048,-116.903855,1896,1999,,,,,
Priest Lake Historical Photograph Collection,Priest Lake Collection,Priest Lake Historical Photograph Collection,380,380,priestlake,https://www.lib.uidaho.edu/digital/priestlake/,priestlake,Idaho; Water; Forests;,Collection,Priest,"Historical Photographs of Priest lake, Idaho and the surrounding area, 1880 - 1950","A digital collection comprised of 380 historical photographs of Priest Lake, Idaho and the surrounding area. The images span the years 1880 to 1950, documenting the area&apos;s waters, boats, buildings, landscape and people.",images,Priest Lake; Upper Priest Lake; Priest River; Coolin; Idaho,48.514088,-116.871872,1880,1950,,,,,
Psychiana Digital Collection,Psychiana,Psychiana Digital Collection,1323,1323,psychiana,https://digital.lib.uidaho.edu/cdm/search/collection/psychiana,psychiana,Idaho; Northwest; Latah; Religion,AltCollection,Psychiana,"Materials from the Frank B. Robinson Papers documenting Psychiana, a religion popular in the 1930s and 40s","Materials from the Frank B. Robinson Papers documenting Psychiana, a religion popular in the 1930s and 40s",images; documents; audio; correspondence,"Moscow, ID",46.733711,-117.001252,1930,1952,,,,,
Rangeland Center Collection,Rangeland Center Collection,Rangeland Center Collection,66,66,na,https://digital.lib.uidaho.edu/cdm/landingpage/collection/rangecoll,rangecoll,UI; UIResearch; Northwest; Rangeland;,Collection,Rangeland Center,A repository of information created by University of Idaho researchers related to topics in rangeland ecology and managemen,"The Rangeland Center collection is a repository of information created by University of Idaho researchers related to topics in rangeland ecology and management. Subject areas include ecology of rangelands, grazing management, invasive plants, fire ecology, and more.",documents,Idaho,43.207053,-115.065308,1969,2013,,,,,
Selway-Bitterroot Wilderness History Project,Selway-Bitterroot Project,Selway-Bitterroot Wilderness Collection,312,312,sbw,https://sbw.lib.uidaho.edu/,sbwhp,Idaho; Water; Forests; Wilderness,DMCollection,Selway,"Oral histories, photographs, and other documents from an NEH funded exploration into the human aspects of the Selway-Bitterroot Wilderness","This collection represents the digital objects of the Selway-Bitterrot Wilderness History Project, which is an NEH funded exploration into the human aspects of the Selway-Bitterroot Wilderness.",documents; images; podcasts,Lolo Pass; Lolo Hot Springs (Mont.); Elk Summit; Freeman Peak; Moose Meadows; Shissler Peak Lookout; Shearer Guard Station; Trapper Peak; Paradise Campground (Idaho),46.157491,-114.553871,1920,2011,,,,,
"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",Shattuck Collection,"C. H. Shattuck, Idaho Lantern Slides, 1904-1910",212,212,spec_cs,https://digital.lib.uidaho.edu/cdm/landingpage/collection/spec_cs,shattuck,Idaho; UI; Wilderness,AltCollection,Shattuck,"Early twentieth century slides depicting the University of Idaho, as well as the wilderness of Idaho and Idaho residents&apos; attempts at domesticating it","Charles Houston Shattuck was a professor in the College of Agriculture (now Natural Resources) who initiated &apos;Arboretum Hill&apos; (now known as the Charles Houston Shattuck Arboretum). These early twentieth century slides depict the University of Idaho, as well as the wilderness of Idaho and Idaho residents&apos; attempts at domesticating it.",images,"Selway Bitterroot Wilderness Region; Bitterroot Mt. (Idaho); UI (Moscow, ID); Packers Meadows (Idaho); Kaniksu National Forest (Mont.); Lolo Hot Spring (Mont.)",46.724545,-117.015397,1904,1910,,,,,
Stonebraker Photograph Collection,Stonebraker Collection,Stonebraker Photograph Collection,541,540,stonebraker,https://www.lib.uidaho.edu/digital/stonebraker/,stonebraker,Mining; Wildnerness; Idaho;,Collection,Stonebraker,"Ranching, Hunting, and Pack Train Operations in North Central Idaho, 1900-1931","A digital collection comprised of 540 historical photographs taken by William Allen Stonebraker at the turn of the century and into the 1920s and 1930s documenting the Salmon River, the Frank Church-River of No Return, the Chamberlain Basin, and the Thunder Mountain Gold Rush.",images,Salmon River; Frank Church-River of No Return Wilderness; Chamberlain Basin,44.948193,-115.135872,1900,1931,,,,,
Taylor Ranch Log Book Collection,Taylor Ranch Collection,Taylor Ranch Log Book Collection,9,9,taylor,https://digital.lib.uidaho.edu/cdm/landingpage/collection/taylor,taylorranch,Idaho; Forests; Wilderness,AltCollection,Taylor,"Log books detailing daily events at the Taylor Wilderness Research Station, 1997-2010","The nine log books in this collection detail daily events from 1997 to 2010 recounted by those living and working at the Taylor Wilderness Research Station. In addition to describing the routine research and maintenance task, the logs also provide wildlife sightings and firsthand accounts of harrowing events, such as the dramatic forest fire and evacuation of the year 2000.",documents,"Taylor Ranch, Idaho; Frank Church River of No Return Wilderness",45.103422,-114.851106,1997,2010,,,,,
The Theodore Roosevelt Collection,Roosevelt Visit Exhibit,,na,na,,https://www.lib.uidaho.edu/digital/troosevelt/index.html,troosevelt,UI; Campus;,Exhibit,Theodore,Photos from President&apos;s Roosevelt&apos;s historic visit to the University of Idaho campus in 1911,A collection of photographs from the University of Idaho Historical Photographs Collection commemorating the 100th anniversary of President&apos;s Roosevelt&apos;s historic visit to the University of Idaho campus in 1911.,images,"Moscow, ID (Admin Lawn)",46.726209,-117.010521,1911,1911,,,,,
Theses and Dissertation Database (ETDs),ETDs,Theses and Dissertations Database (ETDs),428,618,etd,http://digital.lib.uidaho.edu/cdm/search/collection/etd,etds,UI; UIResearch;,Application,Theses,A catalog of theses and dissertations at the University from 1909 to the present,"A searchable database of cataloged records for over 10,00 theses and dissertations published from 1909 to 2011. This database was most recently updated in June of 2015.",documents,University of Idaho (Library),46.73524,-117.01396,1909,2011,,,,,
Turning of the Wheel Collection - Humanities Colloquium 2011-2012,Turning of the Wheel Collection,Turning of the Wheel Collection - Humanities Colloquium 2011-2012,491,491,turning,https://www.lib.uidaho.edu/digital/turning/,turning,UI; Campus;,AltCollection,Turning,"A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, 2011-2012","A Digital Collection of Events from the Humanities Colloquium Series, Turning of the Wheel, University of Idaho | Moscow, Idaho | 2011-2012",documents; images; video;,"Moscow, ID (Commons)",46.727391,-117.013046,2011,2012,,,,,
University of Idaho Historical Photos,UI Historical Photos,University of Idaho Historical Photograph Collection,487,487,spec_uihp,https://www.lib.uidaho.edu/digital/uihistorical/,uihistorical,UI; Campus;,Collection,University of Idaho Historical,Photographs documenting campus life at the Univesity of Idaho from 1890 to 1980,"A variety of photographs from several photographic collections held by Special Collections &amp; Archives that depict scenes from the University of Idaho&apos;s past. Includes portraits of past professors and alumni, as well as photos of buildings and events.",images,University of Idaho Campus,46.725714,-117.011277,1863,1975,,,,,
Vandal Video Collection,Vandal Videos,Vandal Video Collection,167,167,vandalvideo,https://www.lib.uidaho.edu/digital/vandalvideo/,vandalvideo,Campus; UI; Sports;,Collection,Vandal,"Historic videos of University of Idaho Basketball and Football Games, 1925 - 1997",The Vandal Video Collection is a collection of 160+ digitized 16mm Film reels that were scouting videos for both football and basketball games..,videos,"University of Idaho (Maclean Field, Neale Stadium, Kibbie Dome)",46.727212,-117.01655,1925,1993,,,,,
VIVO,VIVO,,na,na,,https://vivo.nkn.uidaho.edu/vivo/,vivo,UI; UIResearch;,Application,VIVO,A research-focused discovery tool that enables collaboration,"VIVO is a research-focused discovery tool that enables collaboration among scholars across all disciplines. The system allows users to browse or search information on University people, departments, courses, grants, and publications.",na,University of Idaho (Library),46.72724,-117.01396,2008,2017,,,,,
Carleton Watkins Mine Interiors Collection,Watkins Collection,"Carleton Watkins Mine Interiors Collection (1890, Butte, MT)",80,80,watkins,https://www.lib.uidaho.edu/digital/watkins/,watkins,Mining; Northwest;,Collection,Watkins,"Interior photos of mines in Butte, Montana, 1890, hundreds of feet below ground","Among the riches of the historical photograph collections of the University of Idaho Library is an oversize portfolio of eighty original Carleton E. Watkins photographs. Long considered lost, these photographs of the interior of the Anaconda Mines in Butte, Montana, were taken in 1890. They show early hard-rock mining techniques, equipment, and men deep underground.",images,"Butte, MT",46.036746,-112.506437,1890,1891,,,,,
White Pine - King of Many Waters Collection,White Pine Collection,White Pine - King of Many Waters Collection,144,144,whitepine,http://digital.lib.uidaho.edu/cdm/search/collection/whitepine,whitepine,Idaho; Water; Forests;,AltCollection,White Pine,Images used in the making of the book White Pine - King of Many Waters,Images used in the making of the book White Pine - King of Many Waters,images,"Coeur d'Alene, ID",47.6776,-116.7925,1884,1969,,,,,
Web Archive Collections,Web Archives,,21000,21000,,https://www.lib.uidaho.edu/digital/webarchive/,webarchive,UI; Campus;,Collection,Web Archive,Collection of UI newsletters and webpages harvested to preserve unique born-digital content.,,documents,University of Idaho,46.728347,-117.007264,1997,2017,,,,,
University of Idaho Student Organizations Collection (PG2),UI Student Organizations Collection,University of Idaho Student Organizations Collection (PG2),,,pg2,https://digital.lib.uidaho.edu/digital/collection/pg2,pg2,UI; Campus;,,University of Idaho Student,,,,,,,,,,,,,
River Recreation Research Database,River Recreation Research Database,River Recreation Research Database,,,rrrd,https://digital.lib.uidaho.edu/digital/collection/rrrd,rrrd,Water;,,River Recreation,,,,,,,,,,,,,
Senator William Edgar Borah Scrapbooks,Borah Scrapbooks,Senator William Edgar Borah Scrapbooks,,,spec_web,https://digital.lib.uidaho.edu/digital/collection/spec_web,spec_web,Idaho; Politics;,,Senator William,,,,,,,,,,,,,
University of Idaho Law Faculty Repository,UI Law Faculty Repository,University of Idaho Law Faculty Repository,,,lawir,https://digital.lib.uidaho.edu/digital/collection/lawir,lawir,UIResearch;,,University of Idaho Law,,,,,,,,,,,,,
Historical Japanese Ceramic Comparative Collection (HJCCC),HJCCC,Historical Japanese Ceramic Comparative Collection (HJCCC),,,HJCCC,https://www.lib.uidaho.edu/digital/hjccc/,hjccc,Archaeology; Northwest,,Historical Japanese,,,,,,,,,,,,,
MosCon Collection,MosCon Collection,,,,,https://www.lib.uidaho.edu/digital/moscon/,moscon,ScienceFiction; Moscow,,MosCon,,,,,,,,,,,,,
Sanborn Fire Insurance Maps Collection,Sanborn Collection,Sanborn Fire Insurance Maps Collection,,,p17254coll1,https://digital.lib.uidaho.edu/digital/collection/p17254coll1,p17254coll1,Idaho; Northwest,,Sanborn,,,,,,,,,,,,,
Adult Salmon and Steelhead Migration Studies: 1996-2014,Adult Salmon and Steelhead Migration Studies,,,,,https://www.lib.uidaho.edu/digital/ferl/,ferl,Water; Northwest,,Adult Salmon,,,,,,,,,,,,,
